response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedc,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Und,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",Henrico,40 to 64,White,50 to 85 percent,Landline,0.8889,0.8208,0.6443,0.3993,0.6318,2018-10-31 22:35:46
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Chesterfield,40 to 64,White,85 percent or higher,Landline,1,0.97,0.7387,0.333,0.7195,2018-10-31 22:36:13
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Henrico,18 to 39,White,50 to 85 percent,Cell,1,0.769,1.0875,0.686,1.0559,2018-10-31 22:36:58
Dem,[DO NOT READ] Refused,Grade school,Black,Female,Black,Don't know,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Other,Female,Very likely,Democrat,Nonwhite,Rest,65 and older,Black,Less than 50 percent,Landline,1,0.2897,1.713,4.9403,1.8798,2018-10-31 22:42:13
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,40 to 64,White,85 percent or higher,Landline,1,0.8733,0.699,0.4056,0.6884,2018-10-31 22:42:13
Dem,65 and older,High school,Black,Female,Black,Don't know,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Rest,65 and older,Black,85 percent or higher,Landline,1,0.9596,1.6906,1.3031,1.6479,2018-10-31 22:45:22
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rest,40 to 64,White,Less than 50 percent,Cell,1,0.2991,0.8402,1.725,1.011,2018-10-31 22:46:49
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,65 and older,White,50 to 85 percent,Landline,1,0.6486,0.7356,0.3788,0.7588,2018-10-31 22:51:57
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Rest,40 to 64,White,85 percent or higher,Cell,1,0.8702,0.8895,0.5881,0.8764,2018-10-31 22:52:58
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9436,0.8536,0.3586,0.8332,2018-10-31 22:52:58
Dem,18 to 34,Bachelors' degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,Chesterfield,18 to 39,White,Less than 50 percent,Cell,1,0.4127,1.004,1.2773,1.1282,2018-10-31 22:54:28
3,35 to 49,Bachelors' degree,Black,Male,White,Disapp.,Don't know,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,40 to 64,Black,85 percent or higher,Cell,1,0.9075,0.8285,0.3889,0.8121,2018-10-31 22:55:31
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.9614,0.7366,0.2649,0.7179,2018-10-31 22:55:40
Dem,65 and older,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Male,Almost certain,Democrat,Nonwhite,Chesterfield,65 and older,Black,85 percent or higher,Landline,1,0.8697,0.8231,0.3712,0.8111,2018-10-31 22:57:37
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,40 to 64,White,85 percent or higher,Landline,1,0.8978,0.7711,0.3788,0.7567,2018-10-31 23:06:19
3,50 to 64,High school,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Not very likely,Republican,"White, No 4-Year College Degree",Rest,40 to 64,White,50 to 85 percent,Cell,0.4444,0.8386,1.3814,1.4951,0.9922,2018-10-31 23:08:34
Dem,35 to 49,High school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,High School Grad. or Less,Democratic,Male,Somewhat likely,Democrat,Nonwhite,Henrico,40 to 64,Black,85 percent or higher,Landline,0.8889,0.97,1.6117,1.5824,1.5203,2018-10-31 23:08:43
Dem,50 to 64,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Henrico,40 to 64,Black,50 to 85 percent,Landline,1,0.6536,1.0407,0.7133,1.0721,2018-10-31 23:17:29
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Landline,1,0.97,0.9157,0.4269,0.8965,2018-10-31 23:20:56
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",Chesterfield,18 to 39,White,85 percent or higher,Landline,0.6667,0.9281,1.1455,0.6086,1.0236,2018-10-31 23:21:23
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Female,Already voted,Republican,"White, No 4-Year College Degree",Chesterfield,40 to 64,White,Less than 50 percent,Landline,1,0.3497,1.3829,4.0769,1.7144,2018-10-31 23:26:11
Dem,50 to 64,High school,White,Female,Hispanic,Don't know,Reps. keep House,Favorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Democrat,Nonwhite,Chesterfield,40 to 64,White,50 to 85 percent,Landline,1,0.7294,1.4942,1.8055,1.5114,2018-10-31 23:28:08
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rest,40 to 64,White,85 percent or higher,Landline,1,0.9172,0.9586,0.6027,0.9384,2018-10-31 23:32:30
Rep,35 to 49,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rest,40 to 64,White,50 to 85 percent,Landline,1,0.5326,1.6447,2.9134,1.758,2018-10-31 23:33:33
Dem,18 to 34,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Henrico,18 to 39,White,Less than 50 percent,Landline,1,0.2902,2.1498,9.31,2.6043,2018-10-31 23:35:48
Dem,65 and older,Some college or trade school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.9173,0.7196,0.3124,0.7045,2018-10-31 23:36:24
Dem,65 and older,Graduate or Professional Degree,Black,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),Nonwhite,Chesterfield,65 and older,Black,85 percent or higher,Landline,1,0.97,0.7867,0.311,0.7606,2018-10-31 23:39:33
Dem,65 and older,Bachelors' degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Favorable,65 and older,4-year College Grad.,Other,Male,Very likely,Democrat,Nonwhite,Rest,65 and older,White,Less than 50 percent,Landline,0.8889,0.3224,0.6808,0.8252,0.6955,2018-10-31 23:39:42
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",Chesterfield,40 to 64,Unknown,85 percent or higher,Cell,1,0.9084,1.1374,0.4719,1.1147,2018-10-31 23:40:45
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9243,0.9339,0.4924,0.9134,2018-10-31 23:41:21
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,18 to 39,White,50 to 85 percent,Cell,1,0.6948,0.7049,0.4611,0.7188,2018-10-31 23:46:47
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Landline,1,0.9301,1.1051,0.5747,1.0657,2018-10-31 23:46:47
Rep,35 to 49,High school,Black,Male,Black,Disapp.,Reps. keep House,Favorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Republican,Nonwhite,Chesterfield,40 to 64,Black,Less than 50 percent,Cell,1,0.4482,1.3499,2.8016,1.4919,2018-10-31 23:50:14
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Henrico,65 and older,White,85 percent or higher,Cell,1,0.97,1.0064,0.5067,0.9803,2018-10-31 23:50:50
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Landline,1,0.9095,0.735,0.3437,0.7202,2018-10-31 23:52:29
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,65 and older,White,85 percent or higher,Cell,1,0.9685,0.6397,0.2602,0.6232,2018-10-31 23:52:56
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Henrico,65 and older,White,50 to 85 percent,Landline,1,0.8401,0.9531,0.5043,0.9436,2018-10-31 23:53:50
Dem,50 to 64,High school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Chesterfield,40 to 64,Black,85 percent or higher,Landline,1,0.9532,1.3323,1.1512,1.2993,2018-10-31 23:55:41
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,40 to 64,White,85 percent or higher,Landline,1,0.8636,0.7694,0.4833,0.7589,2018-10-31 23:57:44
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Other,Female,Already voted,Republican,"White, 4-Year College Grads",Henrico,65 and older,White,50 to 85 percent,Landline,1,0.7017,0.7428,0.4516,0.7775,2018-11-01 00:03:25
Dem,65 and older,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Chesterfield,65 and older,Black,85 percent or higher,Cell,1,0.9554,0.7191,0.2348,0.7011,2018-11-01 00:03:47
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Henrico,40 to 64,White,Less than 50 percent,Landline,0.7778,0.4083,0.7832,1.0325,0.7406,2018-11-01 00:03:52
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Chesterfield,18 to 39,White,50 to 85 percent,Landline,1,0.671,0.9384,0.5918,0.9624,2018-11-01 00:06:16
Rep,18 to 34,Bachelors' degree,White,Female,White,Don't know,Reps. keep House,Favorable,Favorable,18 to 29,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,18 to 39,White,Less than 50 percent,Landline,1,0.1048,1.4461,6.0842,2.2302,2018-11-01 00:08:22
Dem,50 to 64,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Henrico,40 to 64,Black,85 percent or higher,Cell,1,0.97,1.0736,0.6273,1.0457,2018-11-01 00:10:10
Dem,35 to 49,Bachelors' degree,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Henrico,40 to 64,Other Non-White,85 percent or higher,Landline,1,0.97,1.3223,0.6863,1.288,2018-11-01 00:12:34
Dem,50 to 64,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",Henrico,40 to 64,Unknown,50 to 85 percent,Landline,0.7778,0.5224,1.2361,1.1026,1.1534,2018-11-01 00:12:52
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Henrico,40 to 64,White,85 percent or higher,Landline,1,0.8684,1.0783,0.6717,1.0628,2018-11-01 00:14:58
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Landline,1,0.97,0.8497,0.3952,0.8277,2018-11-01 00:17:40
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rest,65 and older,White,50 to 85 percent,Landline,1,0.696,0.7284,0.4143,0.7424,2018-11-01 00:18:44
Rep,50 to 64,[DO NOT READ] Refused,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",Rest,40 to 64,White,85 percent or higher,Cell,1,0.9055,1.0152,1.0631,1.0068,2018-11-01 00:18:44
Dem,35 to 49,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Chesterfield,40 to 64,White,85 percent or higher,Landline,1,0.97,0.5793,0.2828,0.5642,2018-11-01 00:23:50
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.97,0.5534,0.2119,0.539,2018-11-01 00:30:44
Dem,50 to 64,Some college or trade school,Black,Male,Other,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Democrat,Nonwhite,Rest,40 to 64,Black,50 to 85 percent,Cell,1,0.6309,0.8982,0.6938,0.931,2018-11-01 00:30:44
Rep,50 to 64,Graduate or Professional Degree,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Republican,Nonwhite,Henrico,40 to 64,White,50 to 85 percent,Cell,0.8889,0.5321,0.6443,0.6159,0.6687,2018-11-01 00:41:35
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",Chesterfield,65 and older,White,50 to 85 percent,Cell,1,0.519,0.7985,0.6088,0.8577,2018-11-01 00:41:42
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,65 and older,White,50 to 85 percent,Landline,1,0.7399,0.5601,0.2795,0.5652,2018-11-01 00:42:56
Rep,65 and older,Some college or trade school,Black,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Henrico,65 and older,Black,85 percent or higher,Landline,1,0.97,1.1856,0.5762,1.1549,2018-11-01 00:45:11
Dem,35 to 49,Some college or trade school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Democrat,Nonwhite,Rest,18 to 39,White,Less than 50 percent,Cell,1,0.4075,1.0796,1.7147,1.2163,2018-11-01 00:50:14
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",Chesterfield,18 to 39,White,Less than 50 percent,Landline,0.8889,0.2553,0.7542,1.6656,0.7942,2018-11-01 00:51:26
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,18 to 39,White,Less than 50 percent,Landline,0.6667,0.2437,0.9157,1.9745,0.966,2018-11-01 00:52:11
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.97,0.6694,0.2963,0.6521,2018-11-01 00:52:25
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Chesterfield,40 to 64,Unknown,85 percent or higher,Landline,1,0.97,1.0311,0.4602,1.0044,2018-11-01 00:56:05
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,40 to 64,Unknown,85 percent or higher,Cell,1,0.97,1.0336,0.4986,1.0069,2018-11-01 00:59:19
Dem,50 to 64,Some college or trade school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Rest,40 to 64,White,85 percent or higher,Landline,1,0.966,0.8292,0.4667,0.8079,2018-11-01 01:04:19
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.97,0.8078,0.3826,0.7869,2018-11-01 01:07:45
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Henrico,40 to 64,White,85 percent or higher,Landline,1,0.9362,0.8936,0.4825,0.8729,2018-11-01 01:09:25
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9295,0.8078,0.3993,0.7897,2018-11-01 01:13:28
3,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Don't know,Unfavorable,Unfavorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,18 to 39,White,50 to 85 percent,Cell,1,0.5094,0.8989,0.7403,0.969,2018-11-01 01:13:55
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Henrico,40 to 64,White,85 percent or higher,Cell,1,0.8549,1.6031,2.0196,1.5833,2018-11-01 01:17:49
Und,50 to 64,Bachelors' degree,Unknown,Male,White,Disapp.,Don't know,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,[DO NOT READ] Don't know/Refused,Republican,"White, 4-Year College Grads",Henrico,40 to 64,Unknown,Less than 50 percent,Landline,0.8889,0.4251,1.3941,1.614,1.0751,2018-11-01 01:18:07
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,40 to 64,White,Less than 50 percent,Cell,1,0.342,0.7813,1.138,0.9131,2018-11-01 01:20:04
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.97,0.7366,0.2626,0.7175,2018-11-01 01:21:16
Dem,65 and older,High school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Democrat,Nonwhite,Henrico,65 and older,White,85 percent or higher,Landline,1,0.942,1.5772,1.3859,1.5522,2018-11-01 01:25:37
Rep,65 and older,Some college or trade school,White,Female,Black,Approve,Dems. take House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Democrat,Nonwhite,Henrico,65 and older,White,85 percent or higher,Landline,1,0.97,1.2145,0.6542,1.183,2018-11-01 01:25:46
Rep,18 to 34,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,18 to 39,White,Less than 50 percent,Landline,1,0.4727,1.1011,1.6246,1.2041,2018-11-01 01:26:31
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.9086,0.8515,0.3438,0.8345,2018-11-01 01:27:43
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",Henrico,18 to 39,White,85 percent or higher,Landline,1,0.97,1.4132,0.9648,1.3664,2018-11-01 01:27:52
Und,50 to 64,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,Nonwhite,Henrico,40 to 64,White,Less than 50 percent,Cell,1,0.3425,0.7832,1.2311,0.9151,2018-11-01 20:48:54
Dem,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Republican,Nonwhite,Rest,40 to 64,Other Non-White,50 to 85 percent,Cell,1,0.566,1.3433,1.2405,1.4197,2018-11-01 20:52:21
Und,65 and older,Some college or trade school,White,Male,White,Don't know,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Cell,1,0.9212,0.7921,0.3666,0.7751,2018-11-01 20:54:36
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Democratic,Male,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,Henrico,40 to 64,White,85 percent or higher,Cell,1,0.97,0.9652,0.9608,0.9402,2018-11-01 20:58:30
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,18 to 39,White,85 percent or higher,Cell,1,0.8874,0.9492,0.493,0.9329,2018-11-01 21:02:28
Dem,35 to 49,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Chesterfield,40 to 64,White,85 percent or higher,Cell,1,0.912,0.9091,0.5416,0.8765,2018-11-01 21:07:43
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Cell,1,0.97,0.7384,0.2845,0.7193,2018-11-01 21:08:19
Dem,50 to 64,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),Nonwhite,Chesterfield,40 to 64,White,85 percent or higher,Cell,1,0.9362,0.5793,0.2931,0.5707,2018-11-01 21:10:07
Und,50 to 64,High school,White,Female,White,Approve,Don't know,Unfavorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Chesterfield,40 to 64,White,Less than 50 percent,Cell,1,0.4449,1.3829,3.205,1.5306,2018-11-01 21:15:13
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,40 to 64,White,50 to 85 percent,Cell,1,0.57,0.709,0.5095,0.7484,2018-11-01 21:17:08
