response,ager,educ,file_race,gender,race_eth,approve,COAL,CRIMES,genballot,hdem_fav,hrep_fav,NFLA,NFLRIGHT,OPIOID,REVERSERACIS,STRANGER,SWAMP,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedb,file_race_unkother,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Und,50 to 64,High school,White,Female,White,Approve,support,disagree,Dems. take House,Don't know,Don't know,oppose,oppose,no,agree,agree,agree,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,50 to 64,White,85 percent or higher,Cell,1,0.9628,1.1052,0.4613,1.1189,2018-09-10 20:29:45
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,support,agree,Don't know,Don't know,Unfavorable,oppose,support,no,agree,disagree,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Huntington/West,50 to 64,White,85 percent or higher,Cell,1,0.8899,0.2724,0.1152,0.2781,2018-09-10 20:26:00
Rep,50 to 64,Some college or trade school,White,Female,Asian,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,agree,agree,18 to 29,Some College Educ.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,Mr. Ojeda's District,18 to 34,White,50 to 85 percent,Landline,1,0.7918,1.1482,1.0024,1.1913,2018-09-10 20:26:54
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,no,agree,disagree,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington/West,65 and older,White,85 percent or higher,Cell,1,0.9738,0.711,0.2493,0.7194,2018-09-10 20:17:54
Dem,65 and older,Graduate or Professional Degree,White,Male,Black,Disapp.,oppose,agree,Dems. take House,Favorable,Favorable,support,support,no,disagree,agree,disagree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,Coal Country,65 and older,White,85 percent or higher,Cell,1,0.9385,0.4415,0.1873,0.448,2018-09-10 20:25:33
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,agree,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",White,Huntington/West,35 to 49,White,85 percent or higher,Cell,1,0.962,0.6654,0.255,0.6737,2018-09-10 20:31:06
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,support,agree,Dems. take House,Favorable,Unfavorable,support,support,no,agree,agree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,50 to 64,White,85 percent or higher,Cell,1,0.9872,0.399,0.1554,0.4036,2018-09-10 20:26:36
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,disagree,agree,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Mr. Ojeda's District,50 to 64,Unknown/Non-White,85 percent or higher,Landline,1,0.932,0.585,0.3272,0.5861,2018-09-10 20:29:18
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,support,Don't know,Reps. keep House,Don't know,Don't know,oppose,oppose,yes,agree,agree,agree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Coal Country,65 and older,White,85 percent or higher,Cell,1,0.9053,0.918,0.3497,0.935,2018-09-10 20:20:09
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,agree,agree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington/West,35 to 49,White,85 percent or higher,Cell,1,0.9754,0.7407,0.3829,0.7495,2018-09-10 20:18:39
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,oppose,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Greenbrier/East,50 to 64,White,50 to 85 percent,Cell,1,0.6708,0.6288,0.3742,0.67,2018-09-10 20:30:48
Dem,65 and older,High school,Hispanic,Female,White,Approve,support,disagree,Reps. keep House,Favorable,Don't know,oppose,oppose,yes,agree,agree,agree,65 and older,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Greenbrier/East,65 and older,Unknown/Non-White,85 percent or higher,Landline,1,0.9651,2.116,1.1048,2.1243,2018-09-10 20:27:30
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,yes,Don't know,disagree,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Coal Country,50 to 64,White,85 percent or higher,Cell,1,0.9664,0.3958,0.1489,0.4006,2018-09-10 20:31:42
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,oppose,Don't know,Dems. take House,Don't know,Don't know,oppose,oppose,yes,agree,Don't know,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Huntington/West,50 to 64,White,50 to 85 percent,Landline,1,0.7299,0.6064,0.3394,0.6372,2018-09-10 20:21:39
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,yes,agree,agree,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,35 to 49,White,85 percent or higher,Landline,1,0.9306,0.7947,0.4414,0.807,2018-09-10 20:29:09
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,yes,Don't know,disagree,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington/West,65 and older,White,85 percent or higher,Cell,1,0.9709,0.5008,0.2108,0.5068,2018-09-10 20:17:54
Rep,65 and older,High school,White,Male,White,Approve,support,disagree,Reps. keep House,Favorable,Unfavorable,oppose,oppose,Don't know,agree,agree,agree,65 and older,High School Grad. or Less,Democratic,Male,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,85 percent or higher,Cell,1,0.9798,2.2789,1.1091,2.2925,2018-09-10 20:23:36
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,oppose,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,30 to 44,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Huntington/West,35 to 49,White,Less than 50 percent,Cell,1,0.3321,0.9951,2.5663,1.1103,2018-09-10 20:17:18
Rep,65 and older,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,disagree,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,50 to 85 percent,Cell,1,0.8018,1.0774,0.6051,1.1158,2018-09-10 20:25:33
Rep,65 and older,High school,White,Female,White,Approve,support,Don't know,Reps. keep House,Don't know,Don't know,oppose,oppose,no,agree,agree,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,White,50 to 85 percent,Landline,1,0.7743,2.3153,1.6759,2.4103,2018-09-10 20:20:54
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,support,no,disagree,agree,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Greenbrier/East,50 to 64,White,85 percent or higher,Landline,1,0.9666,0.5062,0.156,0.5123,2018-09-10 20:28:33
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,yes,agree,agree,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Coal Country,35 to 49,White,85 percent or higher,Cell,1,0.874,0.699,0.4257,0.7151,2018-09-10 20:30:48
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,oppose,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,18 to 34,White,85 percent or higher,Cell,1,0.9066,0.6213,0.3451,0.6327,2018-09-10 20:23:09
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Don't know,oppose,oppose,no,agree,disagree,agree,45 to 64,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Mr. Ojeda's District,35 to 49,White,Less than 50 percent,Cell,1,0.106,0.6547,4.3002,0.8957,2018-09-10 20:25:42
Dem,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,oppose,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,agree,agree,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Huntington/West,50 to 64,Unknown/Non-White,85 percent or higher,Landline,1,0.975,0.9199,0.4405,0.9308,2018-09-10 20:20:09
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,support,yes,disagree,disagree,agree,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Mr. Ojeda's District,18 to 34,White,50 to 85 percent,Landline,1,0.8423,0.9636,0.519,0.9908,2018-09-10 20:19:15
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Don't know,oppose,oppose,yes,agree,agree,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Coal Country,50 to 64,White,50 to 85 percent,Cell,1,0.76,0.7393,0.2637,0.7719,2018-09-10 20:29:36
Rep,50 to 64,High school,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,agree,disagree,agree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,50 to 64,White,85 percent or higher,Cell,1,0.9527,1.3096,0.6857,1.3269,2018-09-10 20:20:27
Rep,50 to 64,Some college or trade school,White,Female,White,Disapp.,support,agree,Don't know,Unfavorable,Favorable,support,support,no,agree,agree,disagree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,50 to 64,White,Less than 50 percent,Landline,0.6667,0.2153,0.7033,2.7037,0.679,2018-09-10 20:31:33
Rep,65 and older,High school,Hispanic,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,oppose,oppose,no,agree,agree,agree,65 and older,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,65 and older,Unknown/Non-White,85 percent or higher,Landline,1,0.973,2.1943,1.0599,2.205,2018-09-10 20:20:00
Dem,[DO NOT READ] Refused,High school,White,Female,White,Disapp.,support,agree,Dems. take House,Don't know,Don't know,oppose,support,no,Don't know,agree,disagree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Greenbrier/East,65 and older,White,85 percent or higher,Landline,1,0.9257,2.1976,1.2127,2.2016,2018-09-10 20:31:06
Rep,65 and older,Some college or trade school,White,Male,White,Approve,support,agree,Reps. keep House,Don't know,Don't know,oppose,oppose,no,agree,agree,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Greenbrier/East,65 and older,White,85 percent or higher,Cell,1,0.9283,0.9854,0.5411,1.0009,2018-09-10 20:31:24
Rep,65 and older,High school,White,Male,Other,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,agree,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,Mr. Ojeda's District,65 and older,White,85 percent or higher,Cell,1,0.9681,1.6438,0.9283,1.6637,2018-09-10 20:22:51
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Disapp.,Don't know,agree,Dems. take House,Favorable,Unfavorable,support,support,no,agree,agree,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,50 to 64,White,50 to 85 percent,Landline,1,0.845,0.7453,0.2551,0.766,2018-09-10 20:24:12
Und,65 and older,Some college or trade school,White,Male,White,Approve,support,disagree,Don't know,Don't know,Don't know,oppose,oppose,no,agree,disagree,agree,65 and older,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Greenbrier/East,65 and older,White,85 percent or higher,Landline,1,0.9364,0.9854,0.5366,0.9875,2018-09-10 20:22:06
Rep,50 to 64,High school,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,yes,disagree,agree,agree,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Huntington/West,50 to 64,White,85 percent or higher,Landline,1,0.9021,1.2117,0.5311,1.2137,2018-09-10 20:23:18
Rep,50 to 64,High school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,disagree,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Mr. Ojeda's District,50 to 64,White,50 to 85 percent,Landline,1,0.7192,1.5363,0.9673,1.6182,2018-09-10 20:29:09
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Unfavorable,oppose,oppose,no,agree,agree,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Greenbrier/East,50 to 64,White,85 percent or higher,Cell,1,0.9761,0.4779,0.2173,0.4835,2018-09-10 20:22:42
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,disagree,agree,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,Coal Country,50 to 64,White,85 percent or higher,Cell,1,0.9778,0.3825,0.1372,0.3847,2018-09-10 20:25:15
Dem,18 to 34,Some college or trade school,White,Male,White,Approve,support,disagree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,disagree,disagree,30 to 44,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Huntington/West,18 to 34,White,Less than 50 percent,Cell,0.7778,0.405,0.7501,1.5529,0.6071,2018-09-10 20:24:39
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,support,no,Don't know,agree,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Greenbrier/East,50 to 64,White,85 percent or higher,Cell,1,0.9428,0.4011,0.1304,0.4067,2018-09-10 20:18:21
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,support,disagree,Reps. keep House,Favorable,Unfavorable,oppose,oppose,no,disagree,disagree,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Mr. Ojeda's District,50 to 64,White,85 percent or higher,Cell,0.8889,0.9271,0.4546,0.1732,0.4587,2018-09-10 20:17:45
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,support,support,yes,disagree,disagree,disagree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Coal Country,50 to 64,White,85 percent or higher,Cell,1,0.9835,0.3958,0.1467,0.4004,2018-09-10 20:31:33
Dem,50 to 64,High school,White,Female,White,Disapp.,oppose,agree,Dems. take House,Favorable,Don't know,oppose,oppose,yes,agree,agree,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Greenbrier/East,50 to 64,White,Less than 50 percent,Cell,1,0.2405,1.688,4.6877,2.2166,2018-09-10 20:18:21
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,support,Don't know,Dems. take House,Favorable,Unfavorable,oppose,oppose,Don't know,agree,agree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,50 to 64,White,85 percent or higher,Cell,1,0.9885,0.399,0.1552,0.4037,2018-09-10 20:27:39
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,Black,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,yes,agree,agree,agree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Greenbrier/East,65 and older,Unknown/Non-White,85 percent or higher,Cell,1,0.956,0.6004,0.2742,0.6082,2018-09-10 20:17:00
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,oppose,agree,Dems. take House,Don't know,Unfavorable,support,support,yes,disagree,agree,disagree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,Coal Country,35 to 49,Unknown/Non-White,Less than 50 percent,Cell,0.8889,0.3055,0.6746,1.5093,0.8004,2018-09-10 20:21:21
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,disagree,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Coal Country,35 to 49,White,50 to 85 percent,Cell,1,0.7661,0.9516,0.6408,0.9923,2018-09-10 20:23:18
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,oppose,support,yes,Don't know,disagree,Don't know,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington/West,50 to 64,White,50 to 85 percent,Cell,1,0.8171,0.6422,0.2148,0.6632,2018-09-10 20:25:42
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Unfavorable,oppose,oppose,yes,disagree,agree,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington/West,50 to 64,White,85 percent or higher,Cell,1,0.9642,0.6305,0.2816,0.6383,2018-09-10 20:31:15
Dem,65 and older,High school,White,Male,White,Disapp.,oppose,agree,Dems. take House,Don't know,Don't know,Don't know,Don't know,no,disagree,disagree,disagree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,85 percent or higher,Cell,1,0.9489,2.2789,1.1446,2.3099,2018-09-10 20:18:48
Und,35 to 49,Some college or trade school,White,Male,White,Don't know,support,disagree,Don't know,Unfavorable,Unfavorable,oppose,support,yes,agree,disagree,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,35 to 49,White,50 to 85 percent,Cell,1,0.7562,1.1608,0.7508,1.2129,2018-09-10 20:20:27
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,support,agree,Dems. take House,Don't know,Don't know,support,support,no,agree,disagree,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,85 percent or higher,Cell,1,0.9122,1.0938,0.6255,1.1131,2018-09-10 20:20:36
Rep,50 to 64,High school,Black,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,yes,agree,agree,agree,45 to 64,High School Grad. or Less,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Greenbrier/East,50 to 64,Unknown/Non-White,85 percent or higher,Cell,0.5556,0.8926,1.4041,0.6433,1.2425,2018-09-10 20:19:42
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,support,agree,Don't know,Favorable,Don't know,oppose,support,yes,disagree,disagree,disagree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,35 to 49,White,85 percent or higher,Cell,1,0.9083,1.0237,0.6357,1.0424,2018-09-10 20:24:30
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,support,agree,Dems. take House,Favorable,Unfavorable,oppose,oppose,yes,disagree,agree,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Coal Country,50 to 64,White,85 percent or higher,Cell,1,0.9809,0.4439,0.1659,0.4491,2018-09-10 20:20:27
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,oppose,agree,Dems. take House,Favorable,Don't know,support,support,yes,disagree,agree,disagree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Coal Country,35 to 49,White,50 to 85 percent,Cell,1,0.6648,0.582,0.36870000000000003,0.6211,2018-09-10 20:27:48
Und,50 to 64,High school,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,no,agree,agree,agree,45 to 64,High School Grad. or Less,Other,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,50 to 64,White,Less than 50 percent,Cell,0.2222,0.4011,1.1953,1.7351,0.4113,2018-09-10 20:23:36
Dem,50 to 64,Bachelors' degree,White,Female,White,Approve,oppose,disagree,Reps. keep House,Favorable,Don't know,oppose,support,yes,disagree,disagree,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Coal Country,50 to 64,White,50 to 85 percent,Cell,1,0.8122,0.8876,0.3295,0.9174,2018-09-10 20:20:18
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,disagree,agree,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington/West,50 to 64,White,85 percent or higher,Cell,1,0.9791,0.3323,0.1206,0.3362,2018-09-10 20:23:00
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,support,disagree,Reps. keep House,Favorable,Favorable,oppose,oppose,no,agree,disagree,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,50 to 64,White,85 percent or higher,Cell,1,0.9619,0.5475,0.174,0.5543,2018-09-10 20:17:18
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,support,agree,Dems. take House,Don't know,Unfavorable,oppose,oppose,no,disagree,agree,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Mr. Ojeda's District,65 and older,White,50 to 85 percent,Cell,1,0.7625,0.7369,0.4683,0.7689,2018-09-10 20:22:24
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,no,disagree,disagree,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,50 to 64,Unknown/Non-White,85 percent or higher,Cell,1,0.939,0.8221,0.3764,0.834,2018-09-10 20:23:36
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Don't know,oppose,oppose,yes,agree,agree,agree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Coal Country,35 to 49,White,Less than 50 percent,Cell,1,0.4738,0.9541,1.5507,1.0835,2018-09-10 20:17:36
Rep,65 and older,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,oppose,support,no,disagree,disagree,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,65 and older,White,85 percent or higher,Cell,1,0.9339,1.0572,0.5641,1.0732,2018-09-10 20:22:24
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,oppose,agree,Dems. take House,Favorable,Favorable,support,support,yes,disagree,disagree,disagree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Huntington/West,35 to 49,White,50 to 85 percent,Cell,0.8889,0.7785,0.4887,0.2553,0.5006,2018-09-10 20:26:45
Und,65 and older,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,Don't know,Dems. take House,Don't know,Favorable,support,support,yes,disagree,disagree,disagree,65 and older,Some College Educ.,Democratic,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Huntington/West,65 and older,White,85 percent or higher,Cell,1,0.9258,0.9184,0.4916,0.9201,2018-09-10 20:24:30
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,oppose,agree,Dems. take House,Unfavorable,Unfavorable,support,support,no,disagree,agree,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Greenbrier/East,50 to 64,White,85 percent or higher,Cell,1,0.9662,0.4011,0.1277,0.406,2018-09-10 20:19:51
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,disagree,disagree,agree,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Greenbrier/East,18 to 34,White,Less than 50 percent,Cell,1,0.2335,0.8819,2.2051,1.1659,2018-09-10 20:17:00
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,oppose,agree,Dems. take House,Favorable,Don't know,support,support,yes,disagree,agree,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Huntington/West,35 to 49,White,50 to 85 percent,Cell,1,0.564,0.7157,0.5323,0.7864,2018-09-10 20:22:06
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Don't know,oppose,oppose,yes,agree,agree,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington/West,50 to 64,White,85 percent or higher,Cell,1,0.969,0.4881,0.15310000000000001,0.494,2018-09-10 20:23:18
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,oppose,agree,Dems. take House,Favorable,Don't know,support,support,no,disagree,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Coal Country,35 to 49,White,85 percent or higher,Cell,1,0.927,0.6261,0.314,0.6361,2018-09-10 20:25:24
Dem,35 to 49,Bachelors' degree,White,Female,White,Approve,support,disagree,Don't know,Favorable,Don't know,Don't know,Don't know,yes,agree,agree,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Coal Country,35 to 49,White,85 percent or higher,Cell,1,0.8945,0.8889,0.3872,0.9067,2018-09-10 20:22:33
