response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Some college or trade school,Unknown,Male,Black,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,50 to 64,No 4-year College Degree,Unknown,Aurora,85 percent or higher,Cell,1,0.965,0.7522,0.6117,0.7563,2018-10-14 21:22:12
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Aurora,85 percent or higher,Landline,1,0.965,0.8421,0.6673,0.8537,2018-10-14 21:22:24
Rep,18 to 34,Some college or trade school,Asian,Female,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,Other Non-White,Adams,50 to 85 percent,Cell,1,0.8494,1.0077,1.1364,1.0124,2018-10-14 21:24:45
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,or as a member of another political party,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Adams,50 to 85 percent,Cell,1,0.6162,0.7558,0.9731,0.7786,2018-10-14 21:26:15
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Aurora,85 percent or higher,Cell,1,0.9598,0.9497,0.7053,0.9631,2018-10-14 21:26:33
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Douglas,85 percent or higher,Cell,1,0.965,1.7141,1.2653,1.7377,2018-10-14 21:30:27
Rep,65 and older,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,No 4-year College Degree,White,Aurora,85 percent or higher,Landline,1,0.965,0.8321,0.6303,0.8435,2018-10-14 21:30:48
Dem,65 and older,Some college or trade school,White,Female,Asian,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,No 4-year College Degree,White,Aurora,85 percent or higher,Cell,1,0.965,1.0398,0.7822,1.0541,2018-10-14 21:32:56
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,1.2237,0.8915,1.2405,2018-10-14 21:38:56
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.9529,0.6216,0.966,2018-10-14 21:39:59
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Aurora,85 percent or higher,Cell,1,0.965,0.8097,0.5453,0.8208,2018-10-14 21:43:53
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,18 to 29,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,1.0316,0.7652,1.0371,2018-10-14 21:45:41
3,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Aurora,85 percent or higher,Landline,1,0.965,0.9422,0.7392,0.9473,2018-10-14 21:46:35
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,Postgraduate Degree,Unknown,Adams,85 percent or higher,Cell,1,0.923,0.5576,0.4634,0.5675,2018-10-14 21:51:04
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.5505,0.9547,1.1392,1.0552,2018-10-14 21:52:34
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,1.1438,0.6992,1.1595,2018-10-14 21:53:37
Und,65 and older,Some college or trade school,Unknown,Female,Hispanic,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Not very likely,Independent (No party),Nonwhite,Nonwhite,65 and older,No 4-year College Degree,Unknown,Rest of Araphahoe,50 to 85 percent,Cell,0.5556,0.8119,1.1062,0.9755,0.8425,2018-10-14 21:58:34
Rep,50 to 64,Bachelors' degree,White,Male,Black,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,50 to 64,4-year College Grad.,White,Aurora,85 percent or higher,Cell,1,0.9187,0.7871,0.5498,0.7896,2018-10-14 21:59:10
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,Unknown,Douglas,85 percent or higher,Cell,1,0.965,1.25,0.988,1.2672,2018-10-14 22:00:04
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Aurora,50 to 85 percent,Cell,0.8889,0.8461,0.9136,0.718,0.9293,2018-10-14 22:03:58
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,Unknown,Aurora,85 percent or higher,Cell,1,0.965,0.7596,0.5359,0.7701,2018-10-14 22:07:52
4,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Aurora,Less than 50 percent,Cell,1,0.4707,0.9569,1.7623,1.0176,2018-10-14 22:08:46
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,0.6954,0.4528,0.705,2018-10-14 22:08:51
Dem,18 to 34,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Aurora,50 to 85 percent,Cell,1,0.5666,0.8251,1.1064,0.8578,2018-10-14 22:12:58
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Douglas,85 percent or higher,Cell,1,0.965,1.3463,1.0198,1.3648,2018-10-14 22:15:58
Und,50 to 64,Some college or trade school,White,Male,White,Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Rest of Araphahoe,50 to 85 percent,Cell,0.2222,0.7018,0.9938,0.9279,0.5668,2018-10-14 22:16:52
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Postgraduate Degree,White,Adams,50 to 85 percent,Cell,1,0.7946,0.5681,0.5454,0.59,2018-10-14 22:17:19
Dem,18 to 34,Some college or trade school,Asian,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,Other Non-White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9282,1.2562,1.1376,1.2778,2018-10-14 22:24:43
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Adams,85 percent or higher,Cell,1,0.9178,0.5579,0.4589,0.5682,2018-10-14 22:26:13
3,18 to 34,Some college or trade school,Unknown,Male,Black,Disapp.,Don't know,Don't know,Favorable,18 to 29,Some College Educ.,Other,Male,Somewhat likely,or as a member of another political party,Nonwhite,Nonwhite,18 to 34,No 4-year College Degree,Unknown,Aurora,Less than 50 percent,Cell,0.2222,0.4038,0.8087,1.949,0.4396,2018-10-14 22:26:22
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,Unknown,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,0.6457,0.4387,0.6546,2018-10-14 22:27:34
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,No 4-year College Degree,White,Aurora,85 percent or higher,Landline,1,0.965,0.9124,0.6972,0.925,2018-10-14 22:28:28
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,1.2385,0.9438,1.2555,2018-10-14 22:29:31
Dem,65 and older,Some college or trade school,White,Female,White,Don't know,Dems. take House,Don't know,Favorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.9455,1.2237,0.9099,1.2285,2018-10-14 22:30:52
Rep,50 to 64,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.7852,0.9534,0.8389,0.9919,2018-10-14 22:31:10
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.8361,0.5317,0.8476,2018-10-14 22:35:56
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Douglas,85 percent or higher,Landline,1,0.965,1.7179,1.529,1.7272,2018-10-14 22:35:56
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Aurora,85 percent or higher,Cell,1,0.9408,1.0969,0.8397,1.1143,2018-10-14 22:36:59
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Aurora,85 percent or higher,Cell,1,0.965,0.8005,0.5964,0.8116,2018-10-14 22:38:29
Rep,18 to 34,Some college or trade school,Other,Male,White,Approve,Reps. keep House,Don't know,Don't know,18 to 29,Some College Educ.,Other,Male,Somewhat likely,or as a member of another political party,"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,Other Non-White,Rest of Araphahoe,Less than 50 percent,Cell,0.6667,0.4855,1.2758,2.5286,0.9845,2018-10-14 22:39:59
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Adams,85 percent or higher,Landline,1,0.965,0.9942,0.7041,1.0078,2018-10-14 22:40:08
Dem,65 and older,Some college or trade school,Asian,Female,Asian,Disapp.,Dems. take House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,No 4-year College Degree,Other Non-White,Rest of Araphahoe,85 percent or higher,Cell,1,0.8907,1.523,1.2809,1.5566,2018-10-14 22:43:53
Dem,50 to 64,Some college or trade school,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,Hispanic,Aurora,85 percent or higher,Landline,1,0.965,1.1594,0.941,1.1753,2018-10-14 22:44:02
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Adams,85 percent or higher,Cell,1,0.9448,0.5368,0.4218,0.545,2018-10-14 22:49:58
Und,18 to 34,High school,Hispanic,Female,[DO NOT READ] Don't know/Refused,Don't know,Dems. take House,Don't know,Don't know,30 to 44,High School Grad. or Less,Other,Female,Somewhat likely,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,18 to 34,No 4-year College Degree,Hispanic,Aurora,50 to 85 percent,Cell,0.6667,0.5501,1.3102,1.9888,1.0307,2018-10-14 22:55:49
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.9629,0.6305,0.9761,2018-10-14 22:58:22
4,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Reps. keep House,Don't know,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Aurora,85 percent or higher,Landline,0.7778,0.9398,0.8332,0.6162,0.8228,2018-10-14 23:01:22
Rep,65 and older,High school,White,Female,White,Approve,Dems. take House,Don't know,Favorable,65 and older,High School Grad. or Less,Other,Female,[DO NOT READ] Don't know/Refused,Democrat,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Adams,50 to 85 percent,Landline,0.6667,0.5936,1.0232,1.3098,0.7618,2018-10-14 23:02:25
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Don't know,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.8529,0.8635,0.6647,0.8876,2018-10-14 23:03:28
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,30 to 44,[DO NOT READ] Don't know/Refused,Other,Female,[DO NOT READ] Don't know/Refused,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,35 to 49,[DO NOT READ] Don't know/Refused,White,Aurora,50 to 85 percent,Cell,0.4444,0.5584,0.9857,1.1121,0.6302,2018-10-14 23:07:46
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Adams,85 percent or higher,Cell,1,0.965,0.7558,0.6551,0.7662,2018-10-14 23:11:31
4,18 to 34,Some college or trade school,Unknown,Male,Hispanic,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,18 to 34,No 4-year College Degree,Unknown,Aurora,50 to 85 percent,Cell,1,0.6183,0.84,1.0866,0.9091,2018-10-14 23:15:54
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,1.2385,0.9438,1.2451,2018-10-14 23:16:01
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Rest of Araphahoe,50 to 85 percent,Cell,0.8889,0.6318,1.0093,1.1952,1.0628,2018-10-14 23:30:27
3,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.6341,1.0647,1.2464,1.1472,2018-10-14 23:47:02
Dem,65 and older,Some college or trade school,White,Female,White,Approve,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Aurora,85 percent or higher,Landline,1,0.9461,1.0523,0.8446,1.0684,2018-10-15 00:03:58
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Rest of Araphahoe,50 to 85 percent,Cell,0.6667,0.7345,1.1364,0.9109,0.9545,2018-10-15 00:04:25
Dem,50 to 64,High school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,No 4-year College Degree,Hispanic,Aurora,50 to 85 percent,Cell,1,0.7988,1.073,0.9654,1.1134,2018-10-15 00:09:04
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Adams,85 percent or higher,Cell,1,0.8884,0.7856,0.752,0.8032,2018-10-15 00:16:34
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Adams,85 percent or higher,Cell,1,0.965,0.5513,0.4122,0.5588,2018-10-15 00:20:59
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Aurora,50 to 85 percent,Cell,1,0.7021,0.8005,0.7775,0.8477,2018-10-15 00:25:38
Und,65 and older,Some college or trade school,White,Female,Other,Disapp.,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Other,Female,Very likely,[DO NOT READ] Refused,Nonwhite,Nonwhite,65 and older,No 4-year College Degree,White,Adams,85 percent or higher,Cell,1,0.9327,1.0636,0.9287,1.0673,2018-10-15 00:27:26
4,18 to 34,Graduate or Professional Degree,White,Male,White,Don't know,Don't know,Favorable,Favorable,18 to 29,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Postgraduate Degree,White,Douglas,85 percent or higher,Cell,1,0.9498,1.2506,1.0588,1.2693,2018-10-15 00:28:02
Dem,65 and older,High school,White,Female,White,Don't know,Reps. keep House,Favorable,Favorable,65 and older,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Aurora,85 percent or higher,Cell,1,0.9386,1.1402,0.8895,1.1443,2018-10-15 00:33:57
4,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.8704,1.0797,0.9357,1.1068,2018-10-15 00:37:33
Dem,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,18 to 29,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Adams,Less than 50 percent,Cell,1,0.3157,0.75,2.555,0.8447,2018-10-15 00:41:45
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.6954,0.4528,0.705,2018-10-15 00:52:03
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Aurora,50 to 85 percent,Cell,1,0.5482,0.8101,1.0542,0.8961,2018-10-15 01:07:42
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Douglas,85 percent or higher,Cell,1,0.965,1.1065,0.8204,1.1125,2018-10-15 01:14:45
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Aurora,50 to 85 percent,Cell,1,0.8348,0.8575,0.6368,0.884,2018-10-15 01:22:14
4,18 to 34,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Don't know,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,Nonwhite,Nonwhite,18 to 34,No 4-year College Degree,White,Aurora,50 to 85 percent,Cell,0.6667,0.6078,0.8576,1.0901,0.6873,2018-10-15 01:46:25
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Aurora,85 percent or higher,Landline,1,0.9463,0.9124,0.7109,0.9263,2018-10-15 22:47:44
Rep,50 to 64,Graduate or Professional Degree,White,Female,Hispanic,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,Postgraduate Degree,White,Adams,85 percent or higher,Landline,1,0.965,0.6045,0.456,0.6128,2018-10-15 22:54:29
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,Unknown,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.8068,0.5445,0.8179,2018-10-15 23:49:05
Und,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Adams,50 to 85 percent,Cell,1,0.6452,0.8456,1.0295,0.9084,2018-10-15 23:55:41
Und,50 to 64,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,No 4-year College Degree,White,Adams,85 percent or higher,Cell,1,0.965,0.7763,0.654,0.7869,2018-10-15 23:55:41
Dem,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,35 to 49,4-year College Grad.,Other Non-White,Rest of Araphahoe,Less than 50 percent,Cell,0.6667,0.2864,1.2419,3.2809,1.1755,2018-10-16 00:03:17
Dem,65 and older,Some college or trade school,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,Hispanic,Aurora,85 percent or higher,Cell,1,0.8707,1.4488,1.2942,1.4851,2018-10-16 00:03:35
Dem,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Don't know,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,No 4-year College Degree,Hispanic,Aurora,85 percent or higher,Cell,1,0.965,1.3129,1.1036,1.3309,2018-10-16 00:08:05
