response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,TXHORSERACE,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Und,50 to 64,High school,White,Male,White,Don't know,Don't know,Don't know,Don't know,Don't know,45 to 64,High School Grad. or Less,Republican,Male,Already voted,[DO NOT READ] Refused,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Landline,1,0.97,0.9091,0.4508,0.882,2018-10-31 00:43:14
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Dallas, Trump",85 percent or higher,Landline,1,0.97,1.213,0.6895,1.1768,2018-10-31 00:51:53
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Landline,1,0.97,0.7439,0.3766,0.7217,2018-10-31 01:14:53
Und,35 to 49,Graduate or Professional Degree,White,Male,White,Don't know,Don't know,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Already voted,[DO NOT READ] Refused,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Rest, Trump",50 to 85 percent,Cell,1,0.7234,0.6231,0.362,0.642,2018-10-31 01:16:41
Und,35 to 49,Bachelors' degree,White,Female,White,Don't know,Reps. keep House,Favorable,Favorable,Don't know,30 to 44,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Landline,1,0.97,1.2045,0.6506,1.1686,2018-10-31 01:30:52
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,0.911,0.5765,0.8838,2018-10-31 01:45:32
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,Hispanic,"Dallas, Trump",85 percent or higher,Landline,1,0.97,0.4929,0.2127,0.4782,2018-10-31 01:46:40
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,Favorable,Favorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Dallas, Trump",85 percent or higher,Landline,1,0.97,0.7351,0.3852,0.7095,2018-10-31 01:46:40
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,Beto O'Rourke,18 to 29,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,"Dallas, Clinton",Less than 50 percent,Cell,0.8889,0.3398,0.6861,1.2256,0.7612,2018-10-31 02:05:20
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Unfavorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Dallas, Clinton",50 to 85 percent,Landline,1,0.8211,0.6953,0.4103,0.6971,2018-10-31 02:05:20
Rep,18 to 34,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,Unknown,"Rest, Clinton",Less than 50 percent,Cell,0.8889,0.1005,0.9328,3.6229,1.3302,2018-10-31 02:08:56
Dem,50 to 64,Some college or trade school,Other,Male,White,Don't know,Dems. take House,Don't know,Favorable,Beto O'Rourke,45 to 64,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Other Non-White,"Dallas, Clinton",85 percent or higher,Landline,1,0.97,1.0912,0.5768,1.0587,2018-10-31 02:12:32
Rep,65 and older,[DO NOT READ] Refused,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,65 and older,[DO NOT READ] Don't know/Refused,Other,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,[DO NOT READ] Don't know/Refused,White,"Rest, Trump",85 percent or higher,Landline,1,0.8979,1.1907,1.0276,1.172,2018-10-31 02:13:17
Dem,35 to 49,Bachelors' degree,Unknown,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),Nonwhite,18 to 39,4-year College Grad.,Unknown,"Rest, Trump",85 percent or higher,Cell,1,0.97,1.1174,0.5154,1.0841,2018-10-31 02:13:53
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Rest, Clinton",85 percent or higher,Cell,1,0.97,0.8616,0.5069,0.8316,2018-10-31 02:14:56
Und,35 to 49,Some college or trade school,White,Male,White,Disapp.,Reps. keep House,Favorable,Favorable,Ted Cruz,30 to 44,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,"Dallas, Trump",50 to 85 percent,Cell,0.8889,0.8163,1.2521,1.0197,1.1803,2018-10-31 02:17:25
Dem,65 and older,Graduate or Professional Degree,Black,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Other Non-White,"Rest, Trump",85 percent or higher,Landline,1,0.8523,0.6682,0.3548,0.6647,2018-10-31 02:18:55
Dem,35 to 49,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Democratic,Female,Already voted,Democrat,Nonwhite,18 to 39,Postgraduate Degree,Other Non-White,"Rest, Clinton",85 percent or higher,Cell,1,0.97,0.917,0.7054,0.8897,2018-10-31 02:21:28
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Dallas, Trump",85 percent or higher,Landline,1,0.97,0.8351,0.4902,0.8102,2018-10-31 02:22:04
Dem,18 to 34,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),Nonwhite,18 to 39,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.9564,0.911,0.5847,0.8859,2018-10-31 02:24:10
Dem,[DO NOT READ] Refused,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,65 and older,No 4-year College Degree,Other Non-White,"Rest, Trump",85 percent or higher,Cell,1,0.97,1.4536,0.9009,1.4102,2018-10-31 02:24:28
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,"Dallas, Trump",85 percent or higher,Cell,1,0.97,0.6941,0.4004,0.6734,2018-10-31 02:29:52
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Dallas, Clinton",85 percent or higher,Landline,1,0.97,0.6344,0.3068,0.6155,2018-10-31 02:31:00
3,50 to 64,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,Ted Cruz,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Unknown,"Rest, Trump",50 to 85 percent,Cell,1,0.7251,1.3433,0.8528,1.3478,2018-10-31 02:35:39
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,[DO NOT READ] Don't know/Refused,Republican,Male,Already voted,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,[DO NOT READ] Don't know/Refused,White,"Dallas, Trump",85 percent or higher,Landline,1,0.97,0.8981,0.6835,0.8713,2018-10-31 02:38:57
Dem,50 to 64,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Democrat,Nonwhite,40 to 64,Postgraduate Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.97,0.6344,0.3068,0.6155,2018-10-31 02:40:18
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,"Dallas, Clinton",85 percent or higher,Cell,1,0.97,0.8237,0.3569,0.7992,2018-10-31 02:44:12
Und,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,Beto O'Rourke,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,"Dallas, Trump",Less than 50 percent,Cell,0.8889,0.3973,0.8101,1.3635,0.874,2018-10-31 22:06:33
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,Beto O'Rourke,45 to 64,Some College Educ.,Other,Female,Already voted,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,"Dallas, Trump",50 to 85 percent,Landline,1,0.5834,1.365,1.3747,1.4768,2018-10-31 22:42:17
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,45 to 64,High School Grad. or Less,Other,Female,Already voted,or as a member of another political party,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,"Rest, Clinton",50 to 85 percent,Landline,1,0.7815,1.2813,1.1515,1.2982,2018-10-31 22:52:15
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Dallas, Clinton",85 percent or higher,Landline,1,0.97,1.3837,0.8382,1.3356,2018-10-31 22:56:45
Und,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Rest, Clinton",85 percent or higher,Landline,1,0.9305,0.9605,0.6489,0.9389,2018-10-31 22:58:06
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.9198,0.9114,0.4495,0.8929,2018-10-31 22:59:27
Dem,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,65 and older,No 4-year College Degree,Hispanic,"Rest, Trump",85 percent or higher,Landline,1,0.97,1.2097,0.7379,1.1736,2018-10-31 23:00:03
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Dallas, Clinton",85 percent or higher,Landline,1,0.97,0.8385,0.4683,0.8135,2018-10-31 23:04:28
Rep,65 and older,Some college or trade school,White,Female,Other,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,Nonwhite,65 and older,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Landline,1,0.97,1.3394,0.845,1.2995,2018-10-31 23:07:46
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Some College Educ.,Other,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Rest, Trump",50 to 85 percent,Landline,1,0.5727,1.1434,1.0632,1.2424,2018-10-31 23:09:43
Und,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,"Dallas, Clinton",Less than 50 percent,Cell,0.8889,0.4563,1.1322,1.6337,1.1933,2018-10-31 23:10:46
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.9503,0.8385,0.478,0.8164,2018-10-31 23:15:50
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Other,Female,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.8982,0.73740000000000006,0.3793,0.7257,2018-10-31 23:21:17
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,Ted Cruz,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Rest, Clinton",85 percent or higher,Cell,1,0.97,0.878,0.5252,0.8518,2018-10-31 23:21:26
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Dallas, Trump",85 percent or higher,Landline,0.7778,0.97,0.8351,0.4902,0.7921,2018-10-31 23:21:35
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Dallas, Trump",85 percent or higher,Landline,1,0.9653,1.3488,0.9,1.3097,2018-10-31 23:25:56
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,Beto O'Rourke,45 to 64,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.8809,1.0273,0.5836,1.0151,2018-10-31 23:29:23
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,0.6157,0.2924,0.5973,2018-10-31 23:29:32
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,0.9114,0.4262,0.8798,2018-10-31 23:33:12
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,High School Grad. or Less,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Dallas, Trump",85 percent or higher,Landline,1,0.97,1.0206,0.5868,0.9901,2018-10-31 23:33:30
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Dallas, Trump",85 percent or higher,Cell,1,0.97,0.7351,0.3852,0.7131,2018-10-31 23:37:00
Und,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,Don't know,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,"Rest, Trump",Less than 50 percent,Cell,1,0.417,0.6087,0.8031,0.6265,2018-10-31 23:37:15
Rep,65 and older,High school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,Ted Cruz,65 and older,High School Grad. or Less,Other,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,"Rest, Trump",50 to 85 percent,Cell,1,0.5014,1.1232,0.9257,1.2599,2018-10-31 23:51:02
Rep,65 and older,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Favorable,Favorable,Beto O'Rourke,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Rest, Clinton",85 percent or higher,Landline,1,0.9661,1.2662,1.0089,1.2292,2018-10-31 23:53:08
Dem,65 and older,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Some College Educ.,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,"Dallas, Clinton",50 to 85 percent,Cell,1,0.8465,1.2661,0.6817,1.2613,2018-10-31 23:55:14
Dem,65 and older,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Postgraduate Degree,Hispanic,"Rest, Clinton",85 percent or higher,Cell,1,0.9639,0.6948,0.4664,0.6709,2018-10-31 23:58:59
Dem,18 to 34,Graduate or Professional Degree,Other,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,18 to 29,Postgraduate Degree,Other,Male,Somewhat likely,Democrat,Nonwhite,18 to 39,Postgraduate Degree,Other Non-White,"Rest, Trump",Less than 50 percent,Cell,0.6667,0.0645,0.6482,2.2973,0.4794,2018-11-01 00:15:07
Dem,50 to 64,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Don't know,Unfavorable,Beto O'Rourke,45 to 64,Some College Educ.,Other,Male,Very likely,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Other Non-White,"Rest, Clinton",Less than 50 percent,Cell,0.8889,0.3657,0.8236,1.3858,0.8216,2018-11-01 00:23:05
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Don't know,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,"Rest, Trump",50 to 85 percent,Cell,1,0.7471,1.2592,0.9604,1.2574,2018-11-01 00:41:49
Dem,50 to 64,Bachelors' degree,Other,Male,Asian,Disapp.,Dems. take House,Don't know,Don't know,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Democrat,Nonwhite,40 to 64,4-year College Grad.,Other Non-White,"Rest, Clinton",50 to 85 percent,Cell,1,0.67,1.0442,0.9178,1.0944,2018-11-01 00:53:25
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,65 and older,Some College Educ.,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Rest, Trump",50 to 85 percent,Cell,1,0.8459,1.1434,0.7197,1.1392,2018-11-01 00:56:16
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Dallas, Trump",85 percent or higher,Cell,1,0.97,0.9178,0.4518,0.8904,2018-11-01 00:59:55
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Dallas, Clinton",85 percent or higher,Landline,1,0.97,1.0273,0.53,0.9967,2018-11-01 01:03:49
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Favorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Other,Female,Already voted,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Unknown,"Rest, Trump",50 to 85 percent,Landline,1,0.8218,1.335,0.6636,1.3382,2018-11-01 01:13:54
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,1.2045,0.6506,1.1686,2018-11-01 01:18:25
Dem,50 to 64,Graduate or Professional Degree,Asian,Female,Asian,Disapp.,Reps. keep House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,Other Non-White,"Dallas, Clinton",85 percent or higher,Cell,1,0.97,0.8929,0.4818,0.8663,2018-11-01 01:28:55
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Already voted,or as a member of another political party,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Landline,1,0.97,1.2045,0.6506,1.1686,2018-11-01 01:31:56
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Favorable,Favorable,Ted Cruz,65 and older,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,"Dallas, Clinton",50 to 85 percent,Landline,0.4444,0.8271,0.7692,0.3685,0.6645,2018-11-01 01:44:05
Rep,18 to 34,Some college or trade school,Other,Male,Asian,Disapp.,Dems. take House,Favorable,Favorable,Beto O'Rourke,18 to 29,Some College Educ.,Other,Male,Almost certain,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Other Non-White,"Rest, Trump",Less than 50 percent,Landline,1,0.2539,1.0669,2.5692,1.3198,2018-11-01 01:46:29
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,"Dallas, Clinton",50 to 85 percent,Landline,1,0.6346,1.1253,1.2406,1.194,2018-11-01 01:51:36
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.97,0.7624,0.4533,0.7397,2018-11-01 01:58:12
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Dallas, Trump",85 percent or higher,Landline,1,0.97,1.0427,0.5749,1.0116,2018-11-01 02:00:27
Und,[DO NOT READ] Refused,Bachelors' degree,Hispanic,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Female,Already voted,Democrat,Nonwhite,40 to 64,4-year College Grad.,Hispanic,"Dallas, Clinton",85 percent or higher,Cell,1,0.97,1.2263,0.7063,1.1897,2018-11-01 02:01:57
Rep,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,Nonwhite,40 to 64,4-year College Grad.,Hispanic,"Rest, Clinton",50 to 85 percent,Landline,1,0.7215,0.8528,0.6737,0.8791,2018-11-01 02:02:06
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,High School Grad. or Less,Other,Male,Already voted,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,"Rest, Clinton",50 to 85 percent,Landline,1,0.6327,0.9695,0.9319,1.0294,2018-11-01 02:05:06
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Rest, Clinton",85 percent or higher,Cell,1,0.97,0.7032,0.4478,0.6822,2018-11-01 02:05:42
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Some College Educ.,Other,Female,Already voted,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,"Rest, Clinton",Less than 50 percent,Cell,1,0.3787,1.0221,1.9849,1.2299,2018-11-01 02:07:51
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Other,Male,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Dallas, Trump",50 to 85 percent,Cell,1,0.7185,0.6275,0.3863,0.6475,2018-11-01 02:12:12
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Dems. take House,Don't know,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Other,Female,Already voted,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Rest, Clinton",50 to 85 percent,Cell,1,0.7701,0.7784,0.6172,0.7912,2018-11-01 02:13:42
