response,ager,educ,file_race,gender,race_eth,approve,APPRUSSIAWI1,COLLUDE,CRIMES,DEMIMPEACH,genballot,hdem_fav,hrep_fav,IMPEACH,MUELLER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_party_model,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Unfavorable,Support,Support,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Probably Clinton,White,Rest,85 percent or higher,Cell,1,0.9799,0.494,0.3449,0.502,2018-09-12 23:18:05
Rep,50 to 64,High school,White,Female,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,Probably Clinton,White,Racine/Kenosha City,Less than 50 percent,Cell,1,0.461,1.8014,6.7981,1.9264,2018-09-12 23:18:32
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Lean Trump,White,Rest,85 percent or higher,Cell,1,0.9032,1.0029,0.6292,1.0263,2018-09-12 23:20:29
Und,65 and older,Some college or trade school,White,Female,White,Don't know,Disapp.,disagree,disagree,disagree,Reps. keep House,Don't know,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Landline,1,0.9733,0.8658,0.4564,0.874,2018-09-12 23:22:35
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Lean Trump,White,Milwaukee Suburbs,50 to 85 percent,Cell,1,0.8332,1.0208,0.7125,1.0559,2018-09-12 23:23:02
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Disapp.,agree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Oppose,65 and older,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,Lean Clinton,White,Racine/Kenosha City,85 percent or higher,Landline,1,0.9883,0.6827,0.3863,0.6911,2018-09-12 23:23:02
Dem,50 to 64,High school,White,Male,White,Disapp.,Disapp.,agree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,Probably Trump,White,Rest,50 to 85 percent,Cell,1,0.836,2.2802,1.7883,2.2992,2018-09-12 23:23:11
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Approve,disagree,agree,disagree,Dems. take House,Unfavorable,Unfavorable,Support,Support,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Lean Clinton,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9321,0.5366,0.379,0.5472,2018-09-12 23:24:14
Dem,65 and older,High school,White,Male,Black,Disapp.,Don't know,agree,agree,agree,Dems. take House,Don't know,Unfavorable,Support,Don't know,65 and older,High School Grad. or Less,Other,Male,Very likely,Democrat,Nonwhite,Nonwhite,65 and older,Lean Clinton,White,Racine/Kenosha City,50 to 85 percent,Cell,1,0.8039,1.4397,1.0766,1.4547,2018-09-12 23:29:29
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Probably Trump,White,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.9623,1.014,0.5791,1.0312,2018-09-12 23:29:47
Rep,65 and older,High school,White,Female,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Probably Trump,White,Racine/Kenosha Cty.,85 percent or higher,Landline,1,0.9857,1.7822,0.96,1.811,2018-09-12 23:29:47
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Approve,agree,agree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,30 to 44,Postgraduate Degree,Other,Female,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,Lean Clinton,White,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.9015,0.722,0.4139,0.7265,2018-09-12 23:30:41
Dem,65 and older,High school,White,Female,White,Approve,Disapp.,disagree,Don't know,Don't know,Reps. keep House,Favorable,Don't know,Oppose,Support,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Lean Clinton,White,Rest,85 percent or higher,Cell,0.4444,0.9761,1.1192,0.7735,1.1142,2018-09-12 23:31:36
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,Probably Trump,White,Rest,85 percent or higher,Cell,1,0.9052,1.2738,0.674,1.3032,2018-09-12 23:31:36
Dem,65 and older,High school,Unknown,Female,White,Don't know,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Unfavorable,Support,Support,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Probably Trump,Unknown,Milwaukee Suburbs,85 percent or higher,Landline,1,0.9478,1.3834,0.8668,1.4085,2018-09-12 23:33:51
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Approve,disagree,agree,disagree,Dems. take House,Unfavorable,Favorable,Oppose,Support,65 and older,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Landline,1,0.9957,0.7958,0.3455,0.8078,2018-09-12 23:35:12
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9937,1.0512,0.4701,1.0687,2018-09-12 23:36:06
Dem,65 and older,High school,Unknown,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Lean Trump,Unknown,Racine/Kenosha Cty.,85 percent or higher,Landline,1,0.9891,1.3047,1.0642,1.3259,2018-09-12 23:39:06
Rep,65 and older,High school,White,Female,White,Don't know,Approve,agree,Don't know,Don't know,Don't know,Favorable,Favorable,Don't know,Oppose,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Lean Clinton,White,Milwaukee Suburbs,85 percent or higher,Landline,1,0.9506,0.971,0.7202,0.9884,2018-09-12 23:39:51
Und,65 and older,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Disapp.,agree,disagree,agree,Dems. take House,Don't know,Favorable,Oppose,Oppose,65 and older,Some College Educ.,Other,Female,Somewhat likely,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,Lean Clinton,White,Rest,85 percent or higher,Landline,0.4444,0.9914,0.6195,0.4096,0.6104,2018-09-12 23:40:27
Und,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Unfavorable,Don't know,Support,Support,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Lean Trump,White,Racine/Kenosha City,50 to 85 percent,Cell,1,0.6853,1.095,0.969,1.1678,2018-09-12 23:40:54
Rep,18 to 34,High school,Other,Male,Black,Disapp.,Disapp.,disagree,agree,disagree,Reps. keep House,Don't know,Don't know,Support,Oppose,18 to 29,High School Grad. or Less,Democratic,Male,Not very likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,Probably Clinton,Non-White,Rest,50 to 85 percent,Cell,0.3333,0.5167,1.8847,1.7757,0.9844,2018-09-12 23:41:39
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Unfavorable,Support,Support,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Probably Clinton,White,Racine/Kenosha City,85 percent or higher,Landline,1,0.9956,0.5016,0.2449,0.5091,2018-09-12 23:41:48
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,45 to 64,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,Lean Clinton,Unknown,Rest,85 percent or higher,Cell,1,0.9018,0.5646,0.474,0.5681,2018-09-12 23:41:57
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Don't know,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,Lean Trump,White,Rest,50 to 85 percent,Cell,1,0.6005,1.237,1.2941,1.3497,2018-09-12 23:42:24
Rep,50 to 64,High school,White,Female,White,Approve,Disapp.,agree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,Probably Trump,White,Rest,85 percent or higher,Cell,1,0.9647,1.9533,1.2498,1.9861,2018-09-12 23:42:42
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Approve,disagree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Support,18 to 29,Some College Educ.,Republican,Male,Not at all likely,Republican,"White, No 4-Year College Degree",White,18 to 34,Probably Trump,White,Milwaukee Suburbs,Less than 50 percent,Cell,1,0.0717,1.6634,10,1.0734,2018-09-12 23:48:43
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Lean Trump,Unknown,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.9708,0.8493,0.5312,0.8633,2018-09-12 23:50:13
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Favorable,Support,Support,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Probably Clinton,White,Rest,85 percent or higher,Cell,1,0.9059,0.6013,0.3746,0.6151,2018-09-12 23:50:22
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Landline,1,0.9877,0.8637,0.4648,0.8741,2018-09-12 23:51:34
Dem,35 to 49,High school,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,30 to 44,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,Lean Clinton,White,Racine/Kenosha City,50 to 85 percent,Cell,1,0.7427,1.847,1.3871,1.944,2018-09-12 23:54:16
Rep,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Unfavorable,Favorable,Support,Oppose,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Lean Clinton,White,Rest,85 percent or higher,Cell,1,0.9364,0.6368,0.4784,0.6491,2018-09-12 23:56:49
Rep,65 and older,Some college or trade school,Unknown,Male,Other,Approve,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,65 and older,Some College Educ.,Other,Male,Almost certain,Republican,Nonwhite,Nonwhite,65 and older,Lean Clinton,Unknown,Racine/Kenosha City,85 percent or higher,Landline,1,0.9867,0.6022,0.3944,0.612,2018-09-12 23:56:58
Rep,65 and older,High school,White,Female,White,Approve,Approve,Don't know,agree,agree,Reps. keep House,Don't know,Don't know,Oppose,Support,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Lean Trump,White,Milwaukee Suburbs,85 percent or higher,Landline,0.4444,0.8763,1.2948,1.0634,1.2469,2018-09-12 23:57:52
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Approve,disagree,agree,agree,Dems. take House,Unfavorable,Unfavorable,Support,Support,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Lean Trump,White,Milwaukee Suburbs,50 to 85 percent,Cell,1,0.7696,0.9089,0.6577,0.9513,2018-09-12 23:58:19
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Don't know,Favorable,Don't know,Support,Don't know,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Lean Trump,White,Racine/Kenosha Cty.,85 percent or higher,Cell,0.8889,0.9012,0.7505,0.4715,0.7618,2018-09-12 23:59:04
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,Lean Trump,White,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.8629,0.8847,0.8382,0.9106,2018-09-12 23:59:04
Rep,50 to 64,Some college or trade school,White,Male,White,Disapp.,Disapp.,disagree,disagree,disagree,Reps. keep House,Favorable,Don't know,Oppose,Oppose,45 to 64,Some College Educ.,Republican,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",White,50 to 64,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Cell,0.4444,0.907,0.9357,0.6499,0.8207,2018-09-13 00:01:10
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Don't know,agree,Don't know,agree,Reps. keep House,Don't know,Don't know,Oppose,Don't know,45 to 64,Some College Educ.,Other,Female,Not very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,Lean Trump,White,Racine/Kenosha Cty.,85 percent or higher,Cell,0.1111,0.8681,0.8847,0.8335,0.5955,2018-09-13 00:01:26
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9967,0.89,0.4971,0.9053,2018-09-13 00:03:14
Dem,65 and older,High school,White,Female,White,Disapp.,Disapp.,agree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,65 and older,High School Grad. or Less,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,Lean Clinton,White,Racine/Kenosha City,85 percent or higher,Landline,1,0.983,1.2333,0.7195,1.2469,2018-09-13 00:05:11
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Probably Trump,Unknown,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.9947,0.8968,0.5555,0.9119,2018-09-13 00:05:20
Rep,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Approve,disagree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Support,Support,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Lean Trump,White,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.9764,0.8393,0.6405,0.853,2018-09-13 00:08:11
Dem,18 to 34,High school,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,30 to 44,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,Lean Clinton,White,Milwaukee Suburbs,50 to 85 percent,Cell,1,0.7773,1.2947,1.098,1.353,2018-09-13 00:08:38
Dem,18 to 34,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Don't know,disagree,agree,agree,Dems. take House,Unfavorable,Don't know,Support,Support,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Lean Trump,Unknown,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9562,0.6654,0.4003,0.677,2018-09-13 00:09:50
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Don't know,Oppose,Oppose,65 and older,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Lean Trump,White,Milwaukee Suburbs,50 to 85 percent,Cell,1,0.6293,0.7978,0.7526,0.8633,2018-09-13 00:10:08
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Don't know,Oppose,65 and older,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Lean Trump,White,Milwaukee Suburbs,85 percent or higher,Landline,1,0.9908,0.68,0.4332,0.6888,2018-09-13 00:12:23
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,agree,disagree,disagree,Reps. keep House,Favorable,Don't know,Oppose,Support,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Lean Trump,White,Milwaukee Suburbs,85 percent or higher,Landline,0.8889,0.9869,0.7167,0.5038,0.7233,2018-09-13 00:12:41
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Probably Trump,Unknown,Rest,85 percent or higher,Cell,1,0.9424,0.9538,0.682,0.9603,2018-09-13 00:18:30
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Lean Clinton,White,Racine/Kenosha Cty.,85 percent or higher,Landline,1,0.982,0.5825,0.3566,0.5919,2018-09-13 00:18:39
Rep,18 to 34,High school,White,Male,White,Approve,Approve,disagree,disagree,agree,Reps. keep House,Unfavorable,Unfavorable,Oppose,Support,18 to 29,High School Grad. or Less,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 34,Probably Clinton,White,Racine/Kenosha City,50 to 85 percent,Cell,1,0.7857,1.308,0.9474,1.3647,2018-09-13 00:19:33
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,30 to 44,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,Lean Clinton,White,Racine/Kenosha Cty.,50 to 85 percent,Cell,1,0.8228,0.7766,0.5166,0.7837,2018-09-13 00:21:39
Rep,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,agree,agree,agree,Dems. take House,Favorable,Favorable,Support,Support,30 to 44,Postgraduate Degree,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,Lean Clinton,White,Racine/Kenosha Cty.,50 to 85 percent,Cell,1,0.67,0.7523,0.5512,0.771,2018-09-13 00:23:00
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,disagree,Don't know,disagree,Dems. take House,Unfavorable,Unfavorable,Support,Support,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Lean Trump,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9655,0.6604,0.3829,0.6714,2018-09-13 00:23:09
Dem,18 to 34,Bachelors' degree,Black,Male,Black,Disapp.,Disapp.,agree,disagree,agree,Dems. take House,Favorable,Favorable,Support,Support,18 to 29,4-year College Grad.,Democratic,Male,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,Probably Clinton,Non-White,Racine/Kenosha City,Less than 50 percent,Cell,0.6667,0.3025,1.5796,4.1332,1.1714,2018-09-13 00:24:12
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Disapp.,agree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Lean Trump,Unknown,Racine/Kenosha Cty.,85 percent or higher,Landline,1,0.9517,0.7209,0.556,0.7338,2018-09-13 00:24:57
Rep,50 to 64,Graduate or Professional Degree,Black,Male,Black,Approve,Don't know,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,50 to 64,Probably Clinton,Non-White,Racine/Kenosha City,85 percent or higher,Cell,1,0.8636,0.8607,0.4122,0.8668,2018-09-13 00:25:06
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Lean Trump,White,Rest,85 percent or higher,Cell,1,0.92,0.8246,0.5639,0.8421,2018-09-13 00:25:33
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,65 and older,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Lean Trump,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9952,0.6817,0.4185,0.6932,2018-09-13 00:27:12
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Don't know,agree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Probably Trump,White,Milwaukee Suburbs,50 to 85 percent,Cell,1,0.7333,1.0442,0.759,1.1013,2018-09-13 00:27:57
Und,18 to 34,Bachelors' degree,White,Male,White,Approve,Approve,disagree,disagree,agree,Reps. keep House,Don't know,Don't know,Support,Support,30 to 44,4-year College Grad.,Other,Male,Not very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Lean Clinton,White,Rest,50 to 85 percent,Cell,0.4444,0.5468,0.7837,0.7524,0.4554,2018-09-13 00:27:57
Rep,35 to 49,Some college or trade school,Unknown,Female,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,30 to 44,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,Lean Trump,Unknown,Rest,85 percent or higher,Cell,1,0.9555,0.9348,0.6885,0.9419,2018-09-13 00:29:18
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Approve,disagree,disagree,disagree,Reps. keep House,Don't know,Unfavorable,Oppose,Support,18 to 29,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",White,18 to 34,Lean Clinton,White,Racine/Kenosha Cty.,50 to 85 percent,Landline,1,0.5842,0.7766,0.7052,0.8071,2018-09-13 00:29:36
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Approve,agree,disagree,agree,Dems. take House,Don't know,Don't know,Oppose,Oppose,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,Lean Trump,White,Racine/Kenosha City,85 percent or higher,Cell,1,0.9068,0.9837,0.7519,1.0063,2018-09-13 00:31:33
Dem,65 and older,High school,White,Female,White,Disapp.,Approve,disagree,agree,disagree,Dems. take House,Don't know,Don't know,Oppose,Support,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Landline,1,0.9392,1.5642,0.8849,1.594,2018-09-13 00:35:43
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9819,1.1052,0.5694,1.123,2018-09-13 00:37:13
Rep,65 and older,High school,White,Female,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Lean Trump,White,Milwaukee Suburbs,85 percent or higher,Landline,1,0.995,1.2948,0.943,1.3166,2018-09-13 00:41:34
Dem,18 to 34,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Approve,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Lean Clinton,Unknown,Racine/Kenosha Cty.,50 to 85 percent,Cell,1,0.5326,0.6637,0.6933,0.7403,2018-09-13 00:42:01
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Approve,disagree,agree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,18 to 29,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,Lean Trump,White,Rest,50 to 85 percent,Cell,1,0.8059,1.1013,0.8368,1.1127,2018-09-13 00:45:01
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,Lean Trump,White,Racine/Kenosha Cty.,85 percent or higher,Landline,1,0.9939,0.8847,0.735,0.8994,2018-09-13 00:45:19
Rep,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Don't know,Oppose,Oppose,30 to 44,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Probably Trump,Unknown,Milwaukee Suburbs,85 percent or higher,Cell,0.7778,0.9141,0.9029,0.4313,0.8897,2018-09-13 00:46:49
