response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,35 to 49,Some college or trade school,Other,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,18 to 39,Non-White,Rest of Clark,50 to 85 percent,Cell,1,0.8128,1.8797,1.2989,1.9387,2018-10-16 03:28:17
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Rest,85 percent or higher,Landline,1,0.965,0.7869,0.3296,0.795,2018-10-16 03:28:35
Dem,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.9553,0.746,0.371,0.7542,2018-10-16 03:28:53
Dem,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Republican,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",18 to 39,White,Rest of Clark,85 percent or higher,Cell,0.1111,0.965,1.0774,0.6156,0.9033,2018-10-16 03:29:11
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest of Clark,85 percent or higher,Cell,1,0.965,0.8027,0.4751,0.8109,2018-10-16 03:29:47
Dem,50 to 64,High school,White,Male,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,40 to 64,White,Rest,85 percent or higher,Landline,1,0.8737,1.1625,0.8245,1.1628,2018-10-16 03:30:41
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 39,White,Vancouver,50 to 85 percent,Cell,1,0.7561,1.3494,1.3836,1.4072,2018-10-16 03:31:08
Und,18 to 34,Some college or trade school,White,Female,White,Don't know,Don't know,Unfavorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",18 to 39,White,Rest,Less than 50 percent,Landline,0.1111,0.0919,1.1325,4.6916,0.3512,2018-10-16 03:31:35
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,1,0.5271,0.7827,0.7839,0.8691,2018-10-16 03:31:44
Rep,[DO NOT READ] Refused,Some college or trade school,Other,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,Non-White,Rest of Clark,Less than 50 percent,Cell,1,0.1905,1.342,4.8061,1.8569,2018-10-16 03:32:34
Und,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,White,Rest of Clark,85 percent or higher,Landline,1,0.965,0.9292,0.4988,0.9387,2018-10-16 03:32:52
Rep,35 to 49,Some college or trade school,White,Male,Asian,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,40 to 64,White,Rest,50 to 85 percent,Cell,1,0.8283,0.8916,0.456,0.9171,2018-10-16 03:33:28
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,White,Rest,85 percent or higher,Landline,1,0.9542,1.2763,0.8478,1.2905,2018-10-16 03:33:59
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rest of Clark,50 to 85 percent,Cell,1,0.844,0.7668,0.4415,0.7679,2018-10-16 03:34:49
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.965,0.9463,0.5806,0.9481,2018-10-16 03:35:02
Rep,18 to 34,High school,White,Female,Other,Approve,Reps. keep House,Don't know,Don't know,18 to 29,High School Grad. or Less,Republican,Female,Very likely,Republican,Nonwhite,18 to 39,White,Rest,85 percent or higher,Landline,0.7778,0.8758,1.5916,1.1677,1.5495,2018-10-16 03:35:29
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",40 to 64,White,Vancouver,85 percent or higher,Cell,1,0.9055,0.992,0.695,1.0084,2018-10-16 03:35:34
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest of Clark,85 percent or higher,Landline,1,0.965,0.7881,0.4656,0.7896,2018-10-16 03:36:55
Dem,[DO NOT READ] Refused,Some college or trade school,Other,Female,Asian,Approve,Don't know,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Democrat,Nonwhite,65 and older,Non-White,Vancouver,85 percent or higher,Cell,1,0.965,1.1768,0.7869,1.1889,2018-10-16 03:38:25
Rep,50 to 64,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Democratic,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",40 to 64,White,Rest of Clark,50 to 85 percent,Cell,0.4444,0.6702,1.0342,0.8001,0.7612,2018-10-16 03:38:52
Rep,50 to 64,Bachelors' degree,White,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,40 to 64,White,Rest of Clark,85 percent or higher,Cell,1,0.8867,0.966,0.6063,0.9845,2018-10-16 03:39:19
Rep,50 to 64,Some college or trade school,White,Male,Other,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Very likely,or as a member of another political party,Nonwhite,40 to 64,White,Rest,50 to 85 percent,Cell,1,0.73,0.8916,0.5165,0.9012,2018-10-16 03:40:13
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,Rest of Clark,85 percent or higher,Cell,1,0.93,0.8145,0.5309,0.8144,2018-10-16 03:40:13
Und,65 and older,Bachelors' degree,White,Male,White,Approve,Dems. take House,Don't know,Favorable,65 and older,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.965,0.7917,0.4497,0.7932,2018-10-16 03:41:20
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Other,Female,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",18 to 39,White,Rest of Clark,85 percent or higher,Cell,1,0.8856,1.1383,0.866,1.1602,2018-10-16 03:41:43
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,Vancouver,85 percent or higher,Cell,1,0.965,0.7758,0.4057,0.7838,2018-10-16 03:41:43
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Don't know,Don't know,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Rest of Clark,85 percent or higher,Landline,1,0.9643,1.0826,0.6859,1.0938,2018-10-16 03:42:50
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Rest of Clark,85 percent or higher,Cell,1,0.965,0.9296,0.6421,0.9392,2018-10-16 03:43:04
Und,65 and older,Bachelors' degree,White,Male,White,Don't know,Don't know,Don't know,Favorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",65 and older,White,Rest of Clark,85 percent or higher,Cell,1,0.965,0.8194,0.5205,0.8278,2018-10-16 03:43:40
Rep,35 to 49,High school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,Nonwhite,40 to 64,Non-White,Vancouver,85 percent or higher,Cell,1,0.9363,1.9725,1.6976,1.9978,2018-10-16 03:44:07
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Rest,85 percent or higher,Landline,1,0.965,0.7869,0.3296,0.795,2018-10-16 03:48:42
Rep,65 and older,Some college or trade school,White,Female,Hispanic,Disapp.,Dems. take House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),Nonwhite,65 and older,White,Rest,Less than 50 percent,Landline,1,0.2159,0.7681,1.7327,1.032,2018-10-16 03:49:00
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,White,Rest,85 percent or higher,Landline,1,0.965,0.8177,0.3844,0.8261,2018-10-16 03:49:36
Rep,65 and older,Some college or trade school,White,Female,Other,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),Nonwhite,65 and older,White,Rest of Clark,85 percent or higher,Landline,1,0.965,0.7721,0.425,0.78,2018-10-16 03:57:51
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Rest of Clark,85 percent or higher,Landline,0.8889,0.965,0.8812,0.5327,0.8867,2018-10-16 03:58:54
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest of Clark,85 percent or higher,Landline,1,0.965,0.7721,0.425,0.78,2018-10-16 03:58:54
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.965,0.6936,0.359,0.7007,2018-10-16 03:58:54
Und,35 to 49,High school,White,Male,White,Don't know,Don't know,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Male,Somewhat likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",40 to 64,White,Rest,Less than 50 percent,Cell,0.4444,0.0863,1.1285,5.3717,0.6775,2018-10-16 04:00:15
Dem,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,40 to 64,Non-White,Rest of Clark,85 percent or higher,Landline,1,0.8684,1.5779,1.1824,1.5786,2018-10-16 04:05:37
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Rest of Clark,85 percent or higher,Landline,0.8889,0.965,0.6038,0.2652,0.6018,2018-10-16 04:11:46
Dem,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Male,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Rest,85 percent or higher,Landline,1,0.965,0.7894,0.6468,0.7976,2018-10-16 04:13:07
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.965,0.6795,0.3279,0.6808,2018-10-16 04:15:04
Rep,65 and older,Bachelors' degree,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest of Clark,85 percent or higher,Cell,1,0.965,0.8995,0.5837,0.9088,2018-10-16 04:16:25
Rep,35 to 49,Bachelors' degree,Hispanic,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Non-White,Rest,Less than 50 percent,Landline,1,0.3257,1.4799,3.0506,1.8124,2018-10-16 04:20:32
Dem,65 and older,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,65 and older,White,Rest,85 percent or higher,Landline,1,0.965,0.5955,0.2512,0.6017,2018-10-16 04:24:53
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,White,Vancouver,85 percent or higher,Landline,1,0.965,0.992,0.6525,1.0022,2018-10-16 04:30:53
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest of Clark,85 percent or higher,Landline,1,0.9589,0.7032,0.3816,0.7108,2018-10-16 04:33:26
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,Rest of Clark,85 percent or higher,Landline,1,0.965,0.8144,0.3813,0.8228,2018-10-16 04:38:21
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest of Clark,85 percent or higher,Cell,1,0.965,0.7179,0.4153,0.7252,2018-10-16 18:08:39
Dem,35 to 49,Some college or trade school,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,White,Rest,Less than 50 percent,Landline,1,0.4512,0.9437,1.0726,1.0799,2018-10-16 18:17:12
Rep,65 and older,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest of Clark,85 percent or higher,Cell,1,0.9403,0.6767,0.4475,0.6851,2018-10-16 21:53:56
Dem,50 to 64,High school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),Nonwhite,40 to 64,Non-White,Rest,85 percent or higher,Cell,1,0.9644,1.6944,1.1618,1.6975,2018-10-16 22:33:22
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,White,Rest of Clark,85 percent or higher,Cell,1,0.965,0.9292,0.4988,0.931,2018-10-16 22:44:01
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Rest,85 percent or higher,Cell,1,0.9283,0.6757,0.3209,0.6756,2018-10-16 22:50:44
Und,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Male,Very likely,or as a member of another political party,"White, No 4-Year College Degree",65 and older,White,Vancouver,50 to 85 percent,Landline,0.7778,0.8408,0.8019,0.5289,0.7777,2018-10-16 22:51:29
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,White,Rest of Clark,85 percent or higher,Cell,1,0.9106,1.2297,0.8181,1.2492,2018-10-16 22:51:56
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,0.8889,0.965,0.7917,0.4497,0.7891,2018-10-16 22:55:59
Rep,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Vancouver,Less than 50 percent,Cell,0.7778,0.451,0.7288,1.1847,0.7102,2018-10-16 22:57:47
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Don't know,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Rest,85 percent or higher,Landline,1,0.965,0.9334,0.4817,0.943,2018-10-16 23:07:10
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Cell,1,0.6828,0.7129,0.541,0.7559,2018-10-16 23:08:13
Rep,50 to 64,Some college or trade school,Asian,Male,Asian,Don't know,Don't know,Favorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,Non-White,Rest,50 to 85 percent,Cell,1,0.5396,1.2505,1.2462,1.3826,2018-10-16 23:11:31
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Unknown,Rest of Clark,85 percent or higher,Cell,1,0.965,1.3267,0.7263,1.3404,2018-10-16 23:24:54
Dem,35 to 49,Bachelors' degree,White,Male,Asian,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,4-year College Grad.,Democratic,Male,Not at all likely,Democrat,Nonwhite,18 to 39,White,Rest of Clark,50 to 85 percent,Cell,0,0.6384,1.3687,1.3028,0.5026,2018-10-16 23:28:48
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Vancouver,85 percent or higher,Cell,1,0.965,0.8074,0.5072,0.8157,2018-10-16 23:36:44
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Rest of Clark,50 to 85 percent,Cell,1,0.7107,1.1563,0.8644,1.2179,2018-10-16 23:46:20
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,White,Rest,85 percent or higher,Cell,1,0.965,1.1389,0.6818,1.1506,2018-10-16 23:52:41
Rep,65 and older,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,40 to 64,White,Rest of Clark,85 percent or higher,Cell,1,0.965,0.8463,0.4448,0.8551,2018-10-16 23:53:53
Rep,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,Rest of Clark,85 percent or higher,Cell,1,0.9595,1.0605,0.629,1.0719,2018-10-16 23:57:47
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Vancouver,85 percent or higher,Cell,1,0.965,0.7508,0.4956,0.7585,2018-10-17 00:05:59
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Vancouver,85 percent or higher,Landline,1,0.965,0.8569,0.6214,0.8657,2018-10-17 00:06:53
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest of Clark,50 to 85 percent,Cell,0.8889,0.601,0.8422,0.8921,0.8901,2018-10-17 00:08:59
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Favorable,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,White,Rest,85 percent or higher,Landline,1,0.965,0.849,0.6621,0.8578,2018-10-17 00:10:20
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 39,White,Rest,50 to 85 percent,Cell,1,0.5936,1.135,0.8778,1.2331,2018-10-17 00:10:29
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,Unfavorable,Don't know,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Vancouver,Less than 50 percent,Cell,1,0.49370000000000003,0.7531,0.8849,0.8468,2018-10-17 00:11:14
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Rest of Clark,85 percent or higher,Landline,1,0.965,0.8995,0.5837,0.9013,2018-10-17 00:11:50
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rest of Clark,85 percent or higher,Landline,1,0.9506,0.7032,0.3849,0.7038,2018-10-17 00:11:59
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 39,White,Rest of Clark,85 percent or higher,Cell,1,0.9033,1.2297,0.8246,1.2504,2018-10-17 00:12:08
Rep,50 to 64,High school,Unknown,Male,Hispanic,Disapp.,Reps. keep House,Favorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Not at all likely,Republican,Nonwhite,40 to 64,Unknown,Rest,Less than 50 percent,Landline,1,0.097,1.8384,9.94,1.1597,2018-10-17 00:12:17
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,Rest,85 percent or higher,Cell,1,0.965,1.0247,0.5401,1.0352,2018-10-17 00:13:02
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest of Clark,85 percent or higher,Landline,1,0.965,0.7032,0.3792,0.7105,2018-10-17 00:13:47
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,White,Rest of Clark,50 to 85 percent,Cell,1,0.769,1.1128,0.921,1.1204,2018-10-17 00:14:32
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Rest,85 percent or higher,Cell,1,0.9621,0.9334,0.4831,0.9431,2018-10-17 00:22:07
Und,65 and older,Bachelors' degree,White,Female,White,Don't know,Don't know,Don't know,Don't know,65 and older,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.8711,0.8514,0.5091,0.8517,2018-10-17 00:22:34
Und,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,Don't know,Favorable,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,White,Vancouver,85 percent or higher,Cell,0.8889,0.8705,0.9876,0.6214,0.9986,2018-10-17 00:25:25
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Rest,85 percent or higher,Cell,1,0.87,1.0247,0.5984,1.0469,2018-10-17 00:26:10
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Vancouver,85 percent or higher,Cell,1,0.965,1.1479,0.988,1.1597,2018-10-17 00:27:13
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest of Clark,Less than 50 percent,Landline,1,0.4777,0.6968,0.6956,0.7885,2018-10-17 00:29:10
Dem,50 to 64,High school,White,Male,White,Don't know,Don't know,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,Rest of Clark,85 percent or higher,Cell,1,0.965,1.1787,0.7898,1.181,2018-10-17 00:29:28
