response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,Graduate or Professional Degree,Black,Female,Black,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Other Non-White,Lancaster/Palmdale,85 percent or higher,Landline,1,0.9672,0.4125,0.1776,0.4128,2018-09-19 01:09:12
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Ventura/Simi Valley,85 percent or higher,Landline,1,0.9805,0.7741,0.2956,0.7741,2018-09-19 01:11:45
Dem,65 and older,Graduate or Professional Degree,Black,Male,Black,Oppose,disagree,Disapp.,support,Support,disagree,Dems. take House,Favorable,Don't know,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,Other Non-White,Santa Clarita,85 percent or higher,Cell,1,0.958,0.5208,0.1965,0.5214,2018-09-19 01:12:57
Rep,18 to 34,Bachelors' degree,White,Male,Other,Oppose,disagree,Approve,oppose,Don't know,disagree,Reps. keep House,Don't know,Favorable,Don't know,18 to 29,4-year College Grad.,Other,Male,Very likely,Republican,Nonwhite,18 to 34,White,Santa Clarita,50 to 85 percent,Cell,1,0.5576,0.5662,0.4362,0.5821,2018-09-19 01:13:42
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,85 percent or higher,Cell,1,0.9043,0.253,0.1214,0.2505,2018-09-19 01:14:54
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Lancaster/Palmdale,Less than 50 percent,Cell,0.7778,0.2905,1.2326,1.8982,1.3832,2018-09-19 01:16:37
Rep,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Support,disagree,Disapp.,oppose,Oppose,agree,Reps. keep House,Don't know,Favorable,disagree,18 to 29,Some College Educ.,Other,Male,Almost certain,or as a member of another political party,Nonwhite,18 to 34,Hispanic,Rest of LA County,50 to 85 percent,Cell,1,0.802,0.497,0.2303,0.5087,2018-09-19 01:16:51
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Support,agree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Santa Clarita,85 percent or higher,Cell,1,0.9754,0.7413,0.2525,0.7414,2018-09-19 01:16:55
Dem,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,Don't know,disagree,Disapp.,support,Oppose,agree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),Nonwhite,50 to 64,Other Non-White,Ventura/Simi Valley,50 to 85 percent,Cell,0.7778,0.7176,0.4899,0.1881,0.4674,2018-09-19 01:17:13
Dem,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Approve,support,Support,agree,Reps. keep House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Santa Clarita,85 percent or higher,Landline,1,0.9699,1.5394,0.9248,1.5401,2018-09-19 01:19:37
Dem,18 to 34,High school,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Ventura/Simi Valley,85 percent or higher,Cell,1,0.8512,1.0881,0.6275,1.1044,2018-09-19 01:20:13
Dem,50 to 64,Bachelors' degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Ventura/Simi Valley,85 percent or higher,Landline,1,0.9491,0.9461,0.4385,0.948,2018-09-19 01:20:31
Rep,65 and older,Some college or trade school,Unknown,Male,White,Oppose,agree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Unknown,Lancaster/Palmdale,85 percent or higher,Landline,1,0.9399,0.7749,0.4594,0.777,2018-09-19 01:20:49
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",50 to 64,White,Ventura/Simi Valley,85 percent or higher,Landline,1,0.9708,0.6345,0.1704,0.6348,2018-09-19 01:21:52
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Oppose,agree,Approve,support,Support,agree,Reps. keep House,Don't know,Don't know,disagree,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,Unknown,Ventura/Simi Valley,50 to 85 percent,Cell,0.7778,0.8338,0.9602,0.6215,0.9218,2018-09-19 01:22:01
Rep,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest of LA County,85 percent or higher,Landline,1,0.98740000000000006,1.3239,0.5979,1.3241,2018-09-19 01:23:22
Rep,65 and older,High school,Unknown,Female,[DO NOT READ] Don't know/Refused,Oppose,disagree,Approve,support,Support,agree,Reps. keep House,Don't know,Unfavorable,agree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,[DO NOT READ] Don't know/Refused,65 and older,Unknown,Ventura/Simi Valley,50 to 85 percent,Landline,1,0.8146,2.5193,2.4713,2.5033,2018-09-19 01:23:31
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.3695,0.8414,0.8441,0.9935,2018-09-19 01:23:58
Rep,65 and older,Some college or trade school,White,Female,White,Oppose,disagree,Approve,Don't know,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Ventura/Simi Valley,85 percent or higher,Landline,1,0.9592,1.394,0.7678,1.3955,2018-09-19 01:23:58
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,agree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,35 to 49,Hispanic,Ventura/Simi Valley,50 to 85 percent,Cell,1,0.8391,0.9065,0.4207,0.9219,2018-09-19 01:24:07
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Lancaster/Palmdale,50 to 85 percent,Landline,0.8889,0.7906,0.4429,0.1526,0.4477,2018-09-19 01:24:16
Rep,65 and older,Some college or trade school,Other,Female,White,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Unfavorable,disagree,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,Other Non-White,Santa Clarita,85 percent or higher,Landline,1,0.9071,0.8798,0.5224,0.8712,2018-09-19 01:24:16
Dem,50 to 64,Bachelors' degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest of LA County,85 percent or higher,Landline,1,0.9776,1.0388,0.4476,1.0389,2018-09-19 01:24:25
Rep,65 and older,Some college or trade school,White,Female,White,Oppose,agree,Approve,Don't know,Support,agree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Lancaster/Palmdale,85 percent or higher,Landline,1,0.9779,0.9099,0.4964,0.91,2018-09-19 01:25:10
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,agree,Disapp.,oppose,Oppose,agree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest of LA County,50 to 85 percent,Landline,1,0.673,1.5779,1.2277,1.6611,2018-09-19 01:26:40
Dem,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Support,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,Some College Educ.,Other,Male,Almost certain,Democrat,Nonwhite,35 to 49,Hispanic,Rest of LA County,Less than 50 percent,Cell,1,0.2414,1.2143,2.1749,1.575,2018-09-19 01:27:34
Dem,65 and older,High school,Hispanic,Female,White,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Hispanic,Lancaster/Palmdale,85 percent or higher,Landline,1,0.9567,1.0949,0.6766,1.0963,2018-09-19 01:29:40
Rep,65 and older,High school,White,Female,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Santa Clarita,85 percent or higher,Landline,1,0.9549,2.578,1.8723,2.5817,2018-09-19 01:30:07
Dem,35 to 49,Bachelors' degree,White,Male,Black,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,35 to 49,White,Rest of LA County,50 to 85 percent,Cell,1,0.5527,1.0549,0.8332,1.1501,2018-09-19 01:31:18
Dem,35 to 49,Bachelors' degree,White,Female,White,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,30 to 44,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Santa Clarita,50 to 85 percent,Cell,1,0.756,0.6529,0.4622,0.6519,2018-09-19 01:33:33
Dem,65 and older,Bachelors' degree,Unknown,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Unknown,Rest of LA County,85 percent or higher,Landline,1,0.9491,1.0123,0.719,1.0142,2018-09-19 01:34:00
Dem,18 to 34,Bachelors' degree,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Rest of LA County,85 percent or higher,Cell,1,0.8737,0.5907,0.3224,0.5974,2018-09-19 01:34:54
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Favorable,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Unknown,Santa Clarita,85 percent or higher,Cell,1,0.9297,1.3473,0.8331,1.3525,2018-09-19 01:38:48
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Lancaster/Palmdale,85 percent or higher,Cell,1,0.8691,0.4954,0.1859,0.5014,2018-09-19 01:39:06
Rep,18 to 34,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Don't know,support,Oppose,disagree,Reps. keep House,Don't know,Favorable,disagree,30 to 44,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",18 to 34,White,Ventura/Simi Valley,Less than 50 percent,Cell,1,0.4635,0.8452,0.9438,0.8889,2018-09-19 01:41:12
Und,50 to 64,Some college or trade school,White,Male,White,Support,disagree,Don't know,support,Don't know,disagree,Reps. keep House,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Ventura/Simi Valley,85 percent or higher,Landline,1,0.9515,1.3211,0.5759,1.3234,2018-09-19 01:41:21
Rep,50 to 64,Some college or trade school,Hispanic,Male,Asian,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),Nonwhite,50 to 64,Hispanic,Rest of LA County,85 percent or higher,Cell,1,0.9419,0.7953,0.2837,0.788,2018-09-19 01:43:27
Dem,65 and older,Some college or trade school,White,Female,White,Don't know,disagree,Disapp.,support,Don't know,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Lancaster/Palmdale,85 percent or higher,Landline,1,0.9808,0.9099,0.4949,0.91,2018-09-19 01:43:54
Dem,35 to 49,High school,Unknown,Female,Hispanic,Oppose,agree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Unknown,Lancaster/Palmdale,85 percent or higher,Cell,0,0.9364,1.511,1.3827,1.3752,2018-09-19 01:49:31
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Oppose,agree,Approve,support,Support,agree,Reps. keep House,Unfavorable,Favorable,Don't know,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,[DO NOT READ] Don't know/Refused,65 and older,White,Lancaster/Palmdale,85 percent or higher,Cell,1,0.9776,0.9676,0.5457,0.9618,2018-09-19 01:50:16
Und,50 to 64,Bachelors' degree,Black,Female,Black,Don't know,agree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Other Non-White,Lancaster/Palmdale,85 percent or higher,Cell,1,0.96,0.5334,0.3144,0.534,2018-09-19 01:50:34
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Favorable,disagree,65 and older,4-year College Grad.,Other,Male,Somewhat likely,Republican,"White, 4-Year College Grads",65 and older,Unknown,Rest of LA County,Less than 50 percent,Cell,0.6667,0.4702,1.2547,1.5487,0.9516,2018-09-19 01:51:01
Dem,50 to 64,Some college or trade school,Black,Male,Black,Oppose,disagree,Disapp.,support,Oppose,agree,Dems. take House,Favorable,Don't know,disagree,45 to 64,Some College Educ.,Democratic,Male,Somewhat likely,Independent (No party),Nonwhite,50 to 64,Other Non-White,Lancaster/Palmdale,85 percent or higher,Cell,0.5556,0.8582,0.6059,0.3211,0.5171,2018-09-19 01:51:37
Dem,50 to 64,Graduate or Professional Degree,Asian,Male,Other,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,Other Non-White,Ventura/Simi Valley,85 percent or higher,Landline,1,0.9013,0.4458,0.1404,0.4491,2018-09-19 01:51:46
Rep,18 to 34,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Oppose,disagree,Reps. keep House,Don't know,Favorable,agree,18 to 29,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",18 to 34,White,Santa Clarita,50 to 85 percent,Cell,1,0.8163,0.9117,0.564,0.9308,2018-09-19 01:52:13
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Favorable,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Lancaster/Palmdale,85 percent or higher,Cell,1,0.9722,0.5414,0.1776,0.5416,2018-09-19 01:52:40
Und,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,disagree,Approve,Don't know,Don't know,disagree,Don't know,Don't know,Favorable,Don't know,65 and older,Postgraduate Degree,Republican,Female,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",65 and older,White,Lancaster/Palmdale,85 percent or higher,Landline,1,0.9577,0.5713,0.2413,0.572,2018-09-19 01:53:34
Und,65 and older,High school,Hispanic,Male,Hispanic,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,Hispanic,Rest of LA County,85 percent or higher,Landline,1,0.9653,1.4982,0.7421,1.4992,2018-09-19 01:53:52
Dem,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,35 to 49,Hispanic,Santa Clarita,85 percent or higher,Cell,1,0.8631,0.7542,0.4617,0.7475,2018-09-19 01:55:49
Rep,18 to 34,Bachelors' degree,Unknown,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Unfavorable,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,Unknown,Ventura/Simi Valley,85 percent or higher,Cell,1,0.905,0.4968,0.3437,0.5003,2018-09-19 01:56:34
Rep,50 to 64,Bachelors' degree,White,Male,Hispanic,Oppose,agree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Male,Very likely,or as a member of another political party,Nonwhite,50 to 64,White,Santa Clarita,50 to 85 percent,Cell,1,0.7921,1.2241,0.6894,1.2184,2018-09-19 01:56:34
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Santa Clarita,85 percent or higher,Cell,1,0.9517,0.7007,0.211,0.7019,2018-09-19 01:56:43
Dem,18 to 34,Bachelors' degree,White,Female,White,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Lancaster/Palmdale,85 percent or higher,Cell,1,0.8659,0.4317,0.2941,0.4371,2018-09-19 02:00:55
Rep,65 and older,Bachelors' degree,White,Female,White,Support,agree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Unfavorable,Don't know,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Lancaster/Palmdale,85 percent or higher,Cell,1,0.9706,0.7387,0.4197,0.739,2018-09-19 02:02:56
Dem,18 to 34,Some college or trade school,Unknown,Female,White,Don't know,disagree,Disapp.,oppose,Oppose,agree,Dems. take House,Don't know,Don't know,disagree,18 to 29,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,Unknown,Ventura/Simi Valley,Less than 50 percent,Landline,0.8889,0.4339,1.0753,1.8842,1.1844,2018-09-19 02:04:08
Dem,18 to 34,Bachelors' degree,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Ventura/Simi Valley,85 percent or higher,Cell,1,0.9825,0.5394,0.25,0.5394,2018-09-19 02:05:02
Rep,18 to 34,Bachelors' degree,Black,Male,Other,Oppose,agree,Approve,oppose,Don't know,disagree,Reps. keep House,Don't know,Favorable,Don't know,30 to 44,4-year College Grad.,Other,Female,Almost certain,Republican,Nonwhite,18 to 34,Other Non-White,Lancaster/Palmdale,50 to 85 percent,Cell,1,0.578,0.2883,0.2744,0.3118,2018-09-19 02:06:14
Rep,18 to 34,Some college or trade school,White,Male,White,Don't know,disagree,Don't know,support,Support,disagree,Reps. keep House,Don't know,Favorable,agree,18 to 29,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",18 to 34,White,Rest of LA County,Less than 50 percent,Cell,0.7778,0.2449,1.3594,3.3201,1.3812,2018-09-19 02:07:17
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Don't know,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,30 to 44,Some College Educ.,Republican,Male,Somewhat likely,Republican,Nonwhite,35 to 49,Hispanic,Lancaster/Palmdale,50 to 85 percent,Cell,1,0.8382,0.6292,0.3055,0.59,2018-09-19 02:08:29
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Santa Clarita,Less than 50 percent,Cell,1,0.3447,1.0699,1.1408,1.2822,2018-09-19 02:09:14
Dem,18 to 34,Some college or trade school,Black,Male,Black,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,18 to 34,Other Non-White,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.1624,0.4924,1.658,0.7011,2018-09-19 02:10:35
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Unknown,Santa Clarita,85 percent or higher,Landline,1,0.984,0.7481,0.3097,0.7481,2018-09-19 02:10:53
Und,35 to 49,Some college or trade school,Unknown,Female,White,Oppose,disagree,Don't know,oppose,Oppose,Don't know,Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,Unknown,Rest of LA County,50 to 85 percent,Landline,0.1111,0.5647,1.2727,1.3582,0.465,2018-09-19 02:11:02
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Lancaster/Palmdale,85 percent or higher,Cell,1,0.9213,0.5092,0.1705,0.5117,2018-09-19 02:11:20
Dem,18 to 34,Graduate or Professional Degree,White,Female,Black,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,18 to 29,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 34,White,Ventura/Simi Valley,85 percent or higher,Cell,1,0.8873,0.481,0.2247,0.4764,2018-09-19 02:13:26
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Approve,support,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Lancaster/Palmdale,85 percent or higher,Landline,1,0.9791,0.5713,0.2361,0.5713,2018-09-19 02:14:56
Rep,50 to 64,Bachelors' degree,Asian,Male,[DO NOT READ] Don't know/Refused,Oppose,disagree,Don't know,support,Don't know,disagree,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,50 to 64,Other Non-White,Santa Clarita,50 to 85 percent,Landline,1,0.8181,0.86,0.509,0.8778,2018-09-19 02:15:05
Rep,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,18 to 29,4-year College Grad.,Republican,Male,Very likely,Republican,Nonwhite,18 to 34,Hispanic,Ventura/Simi Valley,50 to 85 percent,Cell,1,0.6496,0.4259,0.2714,0.4308,2018-09-19 02:16:08
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,Hispanic,Oppose,agree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,50 to 64,White,Santa Clarita,50 to 85 percent,Landline,1,0.6275,1.4116,1.2478,1.5041,2018-09-19 02:17:02
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Santa Clarita,Less than 50 percent,Cell,0.8889,0.1261,0.7612,2.2428,1.0706,2018-09-19 02:17:02
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,Black,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Unknown,Lancaster/Palmdale,85 percent or higher,Cell,1,0.8524,0.4702,0.2132,0.4771,2018-09-19 02:19:08
Dem,65 and older,Some college or trade school,Unknown,Male,Black,Support,disagree,Disapp.,support,Oppose,agree,Dems. take House,Don't know,Don't know,disagree,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,65 and older,Unknown,Rest of LA County,85 percent or higher,Cell,1,0.8597,1.1498,0.7247,1.1397,2018-09-19 02:19:35
Und,65 and older,[DO NOT READ] Refused,Hispanic,Male,Hispanic,Don't know,disagree,Disapp.,support,Oppose,disagree,Don't know,Don't know,Don't know,disagree,65 and older,[DO NOT READ] Don't know/Refused,Other,Male,Very likely,Independent (No party),Nonwhite,65 and older,Hispanic,Rest of LA County,Less than 50 percent,Cell,0.4444,0.1083,0.7891,2.1153,0.6618,2018-09-19 02:19:44
