response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedc,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Some college or trade school,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,50 to 85 percent,Landline,1,0.8036,0.7032,0.3376,0.7085,2018-11-01 03:43:30
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 39,White,South King County,Less than 50 percent,Cell,1,0.0716,0.9394,4.3104,1.5764,2018-11-01 03:57:15
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",White,18 to 39,White,North King County,85 percent or higher,Landline,1,0.9186,0.876,0.5209,0.8588,2018-11-01 03:58:45
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",White,40 to 64,White,Pierce,85 percent or higher,Landline,1,0.9662,0.7558,0.4337,0.734,2018-11-01 04:05:19
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,South King County,85 percent or higher,Landline,1,0.9605,0.9451,0.5379,0.9132,2018-11-01 04:06:40
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,Unknown,North King County,85 percent or higher,Landline,1,0.97,0.9809,0.5339,0.9521,2018-11-01 04:08:10
Und,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Don't know,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Eastern Wash.,85 percent or higher,Landline,1,0.9218,0.6187,0.2529,0.6061,2018-11-01 04:12:40
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,Eastern Wash.,85 percent or higher,Landline,1,0.8986,0.6737,0.326,0.6633,2018-11-01 04:13:07
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,Nonwhite,Nonwhite,65 and older,White,South King County,85 percent or higher,Landline,1,0.97,0.7948,0.4205,0.7714,2018-11-01 04:14:16
Dem,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,Approve,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,40 to 64,Non-White,North King County,85 percent or higher,Cell,1,0.889,0.9774,0.6085,0.9521,2018-11-01 04:20:28
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Landline,1,0.97,0.9848,0.4935,0.9558,2018-11-01 04:23:37
Rep,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,Pierce,85 percent or higher,Landline,1,0.9538,0.6295,0.471,0.6128,2018-11-01 04:24:22
Und,50 to 64,Some college or trade school,Unknown,Female,Other,Don't know,Don't know,Favorable,Don't know,45 to 64,Some College Educ.,Other,Female,Already voted,Democrat,Nonwhite,Nonwhite,40 to 64,Unknown,North King County,Less than 50 percent,Landline,1,0.3196,1.4206,3.1281,1.788,2018-11-01 04:28:43
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Landline,1,0.965,0.9131,0.4775,0.887,2018-11-01 04:29:28
Rep,18 to 34,Bachelors' degree,White,Female,Hispanic,Don't know,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Republican,Nonwhite,Nonwhite,18 to 39,White,Pierce,50 to 85 percent,Cell,0.7778,0.5001,0.8516,0.9771,0.854,2018-11-01 04:31:07
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Landline,1,0.9626,0.9848,0.4972,0.9571,2018-11-01 04:31:07
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Landline,1,0.97,0.9848,0.4935,0.951,2018-11-01 04:31:43
Rep,35 to 49,Bachelors' degree,Other,Female,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Other,Female,Somewhat likely,Republican,"White, 4-Year College Grads",White,40 to 64,Non-White,South King County,Less than 50 percent,Cell,0.3333,0.3053,1.5371,2.9099,0.828,2018-11-01 04:40:22
Dem,35 to 49,Bachelors' degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,40 to 64,Non-White,South King County,Less than 50 percent,Cell,0.4444,0.3949,1.2681,1.9821,1.1216,2018-11-01 22:12:24
Rep,18 to 34,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,High School Grad. or Less,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,South King County,85 percent or higher,Cell,1,0.9258,1.6848,1.6936,1.6491,2018-11-01 22:51:30
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,40 to 64,White,South King County,85 percent or higher,Landline,1,0.97,0.8925,0.4811,0.8662,2018-11-01 23:25:38
Dem,65 and older,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Female,Already voted,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Eastern Wash.,85 percent or higher,Landline,1,0.97,0.722,0.4749,0.7007,2018-11-01 23:32:07
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South King County,85 percent or higher,Landline,1,0.97,2.4267,1.9055,2.3552,2018-11-01 23:32:25
Dem,18 to 34,Bachelors' degree,White,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Already voted,Democrat,Nonwhite,Nonwhite,18 to 39,White,North King County,85 percent or higher,Landline,1,0.907,1.1453,0.6214,1.1255,2018-11-01 23:32:43
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,South King County,85 percent or higher,Landline,1,0.97,1.1545,0.6891,1.1149,2018-11-01 23:33:19
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",White,65 and older,White,North King County,85 percent or higher,Landline,1,0.97,1.274,0.7069,1.2365,2018-11-01 23:36:46
Dem,18 to 34,Some college or trade school,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Already voted,Democrat,Nonwhite,Nonwhite,18 to 39,White,South King County,50 to 85 percent,Cell,1,0.7769,1.205,1.0229,1.2229,2018-11-01 23:40:22
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Cell,1,0.9233,1.2606,0.6391,1.2346,2018-11-01 23:52:25
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 39,White,South King County,Less than 50 percent,Cell,1,0.4579,1.1497,1.9687,1.2543,2018-11-01 23:53:37
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Eastern Wash.,85 percent or higher,Landline,1,0.97,0.6679,0.2387,0.6449,2018-11-02 00:00:58
Und,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,4-year College Grad.,Other,Male,Already voted,Republican,"White, 4-Year College Grads",White,65 and older,White,South King County,50 to 85 percent,Cell,1,0.8203,1.17,0.7267,1.1737,2018-11-02 00:01:16
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,South King County,85 percent or higher,Cell,1,0.9665,1.1545,0.6915,1.1151,2018-11-02 00:01:34
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,40 to 64,White,Eastern Wash.,Less than 50 percent,Cell,1,0.375,0.4718,0.6069,0.5361,2018-11-02 00:05:08
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,45 to 64,4-year College Grad.,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North King County,Less than 50 percent,Cell,1,0.3954,1.141,1.7652,1.3585,2018-11-02 00:09:02
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 39,White,North King County,Less than 50 percent,Cell,1,0.1941,0.9816,3.1393,1.2929,2018-11-02 00:10:14
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,Hispanic,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Republican,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,Non-White,Eastern Wash.,50 to 85 percent,Landline,0.4444,0.6495,0.7939,0.7294,0.651,2018-11-02 00:14:53
Rep,35 to 49,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Male,Already voted,Republican,"White, No 4-Year College Degree",White,18 to 39,Unknown,Pierce,Less than 50 percent,Landline,1,0.4545,0.6884,1.3573,0.7913,2018-11-02 00:24:19
Rep,50 to 64,Graduate or Professional Degree,White,Female,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,40 to 64,White,Eastern Wash.,50 to 85 percent,Landline,0.7778,0.5546,0.5665,0.3561,0.5613,2018-11-02 00:35:48
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,18 to 39,White,Pierce,Less than 50 percent,Landline,1,0.3802,0.6767,1.568,0.7061,2018-11-02 00:40:27
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",White,40 to 64,White,North King County,50 to 85 percent,Cell,1,0.849,1.3702,0.7105,1.3647,2018-11-02 00:44:18
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,Pierce,50 to 85 percent,Cell,1,0.6688,0.9464,0.9358,0.9927,2018-11-02 00:45:21
Rep,65 and older,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown,Eastern Wash.,85 percent or higher,Landline,1,0.9613,0.6859,0.301,0.6668,2018-11-02 00:50:29
Rep,18 to 34,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,Pierce,50 to 85 percent,Cell,1,0.7196,0.7093,0.7327,0.7319,2018-11-02 00:55:35
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,North King County,85 percent or higher,Cell,1,0.97,1.1226,0.5318,1.0841,2018-11-02 00:55:53
Rep,50 to 64,Some college or trade school,Hispanic,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,Non-White,Pierce,85 percent or higher,Cell,1,0.9069,0.9358,0.6445,0.9197,2018-11-02 00:56:02
Und,18 to 34,Graduate or Professional Degree,White,Female,Other,Disapp.,Don't know,Don't know,Don't know,18 to 29,Postgraduate Degree,Democratic,Female,Not at all likely,Independent (No party),Nonwhite,Nonwhite,18 to 39,White,South King County,50 to 85 percent,Landline,0,0.6919,0.9504,0.6806,0.3604,2018-11-02 00:56:02
Und,18 to 34,Some college or trade school,White,Female,White,Disapp.,Don't know,Don't know,Don't know,18 to 29,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,North King County,85 percent or higher,Landline,1,0.8951,1.0721,0.7378,1.0435,2018-11-02 00:56:38
Dem,50 to 64,High school,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South King County,85 percent or higher,Cell,1,0.9184,1.7195,1.7202,1.6685,2018-11-02 00:57:32
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Cell,1,0.97,1.04,0.5369,1.0094,2018-11-02 00:58:08
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,South King County,85 percent or higher,Cell,1,0.97,0.8925,0.4811,0.8554,2018-11-02 00:59:47
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,Pierce,50 to 85 percent,Cell,1,0.8361,0.7379,0.5696,0.7373,2018-11-02 01:02:09
Rep,65 and older,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,South King County,85 percent or higher,Cell,1,0.97,0.9433,0.4991,0.9156,2018-11-02 01:08:00
Und,50 to 64,Some college or trade school,White,Male,White,Disapp.,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,Pierce,85 percent or higher,Landline,1,0.97,0.6789,0.4812,0.6556,2018-11-02 01:12:58
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Landline,1,0.97,0.9848,0.4935,0.9558,2018-11-02 01:14:27
Rep,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Already voted,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,Eastern Wash.,50 to 85 percent,Cell,1,0.5158,0.6391,0.5864,0.7122,2018-11-02 01:15:39
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Eastern Wash.,Less than 50 percent,Cell,1,0.4837,1.1232,1.6248,1.2714,2018-11-02 01:17:16
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Cell,1,0.97,0.8124,0.4354,0.7885,2018-11-02 01:18:10
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,South King County,Less than 50 percent,Cell,1,0.3014,0.9484,2.6259,1.1295,2018-11-02 01:21:01
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,85 percent or higher,Landline,1,0.97,1.0841,0.6677,1.0522,2018-11-02 01:21:28
Und,50 to 64,Graduate or Professional Degree,Asian,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),Nonwhite,Nonwhite,40 to 64,Non-White,South King County,85 percent or higher,Landline,1,0.9474,1.0148,0.5443,0.989,2018-11-02 01:22:31
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",White,40 to 64,White,Pierce,85 percent or higher,Cell,1,0.861,0.5904,0.3937,0.5864,2018-11-02 01:23:34
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Already voted,Democrat,"White, 4-Year College Grads",White,18 to 39,White,Pierce,50 to 85 percent,Cell,1,0.5775,0.7025,0.7468,0.7622,2018-11-02 01:25:04
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,18 to 39,White,Pierce,Less than 50 percent,Cell,1,0.2957,0.8125,1.8735,1.0441,2018-11-02 01:27:37
Rep,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Already voted,or as a member of another political party,"White, 4-Year College Grads",White,18 to 39,White,South King County,85 percent or higher,Landline,1,0.9595,0.9623,0.5518,0.9357,2018-11-02 01:27:55
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Dems. take House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,South King County,85 percent or higher,Cell,1,0.968,1.0593,0.5726,1.0284,2018-11-02 01:30:37
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Pierce,50 to 85 percent,Cell,1,0.6394,0.7379,0.7412,0.7819,2018-11-02 01:33:58
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 39,White,Eastern Wash.,85 percent or higher,Landline,1,0.9391,0.5947,0.275,0.5757,2018-11-02 01:34:16
Rep,18 to 34,Bachelors' degree,Other,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,18 to 29,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 39,Non-White,Pierce,50 to 85 percent,Landline,1,0.5941,0.987,0.8152,0.9727,2018-11-02 01:35:01
Rep,65 and older,Some college or trade school,White,Female,Other,Disapp.,Don't know,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Already voted,Independent (No party),Nonwhite,Nonwhite,65 and older,White,Pierce,Less than 50 percent,Cell,1,0.4498,0.9747,1.5636,1.1233,2018-11-02 01:35:28
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 39,White,South King County,Less than 50 percent,Cell,1,0.0736,0.9484,5.2646,1.3305,2018-11-02 01:36:31
Rep,65 and older,Grade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.9663,1.3244,1.2192,1.2792,2018-11-02 01:45:22
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,Pierce,50 to 85 percent,Cell,1,0.7346,0.723,0.6419,0.7427,2018-11-02 01:47:14
Dem,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,Some College Educ.,Other,Female,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Pierce,Less than 50 percent,Landline,1,0.3495,0.9029,2.0288,1.11,2018-11-02 01:52:11
Und,35 to 49,Bachelors' degree,White,Female,White,Approve,Don't know,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,South King County,50 to 85 percent,Cell,1,0.637,1.3391,0.9552,1.3737,2018-11-02 01:59:50
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,South King County,85 percent or higher,Cell,1,0.9327,1.1316,0.8405,1.0962,2018-11-02 02:03:46
Rep,50 to 64,Bachelors' degree,White,Male,Black,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,Nonwhite,Nonwhite,40 to 64,White,Pierce,85 percent or higher,Cell,1,0.97,0.6235,0.3813,0.6051,2018-11-02 02:06:41
Rep,35 to 49,Bachelors' degree,White,Male,White,Don't know,Don't know,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,18 to 39,White,North King County,85 percent or higher,Cell,1,0.9563,0.9269,0.5816,0.9018,2018-11-02 02:13:13
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Already voted,Republican,"White, 4-Year College Grads",White,40 to 64,White,North King County,50 to 85 percent,Landline,1,0.7137,1.196,0.8635,1.2364,2018-11-02 02:15:19
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,South King County,Less than 50 percent,Cell,1,0.4345,1.3661,2.151,1.506,2018-11-02 02:17:09
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Eastern Wash.,85 percent or higher,Landline,1,0.9513,0.4219,0.2049,0.4108,2018-11-02 02:18:34
Dem,65 and older,Graduate or Professional Degree,Other,Male,White,Approve,Dems. take House,Don't know,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,65 and older,Non-White,North King County,85 percent or higher,Cell,1,0.97,1.0755,0.495,1.0439,2018-11-02 02:19:42
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,White,South King County,85 percent or higher,Cell,1,0.9368,1.1534,0.748,1.1265,2018-11-02 02:24:07
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Cell,1,0.97,1.2606,0.6089,1.2235,2018-11-02 02:34:06
Rep,18 to 34,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 39,White,South King County,Less than 50 percent,Cell,1,0.1112,1.1497,5.9852,1.7324,2018-11-02 02:37:24
Rep,50 to 64,Graduate or Professional Degree,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Republican,Nonwhite,Nonwhite,40 to 64,White,Pierce,50 to 85 percent,Cell,1,0.6194,0.6158,0.5286,0.6348,2018-11-02 02:47:34
Dem,65 and older,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,Nonwhite,Nonwhite,65 and older,White,North King County,85 percent or higher,Cell,1,0.97,1.0631,0.4888,1.0318,2018-11-02 02:50:34
