response,ager,educ,file_race,gender,race_eth,approve,APPRUSSIA,COLLUDE,CRIMES,DEMIMPEACH,genballot,hdem_fav,hrep_fav,IMPEACH,MUELLER,TXHORSERACE,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,file_race_hisp,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,35 to 49,Bachelors' degree,White,Male,Hispanic,Approve,Disapp.,agree,disagree,disagree,Reps. keep House,Don't know,Unfavorable,Oppose,Oppose,Ted Cruz,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Bexar,35 to 49,White,50 to 85 percent,Cell,1,0.763,1.1868,0.438,1.2184
Rep,65 and older,Bachelors' degree,Unknown,Female,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,Unknown,85 percent or higher,Landline,1,0.9377,0.4782,0.1299,0.4715
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,35 to 49,White,50 to 85 percent,Cell,1,0.7353,0.9536,0.6054,0.9497
Dem,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Approve,disagree,agree,disagree,Dems. take House,Favorable,Don't know,Support,Support,Beto O'Rourke,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,Bexar,50 to 64,Hispanic,50 to 85 percent,Cell,1,0.6594,1.2666,0.6271,1.3318
Rep,50 to 64,High school,Hispanic,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Favorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Bexar,65 and older,Hispanic,85 percent or higher,Cell,1,0.9679,2.0896,1.13,2.0647
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Bexar,35 to 49,White,50 to 85 percent,Cell,1,0.662,1.4406,0.8249,1.5137
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Cell,1,0.9859,0.6095,0.1358,0.6067
Rep,[DO NOT READ] Refused,Some college or trade school,Unknown,Female,White,Approve,Don't know,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,Unknown,85 percent or higher,Landline,1,0.9355,0.5447,0.1636,0.5439
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Favorable,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,50 to 64,White,85 percent or higher,Cell,1,0.9717,0.771,0.2207,0.7676
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Disapp.,agree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,Ted Cruz,65 and older,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Bexar,65 and older,White,50 to 85 percent,Cell,1,0.6065,0.7718,0.2518,0.8234
Dem,50 to 64,High school,White,Male,White,Approve,Disapp.,Don't know,disagree,agree,Reps. keep House,Don't know,Unfavorable,Oppose,Don't know,Ted Cruz,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,50 to 64,White,50 to 85 percent,Cell,1,0.6435,1.3063,1.0256,1.3794
Rep,65 and older,Graduate or Professional Degree,Unknown,Female,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Bexar,65 and older,Unknown,85 percent or higher,Landline,1,0.9907,0.5215,0.126,0.5175
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Bexar,65 and older,White,85 percent or higher,Landline,1,0.9266,0.9614,0.2997,0.961
Rep,65 and older,Graduate or Professional Degree,White,Male,Black,Approve,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),Nonwhite,Bexar,50 to 64,White,85 percent or higher,Cell,1,0.9752,0.5747,0.1741,0.5721
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Landline,1,0.9655,0.8177,0.1724,0.8144
Rep,35 to 49,High school,Hispanic,Male,Hispanic,Disapp.,Disapp.,disagree,agree,agree,Reps. keep House,Don't know,Favorable,Support,Support,Don't know,30 to 44,High School Grad. or Less,Democratic,Male,Somewhat likely,Republican,Nonwhite,Dem. Rio Grande,35 to 49,Hispanic,50 to 85 percent,Cell,0.7778,0.8362,1.8542,1.7342,1.6486
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,disagree,agree,agree,Dems. take House,Favorable,Favorable,Support,Support,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,50 to 64,White,85 percent or higher,Cell,1,0.9945,0.5393,0.142,0.5372
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,agree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Support,Ted Cruz,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Dem. Rio Grande,65 and older,White,50 to 85 percent,Landline,1,0.793,0.631,0.1535,0.644
Dem,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Approve,disagree,agree,agree,Dems. take House,Don't know,Don't know,Support,Support,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Dem. Rio Grande,65 and older,Hispanic,85 percent or higher,Cell,1,0.9519,0.7389,0.2165,0.7366
Dem,50 to 64,Graduate or Professional Degree,Black,Male,Black,Disapp.,Approve,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Bexar,50 to 64,Other Non-White,85 percent or higher,Landline,1,0.8966,0.457,0.1569,0.4585
Dem,35 to 49,Bachelors' degree,Black,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Rep. Rio Grande,35 to 49,Other Non-White,85 percent or higher,Landline,1,0.9421,0.5461,0.2868,0.5449
Rep,65 and older,High school,White,Female,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,Don't know,Ted Cruz,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9629,1.1361,0.7138,1.1317
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Approve,agree,Don't know,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Bexar,50 to 64,White,85 percent or higher,Landline,1,0.9814,0.5747,0.1732,0.572
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Cell,1,0.9891,0.5904,0.1437,0.5877
Dem,50 to 64,High school,Hispanic,Male,Hispanic,Disapp.,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Favorable,Support,Support,Beto O'Rourke,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Bexar,50 to 64,Hispanic,50 to 85 percent,Cell,1,0.6921,2.3272,1.6443,2.4271
Dem,65 and older,High school,White,Male,White,Approve,Disapp.,disagree,disagree,agree,Dems. take House,Don't know,Favorable,Oppose,Oppose,Beto O'Rourke,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,50 to 85 percent,Landline,0.4444,0.7239,1.3419,0.7368,1.2354
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Bexar,65 and older,White,85 percent or higher,Landline,1,0.9842,0.9614,0.284,0.9523
Rep,50 to 64,High school,Hispanic,Female,Hispanic,Disapp.,Don't know,agree,agree,agree,Dems. take House,Don't know,Don't know,Support,Support,Beto O'Rourke,45 to 64,High School Grad. or Less,Democratic,Female,Not very likely,Democrat,Nonwhite,Rep. Rio Grande,50 to 64,Hispanic,Less than 50 percent,Cell,0.4444,0.3205,1.6503,3.1804,0.8072
Dem,65 and older,Some college or trade school,White,Female,White,Don't know,Don't know,agree,disagree,Don't know,Don't know,Favorable,Unfavorable,Oppose,Oppose,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,0.7778,0.9292,0.6571,0.2308,0.6473
Rep,65 and older,Grade school,Unknown,Male,Hispanic,Disapp.,Don't know,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,Beto O'Rourke,65 and older,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),Nonwhite,Dem. Rio Grande,65 and older,Unknown,Less than 50 percent,Landline,1,0.1861,1.2573,3.2176,1.7247
Rep,65 and older,High school,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9763,1.173,0.6556,1.1676
Dem,65 and older,Bachelors' degree,Black,Female,Black,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Don't know,Support,Support,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Bexar,65 and older,Other Non-White,85 percent or higher,Landline,1,0.9741,0.61,0.1628,0.6073
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Democrat,Nonwhite,Bexar,35 to 49,Hispanic,50 to 85 percent,Landline,1,0.6222,1.1117,0.7001,1.1807
Und,65 and older,High school,Hispanic,Male,Hispanic,Don't know,Disapp.,agree,agree,agree,Dems. take House,Unfavorable,Unfavorable,Support,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Male,Almost certain,Democrat,Nonwhite,Rep. Rio Grande,65 and older,Hispanic,Less than 50 percent,Landline,0.4444,0.122,2.0642,9.79,2.0644
Und,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Don't know,Don't know,agree,Don't know,Dems. take House,Don't know,Don't know,Don't know,Support,Beto O'Rourke,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",Bexar,50 to 64,White,Less than 50 percent,Cell,0.7778,0.162,1.0458,1.6907,1.1108
Dem,18 to 34,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,Dem. Rio Grande,65 and older,Hispanic,85 percent or higher,Cell,1,0.8798,0.4537,0.1208,0.4473
Rep,50 to 64,Grade school,Hispanic,Male,Hispanic,Disapp.,Don't know,disagree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,Nonwhite,Bexar,50 to 64,Hispanic,85 percent or higher,Cell,1,0.9531,2.1677,1.7995,2.139
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.8605,0.4166,0.1206,0.411
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,disagree,agree,agree,Dems. take House,Favorable,Favorable,Don't know,Support,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Rep. Rio Grande,50 to 64,White,85 percent or higher,Landline,1,0.9626,0.3686,0.1165,0.364
Dem,35 to 49,High school,Hispanic,Male,Hispanic,Approve,Approve,agree,agree,agree,Dems. take House,Favorable,Favorable,Support,Support,Ted Cruz,30 to 44,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Dem. Rio Grande,35 to 49,Hispanic,Less than 50 percent,Landline,1,0.4916,1.9863,3.2905,2.2036
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Disapp.,agree,disagree,disagree,Dems. take House,Favorable,Favorable,Oppose,Oppose,Beto O'Rourke,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.8833,0.4166,0.1183,0.4187
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,Other,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,Nonwhite,Dem. Rio Grande,65 and older,Unknown,85 percent or higher,Cell,1,0.9577,0.3292,0.0848,0.3249
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Disapp.,agree,agree,agree,Dems. take House,Unfavorable,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,Postgraduate Degree,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",Bexar,50 to 64,White,50 to 85 percent,Cell,0.5556,0.6428,0.7513,0.292,0.662
Und,35 to 49,Graduate or Professional Degree,White,Female,Black,Disapp.,Don't know,agree,agree,agree,Don't know,Don't know,Don't know,Support,Support,Don't know,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),Nonwhite,Bexar,35 to 49,White,50 to 85 percent,Cell,1,0.547,0.9483,0.7479,0.9725
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Dem. Rio Grande,50 to 64,White,85 percent or higher,Landline,1,0.9824,0.3297,0.0972,0.3282
Und,50 to 64,Some college or trade school,Asian,Male,Asian,Don't know,Approve,disagree,disagree,Don't know,Dems. take House,Favorable,Favorable,Oppose,Support,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Male,Somewhat likely,Independent (No party),Nonwhite,Bexar,50 to 64,Other Non-White,85 percent or higher,Landline,0.6667,0.8942,0.7442,0.3132,0.6644
Dem,65 and older,High school,White,Female,White,Disapp.,Approve,agree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.8604,1.0662,0.6353,1.0519
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,30 to 44,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,18 to 34,White,85 percent or higher,Cell,0.4444,0.9013,1.1472,0.8753,1.0542
Rep,50 to 64,Some college or trade school,White,Female,Other,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,Rep. Rio Grande,50 to 64,White,50 to 85 percent,Landline,1,0.8429,0.7318,0.2621,0.7402
Dem,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Favorable,Support,Oppose,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,Bexar,35 to 49,Hispanic,50 to 85 percent,Cell,1,0.7417,1.754,0.9523,1.7455
Rep,65 and older,High school,White,Male,Other,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Dem. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9537,0.9847,0.4299,0.9816
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,agree,disagree,disagree,Reps. keep House,Favorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9435,0.6571,0.2278,0.648
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,65 and older,Some College Educ.,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,50 to 85 percent,Cell,1,0.707,0.7761,0.235,0.8065
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Unfavorable,Unfavorable,Oppose,Oppose,Ted Cruz,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Bexar,50 to 64,White,Less than 50 percent,Cell,1,0.3918,1.0797,0.6674,1.2535
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,65 and older,Some College Educ.,Republican,Female,Very likely,Democrat,"White, No 4-Year College Degree",Bexar,65 and older,White,85 percent or higher,Cell,1,0.9907,0.9614,0.2824,0.954
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Disapp.,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Cell,1,0.9368,0.6095,0.1413,0.601
Dem,65 and older,Grade school,Hispanic,Female,Hispanic,Disapp.,Don't know,agree,disagree,agree,Dems. take House,Don't know,Don't know,Don't know,Support,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Not very likely,Democrat,Nonwhite,Dem. Rio Grande,65 and older,Hispanic,50 to 85 percent,Cell,0.4444,0.7584,1.4157,0.776,0.9577
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Disapp.,agree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,Ted Cruz,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9288,0.4035,0.1205,0.4032
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,Beto O'Rourke,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Bexar,18 to 34,White,50 to 85 percent,Cell,0.8889,0.845,1.4847,0.504,1.4839
Rep,50 to 64,Some college or trade school,White,Female,Other,Approve,Don't know,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Bexar,50 to 64,White,85 percent or higher,Cell,1,0.9391,0.9359,0.3631,0.9342
Dem,65 and older,Some college or trade school,Hispanic,Male,Other,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Don't know,Support,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Bexar,65 and older,Hispanic,85 percent or higher,Cell,1,0.9898,1.2085,0.3343,1.2031
Rep,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Approve,Don't know,Don't know,Don't know,Don't know,Reps. keep House,Don't know,Don't know,Don't know,Don't know,Ted Cruz,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,Rep. Rio Grande,18 to 34,Hispanic,Less than 50 percent,Cell,1,0.1236,1.8242,7.894,2.7619
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,35 to 49,White,50 to 85 percent,Cell,1,0.7315,0.9536,0.6084,0.9856
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Bexar,50 to 64,White,85 percent or higher,Landline,1,0.9246,0.771,0.2304,0.76
Rep,[DO NOT READ] Refused,High school,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,disagree,disagree,Don't know,Don't know,Favorable,Favorable,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,[DO NOT READ] Don't know/Refused,Democrat,[DO NOT READ] Don't know/Refused,Bexar,65 and older,White,85 percent or higher,Landline,0.4444,0.8612,1.56,0.841,1.2329
Rep,65 and older,High school,White,Male,Hispanic,Approve,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Support,Ted Cruz,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),Nonwhite,Rep. Rio Grande,65 and older,White,85 percent or higher,Cell,0.8889,0.913,1.173,0.6989,1.1654
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,Unknown,85 percent or higher,Cell,1,0.9617,0.49370000000000003,0.1205,0.4918
Dem,50 to 64,Bachelors' degree,White,Male,Black,Disapp.,Disapp.,disagree,agree,disagree,Dems. take House,Don't know,Favorable,Oppose,Support,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Bexar,50 to 64,White,85 percent or higher,Cell,1,0.9888,0.747,0.1678,0.7436
Rep,50 to 64,High school,White,Male,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,Ted Cruz,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Dem. Rio Grande,50 to 64,White,50 to 85 percent,Landline,1,0.8337,1.1686,0.6367,1.1839
Rep,65 and older,Graduate or Professional Degree,Unknown,Female,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,Unknown,85 percent or higher,Landline,1,0.9717,0.3564,0.1033,0.3549
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Favorable,Support,Support,Beto O'Rourke,45 to 64,Some College Educ.,Other,Male,Somewhat likely,Democrat,"White, No 4-Year College Degree",Bexar,50 to 64,White,50 to 85 percent,Landline,0.8889,0.5253,1.2234,0.7453,1.0509
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,50 to 64,White,85 percent or higher,Landline,1,0.9077,0.6604,0.2686,0.6508
Dem,18 to 34,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Don't know,disagree,agree,agree,Dems. take House,Don't know,Don't know,Support,Support,Beto O'Rourke,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Bexar,18 to 34,Hispanic,85 percent or higher,Cell,1,0.894,1.255,0.6945,1.2597
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,50 to 64,White,85 percent or higher,Cell,1,0.9498,0.6396,0.2758,0.631
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Dem. Rio Grande,50 to 64,White,50 to 85 percent,Cell,1,0.6449,0.5393,0.1719,0.5434
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Dem. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9723,0.4544,0.1016,0.4492
Dem,65 and older,Graduate or Professional Degree,White,Female,Hispanic,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Bexar,65 and older,White,85 percent or higher,Landline,1,0.9618,0.554,0.1227,0.5471
