response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Warren,Less than 50 percent,Cell,1,0.3714,0.8733,1.4162,1.0197
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Warren,50 to 85 percent,Landline,1,0.8311,0.7186,0.4182,0.7244
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Non-White,Cincinnati,85 percent or higher,Cell,1,0.8801,0.9788,0.6428,0.979
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Warren,50 to 85 percent,Landline,1,0.8384,0.6887,0.3201,0.7053
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Cincinnati,85 percent or higher,Landline,1,0.9687,0.8525,0.3944,0.8488
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,Non-White,Cincinnati,85 percent or higher,Landline,1,0.9474,0.9788,0.5973,0.9709
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Warren,Less than 50 percent,Landline,1,0.3673,1.2014,2.0198,1.2921
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Hamilton,85 percent or higher,Landline,1,0.97,0.7211,0.2696,0.7088
Rep,65 and older,Some college or trade school,Unknown,Male,Asian,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,[DO NOT READ] Don't know/Refused,Republican,Nonwhite,65 and older,No 4-year College Degree,Unknown,Hamilton,85 percent or higher,Landline,1,0.9026,1.0416,0.3826,0.9628
Dem,35 to 49,Some college or trade school,White,Female,White,Don't know,Dems. take House,Don't know,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Warren,85 percent or higher,Cell,1,0.9664,1.0057,0.5147,0.9962
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Warren,85 percent or higher,Landline,1,0.8834,0.9685,0.5059,0.9813
Dem,65 and older,Grade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Other,Male,Already voted,Independent (No party),Nonwhite,65 and older,No 4-year College Degree,Non-White,Cincinnati,Less than 50 percent,Landline,1,0.4772,1.1927,2.7906,1.3892
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,Cincinnati,85 percent or higher,Cell,1,0.9669,0.6249,0.286,0.619
Dem,50 to 64,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,Non-White,Hamilton,85 percent or higher,Landline,1,0.9126,0.9434,0.434,0.9395
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Don't know,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Warren,85 percent or higher,Cell,1,0.8725,0.9188,0.4923,0.9012
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.8688,1.0944,0.5025,1.0966
Dem,65 and older,Some college or trade school,Black,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Non-White,Cincinnati,85 percent or higher,Cell,1,0.9188,0.9602,0.4845,0.9555
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Warren,85 percent or higher,Cell,1,0.9252,0.7196,0.3844,0.7225
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Warren,85 percent or higher,Cell,1,0.9666,1.0294,1.0383,1.0196
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Hamilton,Less than 50 percent,Cell,1,0.2725,1.26,4.5162,1.5738
Rep,18 to 34,Bachelors' degree,Asian,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,18 to 39,4-year College Grad.,Non-White,Hamilton,50 to 85 percent,Cell,1,0.7434,1.1083,0.6003,1.1363
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Hamilton,85 percent or higher,Landline,1,0.97,0.9424,0.3319,0.9333
Und,50 to 64,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,[DO NOT READ] Refused,Nonwhite,40 to 64,Postgraduate Degree,White,Cincinnati,50 to 85 percent,Landline,0.7778,0.798,0.6325,0.3721,0.6222
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Hamilton,50 to 85 percent,Landline,1,0.8443,1.0367,0.4859,1.0428
Dem,65 and older,High school,Black,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Non-White,Hamilton,50 to 85 percent,Landline,1,0.7903,1.0733,1.0352,1.0901
Rep,50 to 64,High school,White,Female,Asian,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,Nonwhite,40 to 64,No 4-year College Degree,White,Warren,85 percent or higher,Landline,1,0.9262,1.067,1.2463,1.0608
3,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Don't know,Don't know,Favorable,30 to 44,4-year College Grad.,Republican,Female,Somewhat likely,or as a member of another political party,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Warren,Less than 50 percent,Landline,0.6667,0.4925,1.2014,1.507,0.9077
Rep,65 and older,High school,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Other,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,65 and older,No 4-year College Degree,White,Hamilton,50 to 85 percent,Landline,1,0.5996,1.1657,1.3651,1.2396
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Cincinnati,85 percent or higher,Cell,1,0.9594,0.8418,0.3531,0.8342
Dem,18 to 34,Some college or trade school,Black,Female,Black,Don't know,Don't know,Favorable,Don't know,18 to 29,Some College Educ.,Other,Female,Very likely,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Non-White,Cincinnati,Less than 50 percent,Landline,0.8889,0.1871,1.4485,5.9407,1.6217
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.8607,1.0315,0.8558,1.0507
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Warren,85 percent or higher,Cell,1,0.8868,1.0468,0.5173,1.046
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,0,0.9356,1.0693,0.9056,0.9626
Und,65 and older,Some college or trade school,Black,Female,White,Don't know,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Non-White,Cincinnati,85 percent or higher,Landline,1,0.9084,0.9953,0.5635,0.9917
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Hamilton,85 percent or higher,Cell,1,0.9444,1.2822,0.6646,1.2724
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Hamilton,50 to 85 percent,Cell,0.8889,0.6193,0.9253,0.5606,0.9549
Rep,65 and older,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Hamilton,50 to 85 percent,Cell,1,0.7961,1.1921,0.5436,1.2094
Dem,65 and older,Bachelors' degree,Black,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,Non-White,Cincinnati,50 to 85 percent,Landline,1,0.6701,0.8558,0.5498,0.8925
Dem,50 to 64,Some college or trade school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,40 to 64,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.9424,1.0515,0.5023,1.0314
Rep,65 and older,Bachelors' degree,Other,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,Non-White,Hamilton,85 percent or higher,Cell,0.7778,0.9128,0.982,0.4004,0.9425
Rep,35 to 49,Some college or trade school,White,Male,Black,Approve,Don't know,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,Nonwhite,18 to 39,No 4-year College Degree,White,Warren,Less than 50 percent,Cell,0.7778,0.2501,1.4883,3.9059,1.6942
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Warren,Less than 50 percent,Cell,1,0.3992,1.346,2.1947,1.5484
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Warren,85 percent or higher,Landline,1,0.9621,1.0468,0.9438,1.0434
Dem,50 to 64,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Unknown,Cincinnati,85 percent or higher,Cell,1,0.9515,0.894,0.4142,0.8865
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Hamilton,50 to 85 percent,Landline,1,0.7901,0.9253,0.4399,0.9398
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Warren,85 percent or higher,Landline,1,0.9644,1.0468,0.4758,1.037
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Hamilton,85 percent or higher,Cell,1,0.97,1.0762,0.9846,1.0658
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Not at all likely,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Hamilton,85 percent or higher,Landline,1,0.97,0.9544,0.3743,0.8845
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Female,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Warren,85 percent or higher,Landline,1,0.9336,0.7459,0.438,0.7476
Rep,18 to 34,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",18 to 39,4-year College Grad.,Unknown,Hamilton,85 percent or higher,Cell,1,0.9291,1.1291,0.5205,1.1222
3,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Hamilton,Less than 50 percent,Cell,0.8889,0.3971,0.9131,1.2604,1.0108
Rep,50 to 64,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,40 to 64,4-year College Grad.,White,Cincinnati,Less than 50 percent,Landline,1,0.1828,1.0046,3.0269,1.3765
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.97,1.0558,0.3916,1.0456
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Cell,1,0.97,1.0558,0.7744,1.0456
Dem,65 and older,High school,White,Male,White,Don't know,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Warren,85 percent or higher,Landline,1,0.9683,1.0227,0.9197,1.0129
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Warren,50 to 85 percent,Landline,1,0.7962,1.1814,0.704,1.1985
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Cincinnati,50 to 85 percent,Landline,0.7778,0.6196,0.9418,0.6297,0.9457
Und,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.97,1.0944,0.4503,1.0839
Rep,65 and older,Graduate or Professional Degree,Asian,Male,Asian,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,65 and older,Postgraduate Degree,Non-White,Hamilton,85 percent or higher,Landline,1,0.9655,0.7691,0.3135,0.7619
Rep,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Hamilton,85 percent or higher,Cell,1,0.9,1.1445,0.5908,1.1416
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Cincinnati,50 to 85 percent,Landline,0.6667,0.5654,1.22,1.1065,0.811
Dem,50 to 64,Some college or trade school,White,Female,Asian,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,White,Warren,50 to 85 percent,Landline,0.5556,0.6481,1.1365,0.8523,1.0702
Dem,65 and older,Bachelors' degree,Black,Female,Black,Don't know,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,4-year College Grad.,Non-White,Hamilton,85 percent or higher,Landline,1,0.9624,0.9945,0.4283,0.9853
Und,65 and older,High school,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.9626,1.0944,0.8976,1.0843
Dem,65 and older,High school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,No 4-year College Degree,Non-White,Cincinnati,85 percent or higher,Landline,1,0.97,0.9953,1.0446,0.9857
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Warren,85 percent or higher,Cell,1,0.9307,1.0057,0.5344,0.9994
Dem,35 to 49,Graduate or Professional Degree,Asian,Female,Asian,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,18 to 39,Postgraduate Degree,Non-White,Hamilton,50 to 85 percent,Landline,1,0.6527,0.8998,0.6503,0.9426
Dem,18 to 34,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 39,4-year College Grad.,Non-White,Cincinnati,85 percent or higher,Landline,1,0.9476,1.0041,0.5721,0.9852
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,Unknown,Hamilton,85 percent or higher,Cell,1,0.97,1.1031,0.489,1.0844
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Hamilton,Less than 50 percent,Cell,1,0.2461,0.9156,1.792,1.1704
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Warren,85 percent or higher,Cell,1,0.9257,0.9188,0.4641,0.9135
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,Unknown,Cincinnati,85 percent or higher,Cell,1,0.97,0.7718,0.4259,0.7644
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Non-White,Cincinnati,85 percent or higher,Landline,1,0.9041,0.9788,0.6258,0.9758
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Warren,85 percent or higher,Landline,1,0.8587,1.067,0.6789,1.0471
Dem,35 to 49,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Non-White,Cincinnati,50 to 85 percent,Cell,1,0.5135,1.0837,1.0581,1.1858
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Hamilton,85 percent or higher,Landline,1,0.97,0.7381,0.2748,0.731
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Hamilton,50 to 85 percent,Cell,1,0.7107,1.0391,0.5421,1.0731
Und,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Very likely,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Non-White,Cincinnati,50 to 85 percent,Landline,1,0.8493,1.1061,0.7406,1.0859
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Hamilton,Less than 50 percent,Landline,0.5556,0.3087,0.7685,1.0983,0.6598
Dem,50 to 64,Graduate or Professional Degree,Asian,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,[DO NOT READ] Don't know/Refused,40 to 64,Postgraduate Degree,Non-White,Warren,50 to 85 percent,Landline,1,0.6587,0.7315,0.5872,0.7316
Rep,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Hamilton,85 percent or higher,Cell,1,0.9093,0.9606,0.4497,0.957
Dem,35 to 49,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Democrat,Nonwhite,18 to 39,4-year College Grad.,Non-White,Cincinnati,Less than 50 percent,Landline,1,0.2786,1.2472,2.9379,1.5502
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Not at all likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Warren,50 to 85 percent,Landline,0,0.5204,1.1781,1.2204,0.3643
Dem,18 to 34,Bachelors' degree,White,Female,Hispanic,Don't know,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Very likely,or as a member of another political party,Nonwhite,18 to 39,4-year College Grad.,White,Warren,85 percent or higher,Landline,1,0.8671,1.1086,0.7267,1.0876
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Cincinnati,85 percent or higher,Cell,1,0.97,0.9061,0.4467,0.8974
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Hamilton,85 percent or higher,Cell,1,0.9366,0.7091,0.3083,0.6954
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Warren,85 percent or higher,Landline,1,0.9578,0.7459,0.427,0.7393
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Warren,Less than 50 percent,Landline,0.8889,0.3225,1.3284,2.5658,1.3799
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Hamilton,85 percent or higher,Cell,1,0.9223,0.7651,0.3321,0.761
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Warren,85 percent or higher,Landline,1,0.9,1.067,0.6479,1.0643
