response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedc,file_race_white,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,Bexar,65 and older,Non-White,85 percent or higher,Cell,1,0.9597,0.6547,0.175,0.6393,2018-10-14 21:54:22
Dem,65 and older,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Democrat,Nonwhite,Dem. Rio Grande,65 and older,Non-White,Less than 50 percent,Cell,1,0.4592,1.6379,2.3531,1.9153,2018-10-14 21:54:49
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Bexar,18 to 39,Unknown,85 percent or higher,Cell,1,0.9445,1.2437,0.4185,1.2272,2018-10-14 21:56:19
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,40 to 64,White,Less than 50 percent,Cell,1,0.368,0.499,0.533,0.5806,2018-10-14 21:56:28
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Female,Not at all likely,Independent (No party),[DO NOT READ] Don't know/Refused,Bexar,40 to 64,White,85 percent or higher,Cell,0,0.8894,1.2421,0.7569,0.7052,2018-10-14 21:57:58
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Cell,1,0.9381,0.4465,0.189,0.4354,2018-10-14 22:00:40
Rep,65 and older,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,65 and older,Unknown,85 percent or higher,Cell,1,0.9569,0.7242,0.1749,0.707,2018-10-14 22:02:19
Und,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",Bexar,40 to 64,White,Less than 50 percent,Cell,0.8889,0.0842,0.8316,2.4215,1.056,2018-10-14 22:05:19
Dem,35 to 49,Graduate or Professional Degree,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Bexar,18 to 39,White,50 to 85 percent,Cell,1,0.6781,1.1131,0.5848,1.1521,2018-10-14 22:06:40
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,40 to 64,White,50 to 85 percent,Cell,1,0.8483,0.8457,0.3273,0.8256,2018-10-14 22:08:19
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Dem. Rio Grande,40 to 64,White,50 to 85 percent,Cell,1,0.7985,0.5776,0.4554,0.5824,2018-10-14 22:08:28
Und,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Don't know,18 to 29,Some College Educ.,Other,Male,Very likely,Republican,Nonwhite,Rep. Rio Grande,18 to 39,Non-White,Less than 50 percent,Cell,0.6667,0.1248,1.4824,5.9247,1.4721,2018-10-14 22:11:01
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,40 to 64,Unknown,Less than 50 percent,Cell,0.8889,0.1315,0.7127,1.2158,0.9779,2018-10-14 22:12:58
Dem,65 and older,Grade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Dem. Rio Grande,65 and older,Non-White,85 percent or higher,Cell,1,0.9572,1.5263,1.0583,1.5044,2018-10-14 22:16:34
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",Bexar,65 and older,White,50 to 85 percent,Cell,1,0.7829,0.6611,0.2442,0.6686,2018-10-14 22:19:58
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,30 to 44,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Dem. Rio Grande,18 to 39,White,50 to 85 percent,Cell,1,0.8444,1.0583,0.8237,1.0334,2018-10-14 22:20:52
Rep,18 to 34,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,18 to 39,Unknown,Less than 50 percent,Cell,1,0.2936,1.1497,1.2811,1.4045,2018-10-14 22:25:49
Dem,35 to 49,Some college or trade school,Asian,Female,Other,Don't know,Reps. keep House,Unfavorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Somewhat likely,[DO NOT READ] Refused,Nonwhite,Bexar,40 to 64,Non-White,Less than 50 percent,Cell,1,0.2833,1.1585,1.7893,1.0505,2018-10-14 22:26:25
Und,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),Nonwhite,Rep. Rio Grande,18 to 39,Non-White,50 to 85 percent,Cell,1,0.8014,1.3971,0.5684,1.3679,2018-10-14 22:30:28
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,40 to 64,White,50 to 85 percent,Cell,1,0.8289,1.0685,0.509,1.0716,2018-10-14 22:32:34
Rep,35 to 49,Some college or trade school,Hispanic,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",Dem. Rio Grande,40 to 64,Non-White,50 to 85 percent,Cell,1,0.8453,1.2858,0.724,1.2859,2018-10-14 22:33:59
Rep,50 to 64,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,Bexar,40 to 64,White,85 percent or higher,Cell,1,0.965,0.7263,0.3057,0.7155,2018-10-14 22:40:53
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,40 to 64,White,85 percent or higher,Cell,1,0.8555,0.96,0.5481,0.9585,2018-10-14 22:44:47
Rep,50 to 64,Bachelors' degree,Unknown,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,Nonwhite,Bexar,40 to 64,Unknown,50 to 85 percent,Cell,1,0.6804,0.8489,0.2728,0.8782,2018-10-14 22:46:53
Rep,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,Nonwhite,Bexar,40 to 64,Non-White,Less than 50 percent,Cell,1,0.4571,0.7984,0.6531,0.8886,2018-10-14 22:50:34
Und,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,Less than 50 percent,Landline,1,0.3356,1.1494,1.7375,1.3637,2018-10-14 22:50:43
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Cell,1,0.965,0.5397,0.1462,0.5317,2018-10-14 22:53:16
Rep,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,Bexar,40 to 64,Non-White,85 percent or higher,Landline,1,0.8549,1.0118,0.4594,1.0103,2018-10-14 22:56:52
Rep,18 to 34,Bachelors' degree,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Rep. Rio Grande,18 to 39,White,50 to 85 percent,Cell,1,0.7246,1.1518,0.5067,1.1791,2018-10-14 22:57:37
Rep,65 and older,Graduate or Professional Degree,Hispanic,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Republican,Nonwhite,Bexar,65 and older,Non-White,85 percent or higher,Landline,1,0.9474,0.5764,0.1827,0.5624,2018-10-14 22:59:52
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Female,Not very likely,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,40 to 64,White,Less than 50 percent,Cell,1,0.0576,1.4996,6.8818,1.2297,2018-10-14 23:02:22
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,Bexar,40 to 64,Non-White,85 percent or higher,Landline,1,0.9634,1.4681,0.6973,1.4341,2018-10-14 23:04:46
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Cell,1,0.9415,0.7358,0.2942,0.7263,2018-10-14 23:06:25
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",Bexar,65 and older,White,50 to 85 percent,Cell,1,0.7063,0.5232,0.1813,0.5379,2018-10-14 23:07:19
Rep,65 and older,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,Unknown,85 percent or higher,Landline,1,0.9475,0.9151,0.259,0.8928,2018-10-14 23:08:13
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,Unknown,85 percent or higher,Landline,1,0.965,0.4687,0.1216,0.4618,2018-10-14 23:12:52
Und,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9061,0.4465,0.1944,0.4425,2018-10-14 23:13:01
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.965,0.3769,0.1346,0.3713,2018-10-14 23:17:33
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,40 to 64,White,Less than 50 percent,Cell,1,0.4604,0.5046,0.4954,0.5608,2018-10-14 23:18:36
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,40 to 64,White,85 percent or higher,Landline,1,0.965,1.1025,0.54,1.0861,2018-10-14 23:19:21
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,40 to 64,White,50 to 85 percent,Cell,0.8889,0.82,0.5233,0.2477,0.5188,2018-10-14 23:19:30
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Cell,1,0.9298,1.4567,0.824,1.4395,2018-10-14 23:31:39
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Bexar,40 to 64,Non-White,85 percent or higher,Landline,1,0.9465,0.8636,0.3305,0.852,2018-10-14 23:38:22
Rep,65 and older,Grade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Dem. Rio Grande,65 and older,White,85 percent or higher,Cell,0.8889,0.9295,1.2978,1.1733,1.2741,2018-10-14 23:42:07
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,40 to 64,White,85 percent or higher,Landline,1,0.9046,1.8426,1.1143,1.7961,2018-10-14 23:42:16
Rep,65 and older,Bachelors' degree,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),Nonwhite,Dem. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9061,0.438,0.1984,0.427,2018-10-14 23:43:37
Dem,65 and older,Bachelors' degree,Hispanic,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Bexar,65 and older,Non-White,85 percent or higher,Landline,1,0.965,0.7519,0.1896,0.7407,2018-10-14 23:46:19
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Bexar,40 to 64,White,85 percent or higher,Landline,1,0.881,1.0539,0.5566,1.0481,2018-10-14 23:54:04
Rep,65 and older,Some college or trade school,Unknown,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Bexar,65 and older,Unknown,50 to 85 percent,Cell,1,0.5823,1.284,0.4145,1.3649,2018-10-14 23:56:37
Und,65 and older,High school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Democrat,Nonwhite,Rep. Rio Grande,65 and older,Non-White,Less than 50 percent,Landline,1,0.3319,1.6009,2.0378,2.0344,2018-10-14 23:58:07
Rep,50 to 64,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,Bexar,40 to 64,White,85 percent or higher,Landline,1,0.965,0.7263,0.3057,0.7155,2018-10-14 23:59:55
Dem,35 to 49,Some college or trade school,Hispanic,Male,White,Don't know,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Bexar,40 to 64,Non-White,85 percent or higher,Landline,1,0.8558,1.4235,0.5869,1.4211,2018-10-15 00:07:16
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,40 to 64,White,85 percent or higher,Landline,1,0.9413,1.1025,0.5528,1.0882,2018-10-15 00:11:55
Rep,65 and older,Bachelors' degree,Hispanic,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Bexar,65 and older,Non-White,85 percent or higher,Landline,1,0.9563,0.7755,0.2459,0.7644,2018-10-15 00:12:58
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.965,0.8451,0.3158,0.8325,2018-10-15 00:14:28
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Republican,Nonwhite,Dem. Rio Grande,40 to 64,Non-White,85 percent or higher,Landline,1,0.9294,1.0059,0.6655,0.9942,2018-10-15 00:15:40
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,40 to 64,White,50 to 85 percent,Landline,1,0.772,1.0685,0.5439,1.083,2018-10-15 00:28:47
Dem,18 to 34,High school,Unknown,Female,Asian,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,High School Grad. or Less,Other,Female,Very likely,Democrat,Nonwhite,Bexar,18 to 39,Unknown,Less than 50 percent,Landline,0.7778,0.3257,3.3026,5.9666,3.2128,2018-10-15 00:30:26
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9558,0.5127,0.2028,0.5054,2018-10-15 00:35:45
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Landline,0.7778,0.965,0.5397,0.1462,0.5214,2018-10-15 00:39:39
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Republican,"White, 4-Year College Grads",Dem. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.965,0.3358,0.1789,0.3281,2018-10-15 00:41:27
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Bexar,18 to 39,White,50 to 85 percent,Landline,1,0.6198,1.1481,0.8477,1.1487,2018-10-15 00:45:12
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Democratic,Male,Very likely,Republican,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,Unknown,85 percent or higher,Landline,1,0.9326,0.5324,0.121,0.5191,2018-10-15 00:47:36
Rep,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,Bexar,65 and older,Non-White,85 percent or higher,Landline,1,0.965,1.2923,0.4433,1.2731,2018-10-15 00:48:36
Dem,65 and older,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,Nonwhite,Dem. Rio Grande,65 and older,Non-White,Less than 50 percent,Landline,1,0.358,1.4266,3.2306,1.6694,2018-10-15 00:49:48
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.965,0.5127,0.2012,0.5051,2018-10-15 00:51:18
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Dem. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.965,0.3856,0.1948,0.3799,2018-10-15 00:54:27
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Bexar,18 to 39,White,85 percent or higher,Cell,1,0.965,0.8709,0.4236,0.8579,2018-10-15 01:02:36
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Cell,1,0.965,0.6393,0.202,0.6246,2018-10-15 01:03:03
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Dem. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.965,0.5535,0.2781,0.5407,2018-10-15 01:04:06
Dem,50 to 64,Some college or trade school,Hispanic,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",Rep. Rio Grande,40 to 64,Non-White,Less than 50 percent,Cell,1,0.4097,1.0551,1.0059,1.1108,2018-10-15 01:06:30
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Landline,1,0.965,0.5567,0.1854,0.5484,2018-10-15 01:07:15
Rep,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),Nonwhite,Bexar,40 to 64,Non-White,50 to 85 percent,Landline,1,0.6486,1.3799,0.7357,1.3743,2018-10-15 01:07:42
Rep,50 to 64,High school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Republican,Nonwhite,Dem. Rio Grande,40 to 64,Non-White,50 to 85 percent,Cell,1,0.8258,2.2164,1.9434,2.1665,2018-10-15 01:10:42
Dem,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,or as a member of another political party,Nonwhite,Dem. Rio Grande,40 to 64,Non-White,Less than 50 percent,Cell,1,0.2014,0.5642,1.7762,0.7513,2018-10-15 01:20:35
Rep,65 and older,Bachelors' degree,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.965,0.5824,0.1945,0.5737,2018-10-15 01:24:56
Rep,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,Nonwhite,Bexar,65 and older,Non-White,50 to 85 percent,Cell,1,0.7963,1.2525,0.4339,1.2895,2018-10-15 01:27:11
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.965,0.5071,0.1787,0.4954,2018-10-15 01:31:59
Dem,65 and older,Grade school,Hispanic,Female,Hispanic,Don't know,Dems. take House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Already voted,Democrat,Nonwhite,Dem. Rio Grande,65 and older,Non-White,Less than 50 percent,Landline,1,0.0516,1.4266,7.662,3.0691,2018-10-15 01:32:44
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Male,Very likely,Democrat,Nonwhite,Dem. Rio Grande,18 to 39,Non-White,Less than 50 percent,Landline,0.8889,0.238,0.9102,3.0802,0.9784,2018-10-15 01:34:43
Rep,65 and older,Some college or trade school,Unknown,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,[DO NOT READ] Don't know/Refused,Bexar,65 and older,Unknown,85 percent or higher,Landline,1,0.9527,1.1536,0.294,1.1375,2018-10-15 01:37:34
Dem,50 to 64,Some college or trade school,White,Male,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),Nonwhite,Bexar,40 to 64,White,Less than 50 percent,Landline,1,0.1235,0.8316,2.4215,1.075,2018-10-15 01:38:28
Dem,35 to 49,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Bexar,18 to 39,White,Less than 50 percent,Cell,1,0.3424,0.7088,1.1874,0.8373,2018-10-15 01:41:37
Dem,50 to 64,Bachelors' degree,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Bexar,40 to 64,White,85 percent or higher,Landline,1,0.8783,0.7042,0.2551,0.7006,2018-10-15 01:42:13
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Rep. Rio Grande,18 to 39,White,85 percent or higher,Cell,1,0.9245,0.9397,0.6163,0.916,2018-10-15 01:43:16
Dem,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Bexar,40 to 64,Non-White,85 percent or higher,Cell,1,0.9547,0.981,0.3162,0.9671,2018-10-15 01:43:16
