response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedb,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.8612,0.9567,0.4866,0.9931,2018-10-19 23:51:36
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,35 to 49,White,50 to 85 percent,Cell,1,0.7775,1.1279,0.8712,1.1705,2018-10-19 23:52:30
Rep,35 to 49,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,35 to 49,Unknown,85 percent or higher,Cell,1,0.9331,0.9388,0.5972,0.9506,2018-10-19 23:53:24
Dem,50 to 64,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",White,Madison,50 to 64,White,85 percent or higher,Landline,1,0.97,1.2066,0.611,1.2242,2018-10-19 23:53:42
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.944,0.905,0.469,0.9153,2018-10-19 23:55:03
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Cell,1,0.9264,1.143,0.5917,1.1583,2018-10-19 23:55:57
3,18 to 34,Some college or trade school,Black,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,18 to 34,Black,50 to 85 percent,Cell,1,0.5738,1.5057,1.4559,1.6449,2018-10-19 23:57:27
Rep,65 and older,High school,White,Male,White,Approve,Don't know,Don't know,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Cell,1,0.97,1.6501,0.903,1.6656,2018-10-19 23:58:48
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Landline,1,0.97,0.9567,0.432,0.9657,2018-10-20 00:00:28
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Landline,1,0.97,1.463,0.8072,1.4658,2018-10-20 00:00:46
Und,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,St. Clair,50 to 64,White,85 percent or higher,Landline,1,0.9144,1.0229,0.6571,1.038,2018-10-20 00:00:54
Dem,65 and older,High school,Black,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,Black,85 percent or higher,Landline,1,0.9614,1.546,0.995,1.5614,2018-10-20 00:01:13
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,White,50 to 85 percent,Landline,0.5556,0.7327,1.639,1.2637,1.5753,2018-10-20 00:02:07
Dem,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Cell,1,0.9266,1.143,0.5915,1.1582,2018-10-20 00:02:55
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.97,1.0713,0.4781,1.0814,2018-10-20 00:04:16
Dem,65 and older,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,65 and older,Other Non-White,85 percent or higher,Landline,1,0.97,0.4667,0.2488,0.4711,2018-10-20 00:04:22
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,35 to 49,Unknown,85 percent or higher,Cell,1,0.9503,0.7846,0.3548,0.7931,2018-10-20 00:04:31
Dem,35 to 49,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Already voted,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Rest,35 to 49,White,85 percent or higher,Cell,1,0.97,1.1468,0.7515,1.1635,2018-10-20 00:05:16
Dem,65 and older,Some college or trade school,White,Male,Black,Don't know,Dems. take House,Don't know,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Rest,65 and older,White,85 percent or higher,Cell,1,0.9102,1.143,0.6022,1.1606,2018-10-20 00:06:40
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,St. Clair,65 and older,White,Less than 50 percent,Landline,0.7778,0.3315,1.0296,2.3352,0.824,2018-10-20 00:07:34
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,35 to 49,White,Less than 50 percent,Cell,1,0.2796,1.0135,2.6396,1.2829,2018-10-20 00:08:07
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Female,Not at all likely,Republican,"White, 4-Year College Grads",White,Rest,18 to 34,White,Less than 50 percent,Cell,1,0.2337,0.821,1.9144,0.519,2018-10-20 00:08:34
Rep,18 to 34,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,18 to 34,White,85 percent or higher,Cell,1,0.8634,1.6833,1.3893,1.7205,2018-10-20 00:09:19
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,Madison,50 to 64,White,50 to 85 percent,Cell,1,0.8338,0.9206,0.4573,0.962,2018-10-20 00:10:31
Dem,35 to 49,Graduate or Professional Degree,White,Female,Black,Disapp.,Don't know,Favorable,Favorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,Rest,35 to 49,White,50 to 85 percent,Cell,0.8889,0.7929,0.7357,0.4743,0.7501,2018-10-20 00:11:43
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.97,0.9567,0.432,0.9657,2018-10-20 00:11:43
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,Rest,50 to 64,White,85 percent or higher,Landline,1,0.9576,0.6919,0.2363,0.7035,2018-10-20 00:14:16
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,St. Clair,50 to 64,White,85 percent or higher,Cell,1,0.97,0.782,0.3165,0.7894,2018-10-20 00:14:55
Dem,50 to 64,Some college or trade school,Black,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,St. Clair,50 to 64,Black,50 to 85 percent,Landline,1,0.7692,1.3208,0.8694,1.373,2018-10-20 00:17:35
Rep,35 to 49,Bachelors' degree,Unknown,Male,Other,Approve,Reps. keep House,Favorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Very likely,Republican,Nonwhite,Nonwhite,Rest,35 to 49,Unknown,85 percent or higher,Cell,0.8889,0.8932,0.7406,0.3228,0.7317,2018-10-20 00:18:47
Dem,65 and older,Grade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",White,Madison,65 and older,Unknown,50 to 85 percent,Landline,1,0.7264,1.3741,0.7939,1.4792,2018-10-20 00:20:35
Rep,65 and older,High school,White,Female,White,Disapp.,Don't know,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Madison,65 and older,White,50 to 85 percent,Landline,1,0.6068,1.2787,1.2203,1.383,2018-10-20 00:21:38
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.9676,0.905,0.4576,0.9136,2018-10-20 00:23:08
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Dems. take House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Not at all likely,Democrat,"White, 4-Year College Grads",White,Rest,50 to 64,White,Less than 50 percent,Cell,0.4444,0.1388,0.7121,1.5755,0.2495,2018-10-20 00:24:38
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,Rest,65 and older,White,85 percent or higher,Cell,1,0.9231,0.6236,0.2767,0.6384,2018-10-20 00:24:47
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,35 to 49,White,85 percent or higher,Landline,1,0.9633,0.9688,0.7226,0.9783,2018-10-20 00:26:17
Und,65 and older,High school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,St. Clair,65 and older,Black,50 to 85 percent,Landline,0.8889,0.6009,2.1506,1.9893,2.1444,2018-10-20 00:27:11
Und,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Madison,65 and older,White,50 to 85 percent,Landline,1,0.7785,0.9822,0.579,1.0191,2018-10-20 00:29:17
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.9344,0.7382,0.2863,0.7378,2018-10-20 00:30:56
Und,65 and older,Some college or trade school,White,Female,White,Approve,Dems. take House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,White,50 to 85 percent,Landline,1,0.701,1.1242,0.7266,1.1395,2018-10-20 00:31:05
Und,65 and older,High school,White,Female,White,Disapp.,Reps. keep House,Favorable,Don't know,65 and older,High School Grad. or Less,Republican,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Rest,65 and older,White,50 to 85 percent,Cell,1,0.7834,1.6229,1.039,1.6822,2018-10-20 00:31:14
Dem,65 and older,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",White,St. Clair,65 and older,Unknown,85 percent or higher,Cell,1,0.9516,0.9343,0.3421,0.9511,2018-10-20 00:33:26
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,Madison,50 to 64,White,85 percent or higher,Cell,1,0.8982,0.7906,0.4363,0.79,2018-10-20 00:34:11
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",White,Madison,50 to 64,White,85 percent or higher,Cell,0.5556,0.9239,0.5106,0.207,0.4624,2018-10-20 00:35:59
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,White,Less than 50 percent,Landline,0.8889,0.2542,1.3151,3.586,1.6124,2018-10-20 00:37:29
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,4-year College Grad.,Other,Male,Not very likely,Independent (No party),"White, 4-Year College Grads",White,Rest,18 to 34,White,Less than 50 percent,Cell,0.4444,0.1361,0.8679,2.8222,0.3926,2018-10-20 00:41:05
Und,50 to 64,High school,White,Female,White,Approve,Dems. take House,Unfavorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",White,St. Clair,50 to 64,White,Less than 50 percent,Landline,0,0.3068,1.3931,3.4105,0.3462,2018-10-20 00:41:41
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.8802,1.3939,0.9502,1.4211,2018-10-20 00:41:50
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,St. Clair,65 and older,White,85 percent or higher,Landline,1,0.9673,1.6655,1.1103,1.6814,2018-10-20 00:43:29
Rep,18 to 34,Some college or trade school,Other,Male,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,18 to 34,Other Non-White,85 percent or higher,Cell,1,0.9614,0.7792,0.6667,0.78,2018-10-20 00:43:47
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",White,Rest,35 to 49,White,85 percent or higher,Landline,1,0.97,1.0848,0.7941,1.1006,2018-10-20 00:44:32
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Male,Somewhat likely,Democrat,"White, 4-Year College Grads",White,Madison,35 to 49,White,Less than 50 percent,Cell,0.4444,0.3425,0.5947,0.8676,0.3732,2018-10-20 00:44:32
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,65 and older,White,Less than 50 percent,Landline,1,0.2757,0.5883,1.0097,0.747,2018-10-20 00:44:50
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.9329,1.0813,0.6208,1.1047,2018-10-20 00:46:19
Und,50 to 64,Some college or trade school,White,Female,White,Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,St. Clair,50 to 64,White,Less than 50 percent,Landline,1,0.1172,0.965,4.3658,1.2916,2018-10-20 00:46:19
Rep,35 to 49,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,35 to 49,White,50 to 85 percent,Cell,1,0.6499,1.6283,1.6655,1.74,2018-10-20 00:46:37
Rep,50 to 64,Some college or trade school,White,Male,Black,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,St. Clair,50 to 64,White,85 percent or higher,Landline,1,0.97,1.0813,0.5862,1.0915,2018-10-20 00:49:55
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Somewhat likely,[DO NOT READ] Refused,"White, 4-Year College Grads",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.97,0.6592,0.2492,0.649,2018-10-20 00:50:31
Rep,50 to 64,High school,Black,Male,Black,Disapp.,Reps. keep House,Favorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Very likely,Republican,Nonwhite,Nonwhite,St. Clair,50 to 64,Black,Less than 50 percent,Cell,1,0.0693,1.4586,6.824,2.1646,2018-10-20 00:50:49
Rep,65 and older,Grade school,White,Female,White,Approve,Don't know,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,St. Clair,65 and older,White,85 percent or higher,Landline,1,0.9653,1.7643,1.3009,1.7667,2018-10-20 00:50:58
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,18 to 34,White,Less than 50 percent,Cell,1,0.4628,1.0407,1.8682,1.1843,2018-10-20 00:51:25
Und,65 and older,Some college or trade school,Unknown,Female,Other,Disapp.,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,St. Clair,65 and older,Unknown,50 to 85 percent,Landline,1,0.7459,1.1648,0.7838,1.2166,2018-10-20 00:53:13
Dem,65 and older,Some college or trade school,White,Female,White,Approve,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Madison,65 and older,White,85 percent or higher,Landline,1,0.97,0.8436,0.4775,0.8515,2018-10-20 00:55:55
Dem,50 to 64,Some college or trade school,Hispanic,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,St. Clair,50 to 64,Other Non-White,85 percent or higher,Cell,1,0.97,0.8092,0.5539,0.8168,2018-10-20 00:56:22
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.97,0.905,0.4565,0.9135,2018-10-20 00:56:40
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",White,St. Clair,65 and older,White,85 percent or higher,Landline,1,0.97,0.861,0.3788,0.8735,2018-10-20 00:57:07
Dem,18 to 34,High school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,St. Clair,18 to 34,Black,50 to 85 percent,Landline,1,0.825,2.324,2.3202,2.3906,2018-10-20 00:59:22
Dem,50 to 64,Some college or trade school,Black,Female,[DO NOT READ] Don't know/Refused,Don't know,Dems. take House,Don't know,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,St. Clair,50 to 64,Black,Less than 50 percent,Landline,0.7778,0.1647,1.0598,3.9985,1.1388,2018-10-20 00:59:49
Rep,65 and older,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,St. Clair,65 and older,Other Non-White,85 percent or higher,Landline,1,0.97,0.4979,0.2887,0.5026,2018-10-20 01:00:16
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,35 to 49,White,85 percent or higher,Cell,1,0.97,0.7406,0.3667,0.7476,2018-10-20 01:06:28
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,35 to 49,White,85 percent or higher,Cell,1,0.97,0.8079,0.3514,0.8155,2018-10-20 01:09:55
Rep,[DO NOT READ] Refused,High school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,50 to 64,Unknown,85 percent or higher,Landline,1,0.97,1.1976,0.617,1.2089,2018-10-20 01:11:43
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Disapp.,Don't know,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,50 to 64,Unknown,85 percent or higher,Landline,1,0.97,0.6545,0.1998,0.6607,2018-10-20 01:12:01
Dem,50 to 64,Graduate or Professional Degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,or as a member of another political party,Nonwhite,Nonwhite,St. Clair,50 to 64,Black,Less than 50 percent,Cell,1,0.4734,0.7235,0.6423,0.8198,2018-10-20 01:24:40
Rep,50 to 64,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,St. Clair,50 to 64,Unknown,85 percent or higher,Landline,1,0.97,0.9377,0.5239,0.9231,2018-10-20 01:24:58
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,35 to 49,White,50 to 85 percent,Cell,1,0.5452,1.1391,1.4135,1.2562,2018-10-20 01:30:13
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,St. Clair,65 and older,White,85 percent or higher,Landline,1,0.9334,1.5755,1.2159,1.5746,2018-10-20 01:30:31
Dem,65 and older,Some college or trade school,Black,Male,Other,Disapp.,Dems. take House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,Rest,65 and older,Black,50 to 85 percent,Landline,1,0.7663,1.1887,0.7396,1.2363,2018-10-20 01:30:40
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,18 to 34,White,85 percent or higher,Cell,0.8889,0.9319,1.3057,0.8914,1.2942,2018-10-20 01:32:01
Dem,18 to 34,High school,Black,Female,Black,Disapp.,Dems. take House,Unfavorable,Unfavorable,18 to 29,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,St. Clair,18 to 34,Black,50 to 85 percent,Cell,0.6667,0.6583,2.324,2.9075,2.3004,2018-10-20 01:32:10
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,65 and older,Unknown,85 percent or higher,Landline,1,0.97,0.6401,0.2465,0.6462,2018-10-20 01:32:28
Dem,65 and older,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,St. Clair,65 and older,Black,85 percent or higher,Landline,1,0.97,1.2795,0.7925,1.2916,2018-10-20 01:32:55
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Rest,65 and older,Unknown,85 percent or higher,Cell,1,0.968,0.6401,0.247,0.6412,2018-10-20 01:33:04
Dem,65 and older,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,Unknown,85 percent or higher,Cell,1,0.9584,0.9912,0.5112,1.0077,2018-10-20 01:38:46
Dem,65 and older,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,St. Clair,65 and older,Black,85 percent or higher,Landline,0.8889,0.946,1.2104,0.8586,1.2174,2018-10-20 01:39:58
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",White,Rest,35 to 49,Unknown,50 to 85 percent,Cell,1,0.7614,0.8238,0.443,0.8295,2018-10-20 01:41:28
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,St. Clair,65 and older,White,85 percent or higher,Landline,1,0.97,0.861,0.3788,0.8691,2018-10-20 01:42:58
