response,ager,educ,file_race,gender,race_eth,approve,CHECK,CLIMATE,FEMINISM,genballot,hdem_fav,hrep_fav,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Support,Not or not very,Don't know,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,"Rest, Clinton",85 percent or higher,Landline,1,0.9282,0.9492,0.5618,0.9624
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Support,Very or somewhat,support,Reps. keep House,Don't know,Don't know,agree,30 to 44,Some College Educ.,Other,Male,Not very likely,Republican,"White, No 4-Year College Degree",35 to 49,White,"Virginia Beach, Trump",Less than 50 percent,Cell,0.3333,0.2707,0.9969,2.5224,0.4319
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Check,Not or not very,support,Dems. take House,Unfavorable,Unfavorable,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9544,0.8583,0.3955,0.8679
Dem,18 to 34,Some college or trade school,Black,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,18 to 29,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,Black,"Rest, Clinton",50 to 85 percent,Landline,0.7778,0.7217,1.1357,1.1285,1.094
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,White,"Virginia Beach, Trump",50 to 85 percent,Cell,0.7778,0.8012,0.895,0.3722,0.8654
Rep,50 to 64,Some college or trade school,Other,Female,Asian,Approve,Check,Very or somewhat,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Other,Female,Not at all likely,Republican,Nonwhite,50 to 64,Other Non-White,"Virginia Beach, Trump",Less than 50 percent,Landline,0,0.4054,1.1567,2.1414,0.3195
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,"Virginia Beach, Clinton",85 percent or higher,Landline,1,0.9533,0.7358,0.2682,0.7441
Dem,65 and older,Bachelors' degree,White,Female,Black,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9399,0.8763,0.4241,0.8873
Dem,65 and older,High school,White,Male,White,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,"Rest, Clinton",50 to 85 percent,Cell,1,0.8379,1.3316,0.8634,1.3676
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Support,Very or somewhat,Don't know,Reps. keep House,Unfavorable,Favorable,Don't know,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.7668,0.9678,0.5298,1.0072
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,"Virginia Beach, Trump",50 to 85 percent,Cell,0.8889,0.5268,1.0519,1.0204,1.1339
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Don't know,Don't know,Very or somewhat,Don't know,Reps. keep House,Don't know,Favorable,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Rest, Trump",85 percent or higher,Landline,1,0.979,0.8907,0.2841,0.8994
Und,50 to 64,High school,White,Male,White,Disapp.,Support,Very or somewhat,support,Reps. keep House,Favorable,Favorable,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",50 to 64,White,"Virginia Beach, Clinton",50 to 85 percent,Landline,1,0.8309,1.2033,0.71,1.2373
Und,50 to 64,Bachelors' degree,White,Male,Hispanic,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Favorable,agree,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),Nonwhite,50 to 64,White,"Virginia Beach, Clinton",85 percent or higher,Landline,0.7778,0.8696,0.747,0.3446,0.7268
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,White,"Virginia Beach, Trump",Less than 50 percent,Cell,1,0.1981,0.9144,1.8952,1.1104
Dem,18 to 34,Some college or trade school,White,Male,Hispanic,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Favorable,agree,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),Nonwhite,18 to 34,White,"Virginia Beach, Trump",Less than 50 percent,Landline,0.7778,0.172,1.2013,4.6165,0.9678
Dem,65 and older,Some college or trade school,White,Female,Black,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Unfavorable,Unfavorable,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9609,0.9385,0.5176,0.9486
Und,50 to 64,Some college or trade school,Black,Male,Black,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Unfavorable,agree,45 to 64,Some College Educ.,Other,Male,Not at all likely,Democrat,Nonwhite,50 to 64,Black,"Virginia Beach, Clinton",Less than 50 percent,Cell,0.1111,0.0779,0.8132,3.0475,0.1908
Dem,50 to 64,Some college or trade school,White,Female,Black,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,White,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.9432,0.8167,0.443,0.8267
Rep,65 and older,[DO NOT READ] Refused,White,Female,White,Approve,Don't know,Not or not very,support,Reps. keep House,Favorable,Favorable,agree,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Rest, Clinton",50 to 85 percent,Landline,0.4444,0.7588,1.078,1.0467,1.0112
Dem,65 and older,Some college or trade school,Other,Female,White,Don't know,Check,Very or somewhat,support,Dems. take House,Favorable,Favorable,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Other Non-White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9592,1.0696,0.7335,1.0812
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9646,0.9204,0.4206,0.93
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Support,Not or not very,oppose,Reps. keep House,Don't know,Favorable,agree,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Rest, Trump",50 to 85 percent,Landline,1,0.7143,1.1312,0.7263,1.1907
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,"Rest, Clinton",85 percent or higher,Cell,1,0.9343,0.8852,0.5194,0.8969
Dem,50 to 64,Bachelors' degree,White,Female,Black,Disapp.,Don't know,Very or somewhat,oppose,Dems. take House,Favorable,Favorable,agree,45 to 64,4-year College Grad.,Democratic,Female,Somewhat likely,Democrat,Nonwhite,50 to 64,White,"Virginia Beach, Clinton",50 to 85 percent,Landline,0.6667,0.719,0.8655,0.4906,0.7201
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,"Rest, Clinton",85 percent or higher,Landline,1,0.9345,0.8593,0.4621,0.8706
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Support,Not or not very,support,Reps. keep House,Favorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,"Rest, Trump",85 percent or higher,Cell,1,0.9576,0.9964,0.5446,0.9978
Dem,65 and older,High school,Unknown,Male,White,Approve,Check,Very or somewhat,support,Don't know,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Other,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",65 and older,Unknown,"Rest, Clinton",50 to 85 percent,Landline,1,0.7752,1.3732,1.1514,1.4267
Dem,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Favorable,agree,30 to 44,4-year College Grad.,Other,Female,Very likely,Independent (No party),Nonwhite,35 to 49,Black,"Virginia Beach, Trump",Less than 50 percent,Landline,1,0.0774,0.898,4.1195,1.3048
Dem,65 and older,Some college or trade school,Asian,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,Other Non-White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.8855,1.0893,0.7892,1.1106
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,Don't know,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,"Virginia Beach, Trump",50 to 85 percent,Landline,1,0.5782,1.0519,0.9296,1.1484
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Check,Not or not very,oppose,Reps. keep House,Don't know,Favorable,agree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.899,0.8764,0.5187,0.8918
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",50 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9236,0.8583,0.4087,0.8583
Und,50 to 64,High school,White,Male,White,Don't know,Don't know,Not or not very,Don't know,Don't know,Don't know,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,"Virginia Beach, Trump",Less than 50 percent,Landline,0,0.3958,1.2935,2.0923,0.3536
Rep,50 to 64,Some college or trade school,Black,Male,White,Approve,Support,Very or somewhat,Don't know,Don't know,Favorable,Favorable,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,Black,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.5276,0.8428,0.759,0.9358
Dem,35 to 49,Some college or trade school,Black,Male,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,Black,"Virginia Beach, Clinton",Less than 50 percent,Cell,1,0.4612,0.8304,1.2244,0.9463
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",35 to 49,White,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.8114,1.0342,0.672,1.0379
Rep,50 to 64,Some college or trade school,Hispanic,Male,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Unfavorable,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,Other Non-White,"Rest, Trump",85 percent or higher,Cell,1,0.8959,1.0923,0.7416,1.1119
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9383,0.9557,0.5573,0.9679
Dem,65 and older,Bachelors' degree,Unknown,Male,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Unknown,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9194,0.8692,0.4817,0.8822
Und,65 and older,Some college or trade school,Hispanic,Male,White,Disapp.,Support,Not or not very,support,Dems. take House,Unfavorable,Unfavorable,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,Other Non-White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.8871,1.0806,0.727,1.1013
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Favorable,agree,45 to 64,Postgraduate Degree,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,White,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.8668,0.7494,0.293,0.7499
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,"Virginia Beach, Clinton",85 percent or higher,Landline,1,0.8921,0.8578,0.4767,0.8737
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Don't know,Not or not very,oppose,Don't know,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9128,0.8611,0.3505,0.8746
Rep,50 to 64,Some college or trade school,White,Male,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Favorable,agree,45 to 64,Some College Educ.,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",50 to 64,White,"Rest, Clinton",50 to 85 percent,Cell,0.7778,0.5111,0.9743,0.976,0.9437
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Support,Not or not very,support,Reps. keep House,Favorable,Favorable,agree,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,White,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.7402,1.1988,0.7715,1.2545
Rep,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Check,Very or somewhat,oppose,Reps. keep House,Don't know,Don't know,agree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,Other Non-White,"Virginia Beach, Trump",Less than 50 percent,Cell,1,0.4064,1.0236,1.4539,1.1965
Rep,65 and older,Graduate or Professional Degree,Hispanic,Male,White,Approve,Support,Not or not very,Don't know,Reps. keep House,Don't know,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Other Non-White,"Virginia Beach, Trump",Less than 50 percent,Cell,1,0.3164,1.0339,1.4632,1.2744
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Support,Very or somewhat,oppose,Don't know,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,"Virginia Beach, Trump",50 to 85 percent,Cell,0.7778,0.6811,1.0118,0.7108,1.0271
Rep,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Approve,Support,Not or not very,oppose,Reps. keep House,Don't know,Favorable,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Unknown,"Virginia Beach, Trump",Less than 50 percent,Landline,1,0.4125,0.9629,1.3872,1.1223
Dem,65 and older,Graduate or Professional Degree,White,Female,Black,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9309,0.8456,0.3269,0.857
Dem,65 and older,High school,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.8719,1.2665,0.8492,1.2938
Rep,18 to 34,Bachelors' degree,Black,Male,White,Approve,Support,Not or not very,oppose,Reps. keep House,Don't know,Don't know,disagree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,Black,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.8596,0.9801,0.6415,1.0031
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",35 to 49,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9331,0.9112,0.5549,0.9233
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Favorable,Don't know,agree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,"Rest, Trump",50 to 85 percent,Landline,1,0.8247,0.9975,0.4571,1.0268
Rep,65 and older,High school,White,Male,White,Approve,Support,Not or not very,oppose,Reps. keep House,Don't know,Favorable,Don't know,65 and older,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.6172,1.3828,1.1376,1.4197
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Support,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,"Rest, Clinton",85 percent or higher,Cell,1,0.9687,0.8762,0.5465,0.8852
Rep,18 to 34,Graduate or Professional Degree,Black,Male,Black,Disapp.,Check,Not or not very,support,Dems. take House,Favorable,Favorable,agree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 34,Black,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.8331,0.9174,0.4253,0.943
Dem,35 to 49,Some college or trade school,Black,Female,White,Don't know,Check,Not or not very,oppose,Dems. take House,Favorable,Favorable,disagree,30 to 44,Some College Educ.,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,Black,"Virginia Beach, Trump",50 to 85 percent,Cell,0.8889,0.8364,1.0279,0.8272,1.0433
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Support,Not or not very,support,Reps. keep House,Unfavorable,Favorable,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.8619,0.9204,0.4707,0.9416
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Check,Not or not very,support,Reps. keep House,Don't know,Favorable,agree,30 to 44,Postgraduate Degree,Other,Female,Not at all likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,"Virginia Beach, Clinton",Less than 50 percent,Cell,0,0.0738,0.8381,2.5146,0.1725
Dem,50 to 64,Some college or trade school,White,Female,Black,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,50 to 64,White,"Rest, Clinton",Less than 50 percent,Landline,1,0.2396,0.9774,2.6393,1.2822
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.8974,0.8344,0.5106,0.8493
Rep,50 to 64,Bachelors' degree,White,Male,Other,Approve,Support,Not or not very,oppose,Don't know,Unfavorable,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9564,0.8583,0.3947,0.8678
Dem,65 and older,High school,Black,Female,Black,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Black,"Rest, Clinton",85 percent or higher,Landline,1,0.9236,1.1113,0.8456,1.1273
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,"Virginia Beach, Trump",50 to 85 percent,Landline,1,0.845,1.0128,0.5223,1.039
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Approve,Support,Not or not very,Don't know,Reps. keep House,Don't know,Favorable,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",50 to 64,Unknown,"Rest, Trump",Less than 50 percent,Landline,0.6667,0.0663,0.9457,2.7732,1.2762
Dem,65 and older,Some college or trade school,Unknown,Male,White,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Unknown,"Virginia Beach, Clinton",85 percent or higher,Landline,1,0.9233,0.8356,0.4867,0.8476
Rep,50 to 64,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Support,Not or not very,oppose,Don't know,Unfavorable,Favorable,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,White,"Virginia Beach, Trump",Less than 50 percent,Landline,1,0.3844,0.9115,1.1524,1.0779
Rep,35 to 49,Some college or trade school,Unknown,Male,White,Approve,Don't know,Very or somewhat,oppose,Reps. keep House,Don't know,Favorable,agree,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,Unknown,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.5705,1.0654,1.2932,1.166
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,Unknown,Female,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Unfavorable,Don't know,18 to 29,[DO NOT READ] Don't know/Refused,Democratic,Female,Not at all likely,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,18 to 34,Unknown,"Virginia Beach, Trump",50 to 85 percent,Cell,0.4444,0.8034,1.3113,1.726,0.8337
Dem,18 to 34,High school,White,Female,White,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Favorable,Favorable,agree,18 to 29,High School Grad. or Less,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,"Virginia Beach, Clinton",Less than 50 percent,Landline,0.5556,0.2965,1.4852,3.6233,1.0031
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Support,Very or somewhat,oppose,Reps. keep House,Unfavorable,Favorable,Don't know,45 to 64,Some College Educ.,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",35 to 49,White,"Virginia Beach, Trump",50 to 85 percent,Cell,0.5556,0.7921,1.1077,0.8588,0.9164
Rep,65 and older,Grade school,White,Male,White,Approve,Support,Not or not very,Don't know,Reps. keep House,Unfavorable,Favorable,agree,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,"Rest, Trump",85 percent or higher,Cell,1,0.9087,1.3099,0.7496,1.3096
Und,35 to 49,Some college or trade school,White,Male,White,Approve,Don't know,Very or somewhat,Don't know,Reps. keep House,Don't know,Don't know,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.7979,1.0655,0.7679,1.0703
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,"Rest, Trump",85 percent or higher,Cell,1,0.9393,0.8728,0.4123,0.8838
Rep,65 and older,Grade school,White,Male,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,"Rest, Trump",50 to 85 percent,Landline,0.8889,0.5944,1.4868,1.2069,1.574
Und,65 and older,Some college or trade school,White,Female,White,Disapp.,Check,Not or not very,Don't know,Reps. keep House,Don't know,Don't know,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Clinton",85 percent or higher,Landline,1,0.9136,0.8848,0.4506,0.8986
Dem,50 to 64,Bachelors' degree,Black,Male,White,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Don't know,Don't know,agree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,Black,"Virginia Beach, Trump",85 percent or higher,Cell,0.6667,0.887,0.7965,0.4328,0.765
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Don't know,Support,Not or not very,oppose,Reps. keep House,Don't know,Don't know,agree,30 to 44,Postgraduate Degree,Other,Female,Not very likely,Republican,"White, 4-Year College Grads",18 to 34,White,"Virginia Beach, Trump",50 to 85 percent,Cell,0.1111,0.6031,1.1662,0.7833,0.5501
Dem,50 to 64,Some college or trade school,Black,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Black,"Rest, Clinton",85 percent or higher,Landline,1,0.9436,0.8131,0.5706,0.8231
