response,ager,educ,file_race,gender,race_eth,approve,ASSAULTW,ENGLISH,genballot,hdem_fav,hrep_fav,LIFECHANGE,OPIOID,REVERSERACIS,STRANGER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_party_model,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,yes,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,Most Clinton,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9186,0.6253,0.5312,0.6388,2018-09-10 20:28:33
Rep,65 and older,Some college or trade school,White,Female,White,Approve,support,agree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Probably Clinton,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9967,0.7038,0.62,0.7268,2018-09-10 20:29:18
Rep,18 to 34,High school,White,Male,White,Disapp.,oppose,disagree,Reps. keep House,Don't know,Favorable,agree,no,disagree,disagree,18 to 29,High School Grad. or Less,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,Maybe Trump,White,Well-educ. Trump,50 to 85 percent,Cell,0.5556,0.614,1.1259,1.5556,0.8714,2018-09-10 20:22:15
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Maybe Trump,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.7589,0.9691,0.9048,1.032,2018-09-10 20:31:42
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,Other,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,agree,yes,agree,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,Nonwhite,Nonwhite,50 to 64,Probably Clinton,Unknown,Well-educ. Clinton,85 percent or higher,Landline,1,0.9563,0.8074,0.6343,0.8339,2018-09-10 20:18:30
Dem,18 to 34,High school,Asian,Female,Asian,Disapp.,support,disagree,Dems. take House,Don't know,Favorable,disagree,no,disagree,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Not very likely,Democrat,Nonwhite,Nonwhite,35 to 49,Most Clinton,Non-White,Well-educ. Clinton,50 to 85 percent,Cell,0.1111,0.8128,1.2974,1.4087,0.8098,2018-09-10 20:24:30
Rep,35 to 49,Bachelors' degree,White,Male,White,Disapp.,support,Don't know,Reps. keep House,Don't know,Favorable,agree,no,agree,disagree,30 to 44,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,Probably Trump,White,Less-educ. Clinton,50 to 85 percent,Cell,1,0.805,1.3374,1.1941,1.3717,2018-09-10 20:24:48
Rep,65 and older,Some college or trade school,White,Female,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9973,0.8672,0.7681,0.8956,2018-09-10 20:27:03
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,Maybe Trump,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9691,0.8631,0.5961,0.8907,2018-09-10 20:20:45
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,disagree,no,disagree,disagree,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Probably Clinton,White,Well-educ. Trump,50 to 85 percent,Landline,1,0.8344,0.5543,0.4939,0.5819,2018-09-10 20:21:03
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,disagree,no,disagree,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Most Clinton,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9629,0.6892,0.6041,0.7115,2018-09-10 20:23:09
Rep,65 and older,Grade school,White,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Don't know,agree,no,disagree,agree,65 and older,High School Grad. or Less,Other,Female,[DO NOT READ] Don't know/Refused,Republican,"White, No 4-Year College Degree",White,65 and older,Maybe Trump,White,Less educ. Trump,85 percent or higher,Landline,1,0.8541,1.4781,1.5655,1.3984,2018-09-10 20:28:51
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,yes,disagree,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,Maybe Trump,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9181,1.7378,1.6602,1.802,2018-09-10 20:17:00
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,oppose,disagree,Dems. take House,Don't know,Unfavorable,agree,no,agree,disagree,65 and older,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Maybe Trump,Unknown,Well-educ. Clinton,85 percent or higher,Landline,1,0.9753,0.8503,0.5694,0.8716,2018-09-10 20:19:33
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,support,agree,Dems. take House,Favorable,Unfavorable,Don't know,no,agree,Don't know,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,Probably Clinton,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.938,0.9678,0.9476,1.0013,2018-09-10 20:26:36
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.9968,0.879,0.6595,0.9078,2018-09-10 20:27:39
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Unfavorable,Unfavorable,agree,no,disagree,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9433,1.3013,1.0582,1.3456,2018-09-10 20:20:36
Und,35 to 49,Some college or trade school,White,Female,Hispanic,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,no,disagree,disagree,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,Probably Clinton,White,Less-educ. Clinton,50 to 85 percent,Cell,1,0.794,0.969,1.1103,1.0247,2018-09-10 20:26:18
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,oppose,agree,Reps. keep House,Don't know,Favorable,agree,no,agree,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Probably Clinton,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.8458,1.117,1.0002,1.1705,2018-09-10 20:27:48
Dem,65 and older,Bachelors' degree,Unknown,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,disagree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Most Clinton,Unknown,Well-educ. Clinton,85 percent or higher,Landline,1,0.9862,0.5818,0.3853,0.5976,2018-09-10 20:24:21
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,disagree,yes,disagree,agree,18 to 29,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Probably Clinton,White,Less-educ. Clinton,Less than 50 percent,Cell,1,0.3763,0.9828,1.9472,1.1925,2018-09-10 20:30:03
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,agree,no,disagree,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9638,1.1849,1.0887,1.2232,2018-09-10 20:22:15
Rep,65 and older,Some college or trade school,White,Male,White,Disapp.,support,disagree,Don't know,Unfavorable,Favorable,agree,no,agree,agree,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Maybe Trump,White,Well-educ. Clinton,85 percent or higher,Landline,0.8889,0.9797,1.2558,1.0299,1.2919,2018-09-10 20:25:42
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,Don't know,no,disagree,agree,65 and older,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Most Clinton,White,Well-educ. Clinton,85 percent or higher,Landline,0.4444,0.8562,0.6892,0.6794,0.6436,2018-09-10 20:16:51
Rep,50 to 64,High school,White,Female,White,Approve,oppose,disagree,Reps. keep House,Don't know,Unfavorable,agree,no,agree,agree,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,Probably Trump,White,Less educ. Trump,85 percent or higher,Landline,1,0.9849,1.9109,1.8841,1.9621,2018-09-10 20:20:00
Rep,[DO NOT READ] Refused,High school,Unknown,Male,White,Disapp.,oppose,disagree,Reps. keep House,Don't know,Favorable,agree,no,Don't know,agree,45 to 64,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Probably Clinton,Unknown,Less-educ. Clinton,85 percent or higher,Landline,0.8889,0.8508,1.1158,1.1415,1.1249,2018-09-10 20:23:27
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Favorable,agree,no,disagree,agree,65 and older,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Maybe Trump,White,Less-educ. Clinton,85 percent or higher,Cell,0.4444,0.9908,1.0193,0.8214,1.0337,2018-09-10 20:29:18
Und,65 and older,Some college or trade school,Unknown,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,disagree,no,Don't know,agree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,Most Clinton,Unknown,Well-educ. Clinton,85 percent or higher,Cell,1,0.969,0.5739,0.4571,0.5878,2018-09-10 20:30:39
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,yes,disagree,agree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Probably Clinton,Unknown,Well-educ. Clinton,50 to 85 percent,Cell,1,0.735,0.6949,0.641,0.7437,2018-09-10 20:25:33
Rep,50 to 64,Some college or trade school,White,Male,Other,Approve,oppose,disagree,Reps. keep House,Don't know,Favorable,agree,no,agree,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,Nonwhite,Nonwhite,50 to 64,Probably Trump,White,Less educ. Trump,50 to 85 percent,Cell,1,0.8467,1.2676,1.3009,1.3281,2018-09-10 20:26:45
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Most Clinton,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.7874,0.6409,0.6941,0.6786,2018-09-10 20:26:54
Dem,65 and older,High school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,agree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Probably Clinton,White,Less educ. Trump,85 percent or higher,Landline,1,0.9304,1.0142,1.0389,1.0502,2018-09-10 20:30:12
Und,18 to 34,Bachelors' degree,White,Female,White,Disapp.,oppose,disagree,Reps. keep House,Don't know,Don't know,agree,no,disagree,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Most Clinton,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.777,0.6631,0.6048,0.7035,2018-09-10 20:17:54
Rep,65 and older,High school,Unknown,Female,White,Approve,oppose,agree,Reps. keep House,Don't know,Favorable,agree,no,agree,disagree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Probably Clinton,Unknown,Less-educ. Clinton,85 percent or higher,Landline,1,0.9248,0.8166,0.7667,0.8461,2018-09-10 20:18:39
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,disagree,agree,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Most Clinton,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.9968,0.5603,0.4219,0.5777,2018-09-10 20:23:36
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,oppose,agree,Reps. keep House,Don't know,Don't know,disagree,no,agree,agree,18 to 29,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 34,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.8784,0.8794,0.8321,0.9169,2018-09-10 20:22:51
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,no,disagree,agree,30 to 44,Some College Educ.,Other,Male,Very likely,Democrat,Nonwhite,Nonwhite,18 to 34,Maybe Trump,Non-White,Less educ. Trump,50 to 85 percent,Cell,0.8889,0.7347,0.9885,1.0404,0.9978,2018-09-10 20:28:42
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,no,disagree,agree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Probably Clinton,White,Less educ. Trump,85 percent or higher,Cell,1,0.9518,0.5882,0.4638,0.6077,2018-09-10 20:17:54
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Approve,oppose,disagree,Dems. take House,Favorable,Don't know,disagree,no,agree,disagree,18 to 29,4-year College Grad.,Other,Male,Very likely,or as a member of another political party,Nonwhite,Nonwhite,18 to 34,Maybe Trump,Non-White,Less-educ. Clinton,50 to 85 percent,Cell,0.8889,0.5219,0.9688,1.2107,0.9977,2018-09-10 20:24:48
Dem,18 to 34,Bachelors' degree,White,Female,Hispanic,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,no,disagree,agree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Most Clinton,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.7268,0.6631,0.6466,0.711,2018-09-10 20:30:57
Dem,18 to 34,Bachelors' degree,Unknown,Male,Asian,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,18 to 29,4-year College Grad.,Other,Male,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Probably Clinton,Unknown,Well-educ. Clinton,50 to 85 percent,Cell,0.8889,0.8,0.6905,0.5607,0.7191,2018-09-10 20:27:48
Rep,18 to 34,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,disagree,no,disagree,disagree,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,18 to 34,Most Clinton,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.6618,0.6541,0.8275,0.6813,2018-09-10 20:18:03
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Favorable,agree,no,disagree,disagree,18 to 29,Some College Educ.,Other,Male,Very likely,or as a member of another political party,"White, No 4-Year College Degree",White,18 to 34,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Cell,0.7778,0.9009,0.8794,0.8113,0.8779,2018-09-10 20:22:33
Dem,18 to 34,Some college or trade school,Unknown,Female,Black,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,agree,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Most Clinton,Unknown,Less-educ. Clinton,50 to 85 percent,Cell,1,0.5338,0.4421,0.63,0.5004,2018-09-10 20:20:18
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,no,disagree,agree,18 to 29,Some College Educ.,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,18 to 34,Probably Clinton,White,Well-educ. Clinton,Less than 50 percent,Cell,1,0.4171,1.1945,2.5378,1.3144,2018-09-10 20:24:57
Rep,18 to 34,Some college or trade school,White,Female,Asian,Don't know,Don't know,disagree,Don't know,Don't know,Favorable,Don't know,no,disagree,disagree,18 to 29,Some College Educ.,Democratic,Female,Somewhat likely,[DO NOT READ] Refused,Nonwhite,Nonwhite,18 to 34,Most Clinton,White,Well-educ. Clinton,85 percent or higher,Cell,0.6667,0.8854,0.7033,0.6583,0.6473,2018-09-10 20:17:09
Rep,65 and older,Some college or trade school,White,Male,White,Approve,support,agree,Reps. keep House,Don't know,Favorable,agree,no,agree,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Probably Trump,White,Less educ. Trump,85 percent or higher,Cell,1,0.9535,0.9912,0.8547,1.0241,2018-09-10 20:20:00
Rep,65 and older,Some college or trade school,White,Male,White,Approve,oppose,agree,Reps. keep House,Don't know,Favorable,agree,no,disagree,agree,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Probably Clinton,White,Less-educ. Clinton,85 percent or higher,Cell,0.7778,0.9319,0.6994,0.6314,0.7142,2018-09-10 20:30:12
Dem,50 to 64,Bachelors' degree,Unknown,Female,White,Disapp.,support,agree,Dems. take House,Don't know,Unfavorable,agree,no,disagree,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Probably Clinton,Unknown,Less-educ. Clinton,85 percent or higher,Cell,1,0.8982,0.817,0.6465,0.8494,2018-09-10 20:20:27
Rep,18 to 34,High school,White,Male,White,Disapp.,support,disagree,Reps. keep House,Don't know,Favorable,agree,no,agree,disagree,18 to 29,High School Grad. or Less,Other,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,Maybe Trump,White,Less educ. Trump,50 to 85 percent,Cell,0.5556,0.5127,1.3941,2.3377,0.7273,2018-09-10 20:18:48
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Maybe Trump,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9631,1.7505,1.2931,1.8071,2018-09-10 20:18:03
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,agree,yes,disagree,disagree,18 to 29,4-year College Grad.,Other,Male,Somewhat likely,Democrat,"White, 4-Year College Grads",White,18 to 34,Probably Clinton,White,Well-educ. Clinton,50 to 85 percent,Cell,0.6667,0.802,0.8291,0.7346,0.7303,2018-09-10 20:20:36
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,yes,disagree,disagree,30 to 44,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,Maybe Trump,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9273,1.0248,0.797,1.0469,2018-09-10 20:27:21
Dem,35 to 49,Some college or trade school,Other,Female,Black,Disapp.,oppose,disagree,Dems. take House,Don't know,Unfavorable,agree,no,disagree,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,Probably Clinton,Non-White,Less-educ. Clinton,50 to 85 percent,Cell,1,0.5991,0.9511,1.3469,1.054,2018-09-10 20:19:42
Dem,18 to 34,High school,White,Male,Black,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,disagree,no,disagree,agree,30 to 44,High School Grad. or Less,Other,Male,Very likely,Democrat,Nonwhite,Nonwhite,18 to 34,Probably Clinton,White,Well-educ. Clinton,50 to 85 percent,Cell,0.4444,0.5174,1.1394,2.0003,0.9707,2018-09-10 20:21:03
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,support,disagree,Reps. keep House,Favorable,Favorable,agree,no,disagree,disagree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,Maybe Trump,White,Less-educ. Clinton,85 percent or higher,Cell,0.8889,0.9616,1.5295,1.1027,1.5724,2018-09-10 20:31:06
Und,18 to 34,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,yes,disagree,disagree,18 to 29,4-year College Grad.,Other,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",White,18 to 34,Probably Clinton,White,Less educ. Trump,Less than 50 percent,Cell,0.7778,0.3715,1.023,2.1501,0.8405,2018-09-10 20:31:42
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,agree,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Maybe Trump,White,Less educ. Trump,85 percent or higher,Cell,1,0.9595,1.582,1.1472,1.6187,2018-09-10 20:22:06
Rep,50 to 64,Bachelors' degree,White,Male,Black,Disapp.,Don't know,Don't know,Dems. take House,Don't know,Favorable,agree,no,disagree,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,Nonwhite,Nonwhite,50 to 64,Probably Trump,White,Well-educ. Trump,85 percent or higher,Cell,0.8889,0.8987,1.1159,0.8921,1.1501,2018-09-10 20:23:27
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,disagree,no,disagree,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Maybe Trump,Unknown,Well-educ. Clinton,50 to 85 percent,Cell,1,0.7294,1.4595,1.2892,1.564,2018-09-10 20:23:27
Dem,65 and older,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,no,disagree,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,Most Clinton,White,Less-educ. Clinton,50 to 85 percent,Cell,1,0.6948,0.5202,0.6345,0.5619,2018-09-10 20:23:18
Rep,65 and older,High school,White,Female,White,Approve,oppose,agree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Probably Clinton,White,Less educ. Trump,85 percent or higher,Landline,1,0.985,1.0142,0.9813,1.0463,2018-09-10 20:18:39
Dem,18 to 34,High school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,disagree,disagree,18 to 29,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,Probably Clinton,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.7024,1.1467,1.5473,1.2364,2018-09-10 20:23:45
Rep,65 and older,Bachelors' degree,White,Female,White,Disapp.,oppose,disagree,Reps. keep House,Don't know,Don't know,agree,no,disagree,disagree,65 and older,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,Maybe Trump,White,Less educ. Trump,85 percent or higher,Landline,1,0.9906,1.0755,0.7685,1.106,2018-09-10 20:30:03
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,agree,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9972,0.8672,0.7682,0.8956,2018-09-10 20:18:03
Dem,50 to 64,Some college or trade school,White,Female,White,Approve,support,disagree,Dems. take House,Don't know,Unfavorable,agree,no,disagree,disagree,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Probably Clinton,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.6376,0.7519,1.0835,0.786,2018-09-10 20:20:18
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,agree,no,Don't know,disagree,65 and older,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.9927,0.879,0.6622,0.9072,2018-09-10 20:18:39
Dem,18 to 34,Bachelors' degree,Unknown,Female,Black,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,agree,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,18 to 34,Most Clinton,Unknown,Less-educ. Clinton,Less than 50 percent,Cell,1,0.4067,0.6546,1.0938,0.7228,2018-09-10 20:25:06
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,agree,no,disagree,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Probably Clinton,White,Less educ. Trump,50 to 85 percent,Landline,1,0.8424,1.016,0.9321,1.0652,2018-09-10 20:28:06
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Favorable,Don't know,disagree,yes,agree,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Probably Trump,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.8099,1.0238,1.0839,1.0794,2018-09-10 20:23:36
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Most Clinton,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9817,0.8294,0.6505,0.8556,2018-09-10 20:22:51
