response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,SCAPP,SCKAV,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedc,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,disagree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.965,0.4914,0.2807,0.4942,2018-10-16 01:27:34
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,Approve,agree,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South/Central,50 to 85 percent,Cell,0.3333,0.6942,1.056,0.933,0.7479,2018-10-16 01:33:59
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.965,0.8042,0.5062,0.8155,2018-10-16 01:43:17
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Auburn/Lewiston,85 percent or higher,Landline,1,0.965,1.3573,1.2427,1.3763,2018-10-16 01:45:41
Dem,65 and older,Bachelors' degree,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,Disapp.,agree,45 to 64,4-year College Grad.,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.932,0.7781,0.5253,0.7985,2018-10-16 20:35:39
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.8781,0.851,0.5753,0.8542,2018-10-16 20:37:09
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,Approve,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,40 to 64,White,North,50 to 85 percent,Cell,0.8889,0.6494,0.8609,0.7962,0.8581,2018-10-16 20:40:00
Dem,65 and older,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,South/Central,85 percent or higher,Cell,1,0.965,0.5542,0.337,0.562,2018-10-16 20:42:33
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Disapp.,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.965,0.8099,0.5302,0.8212,2018-10-16 20:48:47
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.954,0.851,0.5296,0.8636,2018-10-16 20:51:56
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Bangor Area,85 percent or higher,Cell,1,0.965,1.4193,1.2885,1.4391,2018-10-16 20:52:05
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.965,1.6522,1.2071,1.6753,2018-10-16 20:52:32
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 39,White,North,Less than 50 percent,Cell,1,0.156,1.1807,5.5881,1.72,2018-10-16 20:53:08
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,50 to 85 percent,Cell,1,0.5447,1.5508,2.3274,1.7178,2018-10-16 20:55:05
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,South/Central,50 to 85 percent,Cell,1,0.6889,0.7243,0.5582,0.7696,2018-10-16 21:00:29
Und,50 to 64,Some college or trade school,White,Male,Other,Don't know,Don't know,Unfavorable,Unfavorable,Disapp.,disagree,45 to 64,Some College Educ.,Democratic,Male,Not at all likely,Independent (No party),Nonwhite,Nonwhite,40 to 64,White,North,50 to 85 percent,Cell,0,0.7454,0.9709,0.8328,0.4209,2018-10-16 21:05:35
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Approve,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Cell,1,0.965,0.5366,0.3599,0.5441,2018-10-16 21:06:11
Und,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,disagree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.965,1.6779,1.4381,1.7014,2018-10-16 21:11:35
Dem,65 and older,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,Favorable,Unfavorable,Disapp.,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Bangor Area,Less than 50 percent,Cell,1,0.1483,0.7322,3.9239,1.0798,2018-10-16 21:13:05
Dem,65 and older,Some college or trade school,White,Female,White,Don't know,Don't know,Favorable,Unfavorable,Don't know,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.965,0.8492,0.6387,0.8611,2018-10-16 21:15:11
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,Disapp.,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 39,White,Auburn/Lewiston,Less than 50 percent,Cell,1,0.1722,1.6035,6.4911,2.281,2018-10-16 21:18:02
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,Approve,Don't know,30 to 44,[DO NOT READ] Don't know/Refused,Republican,Female,Already voted,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,18 to 39,White,South/Central,Less than 50 percent,Cell,1,0.1432,2.0665,7.5711,3.4186,2018-10-16 21:20:20
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,North,85 percent or higher,Cell,1,0.965,1.4171,1.3143,1.4369,2018-10-16 21:21:14
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,Approve,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.9269,0.9264,0.5716,0.9427,2018-10-16 21:21:14
Dem,50 to 64,High school,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Already voted,Democrat,Nonwhite,Nonwhite,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.965,1.8923,1.7266,1.9296,2018-10-16 21:23:56
4,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,Approve,agree,30 to 44,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 39,White,South/Central,85 percent or higher,Cell,1,0.8897,2.3082,2.1587,2.36,2018-10-16 21:24:41
Rep,65 and older,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Cell,1,0.9458,0.6399,0.4786,0.6499,2018-10-16 21:24:50
Rep,50 to 64,Grade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Approve,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,Bangor Area,Less than 50 percent,Cell,1,0.4142,1.5203,3.5999,1.7765,2018-10-16 21:25:26
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,40 to 64,White,North,85 percent or higher,Cell,1,0.965,0.6938,0.4179,0.7035,2018-10-16 21:25:35
Rep,50 to 64,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Don't know,Favorable,Approve,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.9463,0.9308,0.6278,0.9453,2018-10-16 21:26:11
Dem,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,Approve,agree,45 to 64,Some College Educ.,Other,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South/Central,Less than 50 percent,Cell,0.6667,0.368,0.9159,1.8464,0.5644,2018-10-16 21:27:05
Rep,35 to 49,Some college or trade school,White,Male,Black,Approve,Reps. keep House,Don't know,Don't know,Approve,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,Nonwhite,Nonwhite,40 to 64,White,North,50 to 85 percent,Cell,1,0.7425,0.7908,0.6641,0.8301,2018-10-16 21:28:35
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North,85 percent or higher,Cell,1,0.965,0.5802,0.3577,0.5883,2018-10-16 21:29:20
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,North,85 percent or higher,Cell,1,0.965,1.6288,1.5261,1.6516,2018-10-16 21:33:02
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,30 to 44,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 39,White,Auburn/Lewiston,50 to 85 percent,Landline,1,0.5971,1.662,1.7717,1.8103,2018-10-16 21:36:11
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,Approve,Don't know,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.9629,0.7165,0.4739,0.7204,2018-10-16 21:36:20
Dem,50 to 64,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,Bangor Area,85 percent or higher,Landline,1,0.965,1.6007,1.5469,1.6096,2018-10-16 21:38:35
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,disagree,30 to 44,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 39,White,Bangor Area,85 percent or higher,Cell,0.7778,0.8634,1.4241,1.0259,1.3895,2018-10-16 21:42:56
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.965,1.0498,0.7392,1.0645,2018-10-16 21:44:53
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Cell,1,0.965,0.6966,0.4919,0.7064,2018-10-16 21:45:47
Rep,65 and older,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown/Non-White,South/Central,85 percent or higher,Cell,1,0.965,0.627,0.4029,0.6394,2018-10-16 21:46:50
Und,50 to 64,Bachelors' degree,White,Male,White,Approve,Dems. take House,Favorable,Favorable,Approve,Don't know,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,40 to 64,White,North,85 percent or higher,Cell,1,0.965,0.7824,0.5018,0.7868,2018-10-16 21:48:05
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.965,1.5341,1.3936,1.5427,2018-10-16 21:49:17
Dem,65 and older,Grade school,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,Disapp.,disagree,65 and older,High School Grad. or Less,Democratic,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,0.6667,0.9531,1.2673,1.1562,1.2025,2018-10-16 21:50:38
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,High School Grad. or Less,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.965,1.0925,0.9895,1.114,2018-10-16 21:50:47
Und,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,Disapp.,Don't know,30 to 44,4-year College Grad.,Other,Female,Not at all likely,Republican,"White, 4-Year College Grads",White,18 to 39,White,Bangor Area,Less than 50 percent,Landline,0.1111,0.1102,1.5255,7.0816,0.3634,2018-10-16 21:50:47
Dem,50 to 64,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,agree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,North,85 percent or higher,Cell,1,0.965,1.4171,1.3143,1.4369,2018-10-16 21:50:56
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Bangor Area,85 percent or higher,Landline,1,0.965,1.0158,0.6858,1.03,2018-10-16 21:53:20
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.965,0.5542,0.337,0.562,2018-10-16 21:55:35
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.965,0.909,0.5677,0.9217,2018-10-16 21:55:53
Dem,50 to 64,Graduate or Professional Degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Favorable,Approve,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,40 to 64,Unknown/Non-White,Auburn/Lewiston,50 to 85 percent,Cell,1,0.7547,0.9399,0.7142,0.951,2018-10-16 21:57:05
Dem,50 to 64,Some college or trade school,White,Female,White,Don't know,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,Bangor Area,85 percent or higher,Landline,1,0.9642,1.0206,0.7697,1.0263,2018-10-16 21:57:41
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.9033,0.8492,0.6824,0.8667,2018-10-16 21:59:02
Und,18 to 34,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,Approve,agree,18 to 29,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,South/Central,50 to 85 percent,Landline,0.5556,0.5268,3.5668,5.0761,3.4523,2018-10-16 22:00:32
Und,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,Disapp.,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.965,0.5648,0.3259,0.5727,2018-10-16 22:01:53
Dem,18 to 34,Some college or trade school,Black,Female,Other,Disapp.,Dems. take House,Favorable,Don't know,Don't know,disagree,18 to 29,Some College Educ.,Other,Female,Very likely,Democrat,Nonwhite,Nonwhite,18 to 39,Unknown/Non-White,South/Central,Less than 50 percent,Landline,0.8889,0.0868,1.5857,7.5526,2.0621,2018-10-16 22:01:56
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.965,0.9553,0.6388,0.9686,2018-10-16 22:05:59
Dem,65 and older,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Favorable,Unfavorable,Approve,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Landline,1,0.965,0.6956,0.5017,0.7053,2018-10-16 22:06:17
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,Don't know,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,0.8889,0.965,0.6204,0.3631,0.6266,2018-10-16 22:06:26
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.9052,0.655,0.4286,0.6683,2018-10-16 22:10:02
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,Approve,agree,45 to 64,Some College Educ.,Republican,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South/Central,50 to 85 percent,Cell,0.4444,0.6687,1.1496,1.0158,0.626,2018-10-16 22:10:11
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,North,Less than 50 percent,Landline,1,0.3134,1.2364,3.855,1.5325,2018-10-16 22:11:59
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,Some College Educ.,Other,Female,Not at all likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,North,50 to 85 percent,Cell,0.3333,0.7089,0.6997,0.6203,0.3689,2018-10-16 22:13:11
Und,35 to 49,Graduate or Professional Degree,White,Male,White,Don't know,Don't know,Favorable,Favorable,Disapp.,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.965,0.5865,0.3485,0.5947,2018-10-16 22:13:38
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.965,0.9308,0.6157,0.9439,2018-10-16 22:18:07
Rep,35 to 49,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,40 to 64,White,North,85 percent or higher,Cell,1,0.9239,0.6938,0.4365,0.7062,2018-10-16 22:18:43
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,Approve,agree,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 39,White,Bangor Area,85 percent or higher,Landline,1,0.952,1.7484,1.1714,1.7564,2018-10-16 22:22:28
Und,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,Approve,agree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Cell,1,0.965,1.2538,1.172,1.2608,2018-10-16 22:24:16
3,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,Approve,disagree,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North,50 to 85 percent,Cell,1,0.6316,0.7165,0.6249,0.7365,2018-10-16 22:25:10
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Bangor Area,50 to 85 percent,Cell,0.8889,0.7992,1.6101,1.6962,1.6474,2018-10-16 22:25:19
Rep,65 and older,Bachelors' degree,White,Female,White,Don't know,Reps. keep House,Don't know,Favorable,Approve,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Bangor Area,85 percent or higher,Cell,1,0.9462,0.6933,0.4474,0.704,2018-10-16 22:26:49
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,disagree,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Landline,1,0.965,0.4929,0.3432,0.4998,2018-10-16 22:26:58
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,Approve,agree,30 to 44,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 39,White,North,85 percent or higher,Landline,1,0.965,1.2608,0.7798,1.2678,2018-10-16 22:28:01
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,Favorable,Unfavorable,Disapp.,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,North,85 percent or higher,Cell,1,0.9524,0.423,0.2514,0.4293,2018-10-16 22:32:01
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,Approve,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.965,0.8081,0.5677,0.8194,2018-10-16 22:32:01
Rep,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,4-year College Grad.,Republican,Female,Already voted,or as a member of another political party,"White, 4-Year College Grads",White,40 to 64,White,Bangor Area,85 percent or higher,Cell,1,0.965,0.9007,0.5712,0.9184,2018-10-16 22:32:55
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,disagree,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Bangor Area,50 to 85 percent,Landline,1,0.7951,0.7865,0.5805,0.8169,2018-10-16 22:33:04
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.965,1.1809,1.0703,1.1974,2018-10-16 22:33:31
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Disapp.,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,Auburn/Lewiston,85 percent or higher,Landline,1,0.965,1.1032,0.8317,1.1187,2018-10-16 22:33:58
Dem,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Disapp.,agree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,North,50 to 85 percent,Landline,1,0.8271,1.3472,1.3465,1.3911,2018-10-16 22:34:25
Rep,50 to 64,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,North,50 to 85 percent,Landline,1,0.514,1.116,1.4025,1.1738,2018-10-16 22:34:43
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.9244,1.1864,1.0994,1.2076,2018-10-16 22:36:49
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.965,0.637,0.3913,0.6459,2018-10-16 22:37:52
