response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",Union,65 and older,Other Non-White,85 percent or higher,Landline,1,0.9354,1.0791,0.4446,1.0668,2018-10-27 20:22:28
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Republican,"White, No 4-Year College Degree",Union,65 and older,White,50 to 85 percent,Landline,1,0.7413,1.0934,0.7351,1.0679,2018-10-27 20:40:36
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Already voted,Democrat,"White, No 4-Year College Degree",Mecklenburg,65 and older,White,85 percent or higher,Landline,1,0.97,1.6456,0.8098,1.6161,2018-10-27 21:10:43
Dem,65 and older,High school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Democrat,Nonwhite,Union,65 and older,Black,85 percent or higher,Landline,1,0.9213,1.2823,1.1619,1.2713,2018-10-27 21:13:16
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",Mecklenburg,65 and older,White,Less than 50 percent,Cell,1,0.3326,2.5217,4.7054,3.1781,2018-10-27 21:16:08
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Mecklenburg,65 and older,White,85 percent or higher,Landline,1,0.8923,0.3962,0.1864,0.3952,2018-10-27 21:34:49
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",Union,35 to 49,White,Less than 50 percent,Landline,1,0.431,1.5649,3.14,1.8446,2018-10-27 21:35:43
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",Union,65 and older,White,85 percent or higher,Landline,1,0.9187,1.1392,0.7123,1.13,2018-10-27 21:39:01
Rep,65 and older,Bachelors' degree,Black,Male,Black,Approve,Reps. keep House,Favorable,Favorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Rest,65 and older,Black,85 percent or higher,Landline,1,0.9396,0.4729,0.3156,0.4632,2018-10-27 21:49:13
Dem,65 and older,High school,Black,Female,Black,Approve,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,Rest,65 and older,Black,50 to 85 percent,Landline,0.8889,0.8398,1.6635,1.2278,1.5877,2018-10-27 21:52:58
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",Rest,50 to 64,White,85 percent or higher,Landline,1,0.8971,0.403,0.1812,0.3967,2018-10-27 21:52:58
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Union,65 and older,White,85 percent or higher,Landline,1,0.9303,0.8262,0.544,0.7993,2018-10-27 21:59:07
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Mecklenburg,35 to 49,White,85 percent or higher,Cell,1,0.9414,1.1948,0.595,1.1701,2018-10-27 22:09:19
Rep,35 to 49,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Union,35 to 49,Unknown,85 percent or higher,Cell,0.8889,0.9652,0.7977,0.5146,0.7766,2018-10-27 22:21:41
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,Rest,50 to 64,Black,85 percent or higher,Landline,1,0.9698,1.1887,0.7734,1.1675,2018-10-27 22:23:11
3,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Rest,50 to 64,White,50 to 85 percent,Landline,1,0.7775,1.2197,0.6889,1.1872,2018-10-27 22:31:34
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Mecklenburg,50 to 64,White,85 percent or higher,Cell,1,0.97,1.1129,0.5734,1.0875,2018-10-27 23:09:04
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,18 to 29,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",Mecklenburg,18 to 34,White,50 to 85 percent,Cell,1,0.6953,2.8624,2.5232,2.9274,2018-10-27 23:10:34
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Already voted,Independent (No party),[DO NOT READ] Don't know/Refused,Mecklenburg,50 to 64,White,85 percent or higher,Cell,1,0.97,2.0211,0.884,1.9849,2018-10-27 23:12:22
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rest,50 to 64,White,85 percent or higher,Landline,1,0.9685,0.8151,0.4238,0.7965,2018-10-28 18:35:36
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Rest,18 to 34,White,Less than 50 percent,Cell,1,0.2329,2.1135,8.9386,2.6996000000000002,2018-10-28 18:36:48
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Mecklenburg,50 to 64,White,85 percent or higher,Cell,1,0.9382,0.9258,0.3572,0.907,2018-10-28 18:37:15
3,65 and older,Graduate or Professional Degree,White,Male,Other,Approve,Reps. keep House,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Union,65 and older,White,85 percent or higher,Cell,1,0.8788,0.4085,0.226,0.4032,2018-10-28 18:43:15
Dem,50 to 64,High school,Black,Male,Black,Disapp.,Don't know,Favorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,Rest,50 to 64,Black,85 percent or higher,Cell,0.6667,0.9245,1.265,0.9349,1.1869,2018-10-28 18:45:50
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Rest,65 and older,White,Less than 50 percent,Cell,1,0.2253,0.2808,0.6912,0.3224,2018-10-28 18:47:02
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Rest,50 to 64,Unknown,Less than 50 percent,Cell,1,0.266,0.5185,1.0716,0.6425,2018-10-28 18:50:20
Dem,50 to 64,Some college or trade school,Black,Male,Black,Don't know,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Rest,50 to 64,Black,85 percent or higher,Cell,1,0.8547,0.7064,0.5625,0.6999,2018-10-28 18:51:23
Dem,50 to 64,High school,White,Male,White,Approve,Dems. take House,Favorable,Don't know,45 to 64,High School Grad. or Less,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",Rest,50 to 64,White,85 percent or higher,Cell,1,0.9655,1.196,0.6324,1.1755,2018-10-28 18:53:56
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Rest,50 to 64,White,50 to 85 percent,Cell,1,0.7728,0.7249,0.4462,0.7058,2018-10-28 18:59:32
3,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Mecklenburg,50 to 64,White,85 percent or higher,Cell,1,0.9548,0.5502,0.2287,0.5329,2018-10-28 19:02:50
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",Rest,18 to 34,White,50 to 85 percent,Cell,1,0.6161,0.7205,0.7502,0.7792,2018-10-28 19:02:59
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Mecklenburg,65 and older,White,85 percent or higher,Cell,1,0.97,0.978,0.5206,0.9556,2018-10-28 19:04:20
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Democratic,Female,Already voted,Republican,"White, 4-Year College Grads",Union,35 to 49,White,85 percent or higher,Cell,1,0.9144,0.8271,0.5111,0.8212,2018-10-28 19:14:05
Dem,50 to 64,High school,Other,Male,Other,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Male,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,Rest,50 to 64,Other Non-White,Less than 50 percent,Cell,0.4444,0.2335,2.3934,5.7227,1.2384,2018-10-28 19:18:28
Rep,50 to 64,Graduate or Professional Degree,White,Male,Other,Approve,Reps. keep House,Favorable,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,Rest,50 to 64,White,50 to 85 percent,Cell,1,0.7397,0.3584,0.1846,0.3628,2018-10-28 19:20:52
Und,50 to 64,Graduate or Professional Degree,Black,Female,Black,Don't know,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Rest,50 to 64,Black,Less than 50 percent,Cell,1,0.3986,0.6137,0.9516,0.6436,2018-10-28 19:24:28
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Mecklenburg,50 to 64,White,85 percent or higher,Cell,1,0.97,0.5938,0.2232,0.5832,2018-10-28 19:28:40
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",Rest,50 to 64,White,85 percent or higher,Cell,1,0.9148,1.2708,0.7024,1.2616,2018-10-28 19:31:31
Und,35 to 49,Graduate or Professional Degree,White,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),Nonwhite,Rest,35 to 49,White,85 percent or higher,Cell,1,0.9504,0.5513,0.3105,0.5434,2018-10-28 19:32:13
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Rest,18 to 34,White,50 to 85 percent,Landline,1,0.7711,0.7205,0.6022,0.7247,2018-10-28 19:32:13
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Mecklenburg,65 and older,White,85 percent or higher,Cell,1,0.97,0.9061,0.5257,0.8789,2018-10-28 19:32:31
Dem,65 and older,Some college or trade school,Black,Male,Other,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Male,Already voted,Democrat,Nonwhite,Rest,65 and older,Black,85 percent or higher,Landline,1,0.97,0.5752,0.4561,0.5649,2018-10-28 19:34:37
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",Union,65 and older,White,85 percent or higher,Cell,1,0.97,0.4085,0.206,0.3962,2018-10-28 19:39:34
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",Rest,65 and older,White,50 to 85 percent,Cell,1,0.769,0.9931,0.6382,1.0221,2018-10-28 19:44:40
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",Rest,50 to 64,White,50 to 85 percent,Cell,1,0.7734,0.7249,0.4459,0.7451,2018-10-28 19:53:05
Dem,35 to 49,Bachelors' degree,Black,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Already voted,Democrat,Nonwhite,Rest,35 to 49,Black,Less than 50 percent,Cell,1,0.4732,0.8956,1.6499,1.0315,2018-10-28 19:54:26
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Male,Very likely,Republican,"White, No 4-Year College Degree",Mecklenburg,65 and older,White,85 percent or higher,Cell,1,0.9036,0.8013,0.4645,0.7751,2018-10-28 19:55:11
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Mecklenburg,65 and older,White,85 percent or higher,Cell,1,0.954,0.7538,0.3228,0.73740000000000006,2018-10-28 19:58:11
Und,50 to 64,Some college or trade school,Black,Male,Black,Don't know,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Male,Already voted,Democrat,Nonwhite,Rest,50 to 64,Black,Less than 50 percent,Cell,1,0.3862,0.7378,1.6446,0.8942,2018-10-28 19:59:05
Rep,35 to 49,Bachelors' degree,Hispanic,Male,White,Approve,Reps. keep House,Favorable,Don't know,45 to 64,4-year College Grad.,Republican,Female,Not at all likely,Republican,"White, 4-Year College Grads",Rest,35 to 49,Other Non-White,Less than 50 percent,Cell,0,0.3066,1.5033,2.9868,0.3616,2018-10-28 20:02:08
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",Mecklenburg,50 to 64,White,50 to 85 percent,Cell,1,0.7126,1.0682,0.6484,1.1178,2018-10-28 20:03:02
Dem,50 to 64,High school,Other,Male,Other,Approve,Dems. take House,Favorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,Rest,50 to 64,Other Non-White,50 to 85 percent,Cell,1,0.8465,2.1996000000000002,0.9907,2.131,2018-10-28 20:03:29
3,65 and older,Some college or trade school,White,Male,White,Disapp.,Don't know,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Already voted,or as a member of another political party,"White, No 4-Year College Degree",Mecklenburg,65 and older,White,85 percent or higher,Cell,1,0.9549,0.978,0.5286,0.9631,2018-10-28 20:03:29
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Union,50 to 64,White,85 percent or higher,Cell,1,0.9591,1.0657,0.502,1.0487,2018-10-28 20:09:56
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Republican,Male,Very likely,Democrat,"White, 4-Year College Grads",Rest,50 to 64,White,50 to 85 percent,Cell,1,0.7429,0.4883,0.2601,0.4768,2018-10-28 20:13:41
Dem,18 to 34,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Union,18 to 34,Other Non-White,Less than 50 percent,Cell,1,0.1665,2.4926,10.1,3.8058,2018-10-28 20:13:50
Rep,50 to 64,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,Nonwhite,Mecklenburg,50 to 64,White,85 percent or higher,Cell,1,0.9005,0.7497,0.3438,0.7466,2018-10-28 20:14:28
Und,65 and older,High school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Democrat,Nonwhite,Rest,65 and older,Black,50 to 85 percent,Cell,1,0.836,0.9886,0.7902,0.9996,2018-10-28 20:19:34
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Union,50 to 64,White,85 percent or higher,Landline,1,0.8631,1.1502,0.5509,1.1382,2018-10-28 20:20:37
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Mecklenburg,35 to 49,White,85 percent or higher,Cell,1,0.97,0.5211,0.2618,0.5092,2018-10-28 20:25:25
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Union,50 to 64,White,50 to 85 percent,Cell,1,0.5404,1.104,0.7284,1.2312,2018-10-28 20:31:14
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Don't know,Don't know,Favorable,18 to 29,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Union,18 to 34,White,Less than 50 percent,Cell,0.8889,0.4893,1.5638,3.6863,1.5334,2018-10-28 20:36:29
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",Union,50 to 64,White,85 percent or higher,Cell,1,0.97,0.7821,0.3471,0.7682,2018-10-28 20:37:41
Dem,50 to 64,Bachelors' degree,White,Female,White,Don't know,Don't know,Favorable,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",Rest,50 to 64,White,50 to 85 percent,Cell,1,0.7542,0.7266,0.3263,0.751,2018-10-28 20:38:53
Rep,18 to 34,Some college or trade school,White,Female,Other,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,Rest,18 to 34,White,50 to 85 percent,Cell,1,0.8447,1.7997,1.5554,1.7861,2018-10-28 20:42:47
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Cell,1,0.949,0.304,0.16,0.2975,2018-10-28 20:43:32
Rep,65 and older,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Already voted,Independent (No party),Nonwhite,Mecklenburg,65 and older,White,85 percent or higher,Landline,1,0.9586,0.978,0.5266,0.9624,2018-10-28 20:45:02
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Union,35 to 49,White,50 to 85 percent,Cell,1,0.6929,0.5335,0.4383,0.5459,2018-10-28 20:50:44
3,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Mecklenburg,50 to 64,Unknown,85 percent or higher,Cell,1,0.9675,0.7896,0.3041,0.7758,2018-10-28 21:04:47
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Mecklenburg,35 to 49,White,Less than 50 percent,Landline,0.7778,0.2669,1.1562,2.7953,1.1371,2018-10-28 21:05:14
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,50 to 64,White,85 percent or higher,Landline,1,0.97,0.678,0.2568,0.6626,2018-10-28 21:06:35
Dem,35 to 49,Some college or trade school,Other,Female,Other,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Rest,35 to 49,Other Non-White,50 to 85 percent,Cell,1,0.517,1.8138,1.6522,1.9558,2018-10-28 21:07:38
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rest,50 to 64,White,50 to 85 percent,Landline,1,0.8258,0.641,0.3457,0.6382,2018-10-28 21:11:59
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Approve,Dems. take House,Favorable,Favorable,30 to 44,Some College Educ.,Other,Male,Very likely,or as a member of another political party,Nonwhite,Union,18 to 34,Other Non-White,Less than 50 percent,Cell,1,0.4616,2.9964,6.4838,3.08,2018-10-28 21:12:44
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Rest,35 to 49,White,50 to 85 percent,Cell,1,0.6283,0.3394,0.2495,0.3654,2018-10-28 21:14:41
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rest,35 to 49,White,50 to 85 percent,Cell,1,0.7212,0.6865,0.5571,0.6979,2018-10-28 21:21:29
Rep,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Don't know,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,Mecklenburg,35 to 49,Other Non-White,Less than 50 percent,Cell,1,0.3569,2.2154,3.4707,2.574,2018-10-28 21:23:17
Rep,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,Nonwhite,Union,35 to 49,Other Non-White,50 to 85 percent,Cell,1,0.8408,1.0223,0.5951,1.0324,2018-10-28 21:23:26
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",Union,35 to 49,White,85 percent or higher,Landline,1,0.963,0.9353,0.5896,0.9197,2018-10-28 21:27:47
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Union,65 and older,White,85 percent or higher,Cell,1,0.953,1.3902,0.8267,1.3601,2018-10-28 21:33:47
Dem,[DO NOT READ] Refused,Bachelors' degree,Unknown,Male,Hispanic,Don't know,Dems. take House,Don't know,Don't know,65 and older,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),Nonwhite,Mecklenburg,65 and older,Unknown,50 to 85 percent,Cell,1,0.5606,0.8408,0.5668,0.7461,2018-10-28 21:35:35
Dem,18 to 34,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,Some College Educ.,Other,Male,Already voted,Independent (No party),Nonwhite,Rest,18 to 34,Black,50 to 85 percent,Cell,1,0.8271,1.221,1.4285,1.2373,2018-10-28 21:36:11
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Mecklenburg,35 to 49,White,85 percent or higher,Landline,1,0.9003,1.107,0.6277,1.0895,2018-10-28 21:36:29
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",Mecklenburg,65 and older,White,85 percent or higher,Landline,1,0.8501,0.7538,0.3605,0.7474,2018-10-28 21:36:47
3,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,Don't know,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Mecklenburg,35 to 49,White,85 percent or higher,Landline,1,0.97,0.5211,0.2618,0.5092,2018-10-28 21:37:05
Rep,65 and older,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,Rest,65 and older,White,50 to 85 percent,Cell,1,0.7947,0.5902,0.3985,0.5909,2018-10-28 21:39:47
Dem,50 to 64,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Don't know,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,Nonwhite,Rest,50 to 64,Black,85 percent or higher,Landline,1,0.97,0.5877,0.3008,0.5772,2018-10-28 21:52:28
Dem,65 and older,High school,White,Male,White,Don't know,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Male,[DO NOT READ] Don't know/Refused,Democrat,"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Cell,1,0.9534,0.9738,0.5869,0.9102,2018-10-28 21:52:55
