response,ager,educ,file_race,gender,race_eth,APPKAV,approve,genballot,hdem_fav,hrep_fav,NAFTA,TARIFF,TAXREFORM,TRUMPECON,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Disapp.,Reps. keep House,Unfavorable,Don't know,Oppose,Support,Support,disagree,45 to 64,Postgraduate Degree,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Somerset,50 to 85 percent,Landline,0.5556,0.7436,1.0823,0.7626,0.8763,2018-09-20 00:01:02
Dem,18 to 34,Some college or trade school,White,Female,White,Don't know,Disapp.,Dems. take House,Don't know,Don't know,Support,Don't know,Don't know,disagree,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,Morris,50 to 85 percent,Cell,1,0.5303,0.3717,0.4285,0.4143,2018-09-20 00:02:02
Dem,35 to 49,Graduate or Professional Degree,White,Female,Other,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Don't know,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,35 to 49,White,Somerset,50 to 85 percent,Cell,0.8889,0.5047,0.5265,0.5889,0.5349,2018-09-20 00:02:56
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Unfavorable,Oppose,Support,Support,agree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Somerset,85 percent or higher,Landline,1,0.8808,1.2576,0.8035,1.2892,2018-09-20 00:02:56
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Favorable,Favorable,Oppose,Oppose,Support,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Hunterdon/Warren,85 percent or higher,Cell,1,0.9196,0.9285,0.4758,0.9468,2018-09-20 00:06:23
Rep,50 to 64,Some college or trade school,White,Male,White,support,Don't know,Reps. keep House,Don't know,Favorable,Don't know,Oppose,Oppose,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.9275,0.9285,0.4718,0.933,2018-09-20 00:08:20
Rep,50 to 64,High school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Hunterdon/Warren,85 percent or higher,Cell,1,0.9919,1.6312,1.4814,1.6557,2018-09-20 00:08:47
Und,35 to 49,Some college or trade school,White,Female,White,Don't know,Approve,Reps. keep House,Don't know,Don't know,Support,Support,Support,agree,45 to 64,Some College Educ.,Republican,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Morris,50 to 85 percent,Cell,0.7778,0.712,0.5855,0.4649,0.5088,2018-09-20 00:09:32
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Somerset,85 percent or higher,Cell,1,0.97,1.2149,0.6234,1.224,2018-09-20 00:12:59
Dem,35 to 49,Graduate or Professional Degree,White,Female,Hispanic,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,White,Hunterdon/Warren,50 to 85 percent,Cell,1,0.7667,0.4759,0.3707,0.4977,2018-09-20 00:15:59
Dem,50 to 64,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Hunterdon/Warren,50 to 85 percent,Landline,1,0.6423,1.0328,0.8573,1.112,2018-09-20 00:17:07
Rep,18 to 34,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Don't know,Support,Support,Support,agree,30 to 44,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",White,18 to 34,White,Hunterdon/Warren,Less than 50 percent,Cell,1,0.3939,0.7235,1.2658,0.7894,2018-09-20 00:17:07
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Support,agree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Unknown,Essex/Union,50 to 85 percent,Cell,1,0.6948,0.5058,0.4265,0.5373,2018-09-20 00:17:43
Rep,35 to 49,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Somerset,85 percent or higher,Cell,1,0.9782,0.7328,0.4083,0.7435,2018-09-20 00:19:40
Dem,50 to 64,High school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Hunterdon/Warren,50 to 85 percent,Landline,1,0.54990000000000006,1.4039,2.1414,1.4668,2018-09-20 00:20:43
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Reps. keep House,Don't know,Unfavorable,Don't know,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.961,1.139,0.5779,1.1567,2018-09-20 00:23:34
Dem,65 and older,Some college or trade school,Hispanic,Male,Hispanic,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Support,Oppose,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Hispanic,Essex/Union,50 to 85 percent,Cell,1,0.6575,1.132,0.637,1.2139,2018-09-20 00:26:52
Rep,35 to 49,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Unfavorable,Favorable,Support,Oppose,Oppose,Don't know,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Unknown,Essex/Union,85 percent or higher,Cell,1,0.9481,0.8488,0.5744,0.863,2018-09-20 00:28:40
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Hunterdon/Warren,85 percent or higher,Cell,1,0.982,0.8769,0.393,0.8897,2018-09-20 00:32:02
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Hunterdon/Warren,50 to 85 percent,Cell,1,0.8384,0.6709,0.5264,0.6923,2018-09-20 00:33:14
Und,18 to 34,Some college or trade school,Unknown,Female,Hispanic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,disagree,18 to 29,Some College Educ.,Other,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,Unknown,Morris,Less than 50 percent,Cell,0.7778,0.0933,0.6486,3.4932,0.7589,2018-09-20 00:36:50
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Essex/Union,85 percent or higher,Landline,1,0.9499,1.4679,0.7109,1.4921,2018-09-20 00:38:38
Rep,65 and older,Some college or trade school,White,Female,White,Don't know,Disapp.,Dems. take House,Don't know,Favorable,Oppose,Don't know,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.9878,0.8657,0.4154,0.8784,2018-09-20 00:39:41
Rep,18 to 34,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Don't know,Support,Support,agree,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,White,Somerset,Less than 50 percent,Cell,1,0.4119,0.6072,0.7786,0.7112,2018-09-20 00:43:53
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Somerset,50 to 85 percent,Landline,0.8889,0.515,1.0515,1.2754,1.1429,2018-09-20 00:45:41
Dem,18 to 34,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Essex/Union,50 to 85 percent,Cell,1,0.6132,0.6239,0.5231,0.6773,2018-09-20 00:52:05
Dem,18 to 34,Bachelors' degree,Other,Female,Hispanic,Don't know,Disapp.,Dems. take House,Don't know,Don't know,Support,Don't know,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,18 to 34,Other Non-White,Somerset,50 to 85 percent,Cell,0.6667,0.8422,0.6204,0.4254,0.5932,2018-09-20 00:54:11
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Essex/Union,50 to 85 percent,Landline,1,0.7519,1.0087,0.4805,1.0223,2018-09-20 00:54:38
Rep,65 and older,Some college or trade school,White,Female,White,support,Don't know,Reps. keep House,Don't know,Favorable,Support,Oppose,Support,agree,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Morris,50 to 85 percent,Cell,1,0.561,0.8513,0.6493,0.8874,2018-09-20 00:57:29
Dem,50 to 64,High school,Hispanic,Male,Hispanic,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Oppose,Oppose,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,50 to 64,Hispanic,Hunterdon/Warren,85 percent or higher,Landline,1,0.9698,1.8542,1.6521,1.868,2018-09-20 01:04:36
Rep,50 to 64,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,support,Approve,Reps. keep House,Don't know,Unfavorable,Support,Support,Support,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,Somerset,85 percent or higher,Cell,1,0.9706,1.3784,0.6608,1.399,2018-09-20 01:05:12
Rep,65 and older,High school,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Hunterdon/Warren,Less than 50 percent,Landline,0.7778,0.1474,1.6784,8.1319,1.8401,2018-09-20 01:05:12
Dem,18 to 34,Graduate or Professional Degree,Other,Female,White,Don't know,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Support,agree,18 to 29,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Other Non-White,Hunterdon/Warren,50 to 85 percent,Cell,1,0.7831,0.3958,0.3074,0.4126,2018-09-20 01:05:57
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,Somerset,85 percent or higher,Cell,1,0.9342,0.9701,0.4321,0.975,2018-09-20 01:05:57
Dem,35 to 49,Bachelors' degree,Black,Male,Black,oppose,Disapp.,Dems. take House,Favorable,Favorable,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,Other Non-White,Essex/Union,85 percent or higher,Cell,1,0.9418,1.2093,0.7281,1.2302,2018-09-20 01:06:51
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Hunterdon/Warren,50 to 85 percent,Landline,1,0.8246,0.4761,0.3448,0.4924,2018-09-20 01:08:48
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.9698,1.12,0.6174,1.1369,2018-09-20 01:09:24
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Don't know,disagree,45 to 64,Postgraduate Degree,Other,Male,Very likely,Democrat,Nonwhite,Nonwhite,35 to 49,Hispanic,Somerset,Less than 50 percent,Cell,0.5556,0.477,0.9095,1.1912,0.8018,2018-09-20 01:10:27
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Dems. take House,Favorable,Unfavorable,Support,Don't know,Support,agree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Essex/Union,50 to 85 percent,Cell,1,0.8255,0.9095,0.477,0.9163,2018-09-20 01:14:48
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Don't know,Don't know,Support,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Essex/Union,85 percent or higher,Cell,0.7778,0.98,1.1756,0.5136,1.1859,2018-09-20 01:22:32
Rep,35 to 49,Some college or trade school,Hispanic,Male,White,support,Approve,Reps. keep House,Don't know,Don't know,Don't know,Support,Support,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,Hispanic,Somerset,Less than 50 percent,Cell,1,0.4332,0.7576,0.8785,0.8158,2018-09-20 01:25:05
Rep,65 and older,Some college or trade school,White,Female,White,support,Disapp.,Reps. keep House,Favorable,Favorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.9865,0.963,0.4261,0.9771,2018-09-20 01:29:17
Dem,50 to 64,Graduate or Professional Degree,Other,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Oppose,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,Other Non-White,Somerset,85 percent or higher,Cell,1,0.9533,1.0302,0.556,1.0363,2018-09-20 01:29:35
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Oppose,Don't know,Oppose,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Unknown,Somerset,50 to 85 percent,Cell,0.7778,0.5585,0.8693,1.1253,0.9046,2018-09-20 01:29:53
Dem,18 to 34,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Don't know,agree,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Somerset,Less than 50 percent,Cell,1,0.3494,0.7848,1.4412,0.9514,2018-09-20 01:31:50
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Asian,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,agree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,35 to 49,Hispanic,Morris,50 to 85 percent,Landline,0.7778,0.6509,0.5667,0.5331,0.5482,2018-09-20 01:36:28
Dem,50 to 64,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Essex/Union,Less than 50 percent,Landline,1,0.2346,1.4591,2.989,1.7283,2018-09-20 01:38:34
Dem,35 to 49,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,agree,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,35 to 49,White,Hunterdon/Warren,50 to 85 percent,Cell,1,0.8377,0.4666,0.3276,0.4698,2018-09-20 01:41:25
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Essex/Union,50 to 85 percent,Cell,1,0.7764,0.8968,0.6639,0.936,2018-09-20 19:36:14
Dem,18 to 34,Bachelors' degree,White,Female,Other,support,Disapp.,Dems. take House,Unfavorable,Unfavorable,Support,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,White,Somerset,50 to 85 percent,Cell,1,0.5544,0.7573,0.8626,0.8372,2018-09-20 20:02:48
Rep,18 to 34,High school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Oppose,Support,agree,18 to 29,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Essex/Union,Less than 50 percent,Cell,1,0.4591,1.0684,1.9148,1.2246,2018-09-20 20:02:48
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Support,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,Unknown,Somerset,85 percent or higher,Cell,1,0.9708,1.0044,0.596,1.012,2018-09-20 20:05:30
Dem,18 to 34,High school,Hispanic,Male,Hispanic,oppose,Disapp.,Dems. take House,Don't know,Don't know,Oppose,Oppose,Oppose,disagree,18 to 29,High School Grad. or Less,Other,Male,Not at all likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,Hispanic,Morris,Less than 50 percent,Cell,1,0.1598,1.2303,9.0324,0.7728,2018-09-20 20:07:00
Rep,18 to 34,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Don't know,Support,Support,Support,agree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,White,Somerset,Less than 50 percent,Cell,1,0.4435,0.6072,0.7231,0.7007,2018-09-20 20:08:12
Und,18 to 34,Some college or trade school,White,Male,Hispanic,Don't know,Disapp.,Dems. take House,Unfavorable,Unfavorable,Oppose,Oppose,Oppose,disagree,18 to 29,Some College Educ.,Democratic,Male,Somewhat likely,Democrat,Nonwhite,Nonwhite,18 to 34,White,Morris,Less than 50 percent,Cell,0.7778,0.4305,0.3852,0.5558,0.3139,2018-09-20 20:09:24
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Hunterdon/Warren,85 percent or higher,Cell,1,0.9668,0.5532,0.367,0.5616,2018-09-20 20:18:52
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Favorable,Support,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Somerset,50 to 85 percent,Cell,0.6667,0.6538,0.5267,0.4548,0.4296,2018-09-20 20:29:58
Dem,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,Don't know,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,Don't know,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,Other Non-White,Hunterdon/Warren,50 to 85 percent,Cell,1,0.8286,0.5496,0.3989,0.5681,2018-09-20 20:32:28
Dem,35 to 49,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Somerset,50 to 85 percent,Cell,1,0.7789,0.5559,0.3874,0.5799,2018-09-20 20:37:34
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Dems. take House,Favorable,Favorable,Oppose,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown,Essex/Union,50 to 85 percent,Landline,1,0.6785,1.1583,0.7001,1.2356,2018-09-20 20:41:19
Und,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,support,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Somerset,50 to 85 percent,Cell,1,0.8387,0.8349,0.3857,0.8615,2018-09-20 20:49:41
Rep,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,18 to 29,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,18 to 34,Hispanic,Somerset,Less than 50 percent,Cell,1,0.1614,0.535,1.6582,0.774,2018-09-20 20:56:17
Dem,18 to 34,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Morris,50 to 85 percent,Cell,1,0.5212,0.4795,0.5698,0.5042,2018-09-20 20:58:59
Und,35 to 49,Some college or trade school,White,Male,White,support,Disapp.,Reps. keep House,Don't know,Don't know,Support,Support,Support,agree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Somerset,Less than 50 percent,Cell,1,0.4517,0.6535,0.7462,0.7515,2018-09-20 21:02:02
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Somerset,85 percent or higher,Cell,1,0.9524,0.8498,0.5351,0.8548,2018-09-20 21:03:41
Rep,18 to 34,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Don't know,Support,Don't know,18 to 29,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",White,18 to 34,White,Hunterdon/Warren,50 to 85 percent,Cell,1,0.5046,0.6711,0.8751,0.7085,2018-09-20 21:03:41
Rep,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,support,Approve,Reps. keep House,Don't know,Favorable,Don't know,Support,Support,agree,30 to 44,Postgraduate Degree,Other,Male,Somewhat likely,Republican,Nonwhite,Nonwhite,35 to 49,Other Non-White,Essex/Union,50 to 85 percent,Cell,0.5556,0.7818,1.0562,0.7943,0.8729,2018-09-20 21:08:02
Dem,18 to 34,Some college or trade school,Asian,Female,Asian,Don't know,Don't know,Dems. take House,Don't know,Don't know,Support,Don't know,Don't know,Don't know,18 to 29,Some College Educ.,Democratic,Female,Not at all likely,Democrat,Nonwhite,Nonwhite,18 to 34,Other Non-White,Somerset,Less than 50 percent,Cell,0.2222,0.2855,0.4984,1.011,0.1543,2018-09-20 21:10:17
Dem,18 to 34,Some college or trade school,White,Female,Black,Don't know,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,18 to 29,Some College Educ.,Other,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,White,Essex/Union,Less than 50 percent,Cell,1,0.1094,0.735,2.8691,1.0025,2018-09-20 21:12:05
Dem,18 to 34,Bachelors' degree,White,Female,Black,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,White,Morris,50 to 85 percent,Cell,1,0.7206,0.489,0.4267,0.5165,2018-09-20 21:12:50
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Hunterdon/Warren,85 percent or higher,Cell,1,0.8879,0.8794,0.4853,0.9006,2018-09-20 21:16:26
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Support,agree,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Hunterdon/Warren,85 percent or higher,Cell,1,0.9665,0.553,0.3669,0.5569,2018-09-20 21:27:48
Dem,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Don't know,Support,Don't know,Support,agree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Essex/Union,50 to 85 percent,Cell,1,0.6992,0.9829,0.6682,1.0432,2018-09-20 21:31:34
Rep,50 to 64,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,support,Approve,Reps. keep House,Don't know,Favorable,Don't know,Oppose,Support,agree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,Somerset,50 to 85 percent,Cell,1,0.7449,1.1862,0.6899,1.203,2018-09-20 21:33:31
